date,p10,p25,p50,p75,p90,prob_end_above_latest,latest_close
2026-08-13,17.655432660967147,17.899976333979463,18.145990545601958,18.335955602937457,18.752890435058536,0.48845,18.15
2026-08-14,17.389442791671456,17.774930521131434,18.097001619680167,18.499377243919998,18.877490974158842,0.4629,18.15
2026-08-17,17.201936519695842,17.693261866705242,18.088313222218716,18.515624730595714,19.075646025690762,0.474,18.15
2026-08-18,17.20950111134934,17.54390457792454,18.073616629315,18.54191348384271,19.201254128674798,0.4541,18.15
2026-08-19,17.168697216067503,17.5053439010694,18.030172963096465,18.572614040469364,19.30265611287557,0.41675,18.15
2026-08-20,16.9594016574095,17.456720360978878,18.009581613989702,18.649563506958884,19.37714386544793,0.4316,18.15
2026-08-21,16.82019520469348,17.373766423784332,18.00344450345683,18.723270825100222,19.494672770763565,0.44245,18.15
2026-08-24,16.722496355957777,17.315704027351096,17.99051383309383,18.758681031329427,19.60772723728955,0.4414,18.15
2026-08-25,16.66151175565789,17.263415378174166,17.953253552481,18.78078296819744,19.643290590153036,0.4321,18.15
2026-08-26,16.599895280197096,17.220113795440426,17.92544244171233,18.781276580505125,19.673039914622706,0.424,18.15
2026-08-27,16.48213658391783,17.156216548765624,17.92458410719552,18.83107465853596,19.779588785599923,0.426,18.15
2026-08-28,16.390112514126617,17.08793853315437,17.92314288352523,18.883380179356685,19.85629167896472,0.43075,18.15
2026-08-31,16.313502806073192,17.03374335884252,17.89763007435296,18.892908729818462,19.928289679264246,0.42825,18.15
2026-09-01,16.25107899959802,16.99570630056652,17.87165389366598,18.911256331675585,19.95602262413681,0.42395,18.15
2026-09-02,16.221144295749195,16.956148618964825,17.84742339914322,18.901730802105845,19.983785701293534,0.41905,18.15
2026-09-03,16.120407040823377,16.90595236197729,17.84755439768881,18.93625966376184,20.079441967095686,0.4226,18.15
2026-09-04,16.027159708669572,16.855526633880057,17.83521919377416,18.99509116859958,20.15859597781377,0.4221,18.15
2026-09-07,15.990189458048901,16.820211172285404,17.83652144947715,19.01001995740394,20.238559625941736,0.4207,18.15
2026-09-08,15.943128777493346,16.795052956057972,17.81403752464397,19.009147583533355,20.28400017997064,0.41865,18.15
2026-09-09,15.893929150537462,16.734064509824336,17.793043058298743,19.008825919732786,20.292941426831835,0.41775,18.15
