date,p10,p25,p50,p75,p90,prob_end_above_latest,latest_close,is_model_anchor
2026-08-14,203.52022727866213,205.82263244475948,208.12503761085682,210.0953145620901,212.0655915133234,0.5111111111111111,207.9,False
2026-08-17,199.14045455732423,203.74526488951892,208.35007522171364,212.2906291241802,216.2311830266468,0.5222222222222223,207.9,False
2026-08-18,194.76068183598636,201.6678973342784,208.57511283257045,214.48594368627033,220.3967745399702,0.5333333333333333,207.9,False
2026-08-19,190.38090911464846,199.59052977903787,208.80015044342727,216.68125824836045,224.5623660532936,0.5444444444444445,207.9,False
2026-08-20,186.0011363933106,197.51316222379734,209.0251880542841,218.87657281045054,228.727957566617,0.5555555555555556,207.9,True
2026-08-21,184.0339891516493,196.39387575237112,208.7537623530929,220.36969604433716,231.98562973558145,0.5706349206349206,207.9,False
2026-08-24,182.06684190998806,195.2745892809449,208.4823366519017,221.8628192782238,235.24330190454592,0.5857142857142857,207.9,False
2026-08-25,180.09969466832678,194.15530280951867,208.21091095071054,223.35594251211046,238.50097407351038,0.6007936507936508,207.9,False
2026-08-26,178.13254742666552,193.03601633809245,207.93948524951935,224.8490657459971,241.75864624247484,0.6158730158730159,207.9,False
2026-08-27,176.16540018500424,191.9167298666662,207.66805954832816,226.34218897988373,245.0163184114393,0.6309523809523809,207.9,True
2026-08-28,173.75429574540402,190.83227488910865,207.91025403281324,228.06588145983903,248.22150888686485,0.6392857142857142,207.9,False
2026-09-03,171.3431913058038,189.74781991155106,208.15244851729832,229.78957393979437,251.42669936229038,0.6476190476190476,207.9,False
2026-09-04,168.93208686620355,188.66336493399348,208.3946430017834,231.51326641974964,254.6318898377159,0.655952380952381,207.9,False
2026-09-07,166.52098242660333,187.5789099564359,208.6368374862685,233.23695889970497,257.8370803131414,0.6642857142857143,207.9,False
2026-09-08,164.1098779870031,186.49445497887834,208.87903197075357,234.9606513796603,261.042270788567,0.6726190476190476,207.9,False
2026-09-09,161.69877354740288,185.41000000132078,209.12122645523866,236.68434385961558,264.24746126399253,0.680952380952381,207.9,False
2026-09-10,159.28766910780266,184.3255450237632,209.36342093972374,238.4080363395709,267.45265173941806,0.6892857142857143,207.9,False
2026-09-11,156.8765646682024,183.2410900462056,209.60561542420882,240.13172881952624,270.65784221484364,0.6976190476190476,207.9,False
2026-09-14,154.46546022860218,182.15663506864803,209.8478099086939,241.85542129948152,273.86303269026916,0.705952380952381,207.9,False
2026-09-15,152.05435578900196,181.07218009109047,210.090004393179,243.57911377943685,277.0682231656947,0.7142857142857143,207.9,True
