article_key,symbol,provider,source_name,source_url,title,content_excerpt,published_at,available_at,fetched_at,availability_basis,entity_match_method,entity_confidence,event_type,sentiment_score,sentiment_label,analysis_method
89952a6f72e7cff854074265aa86b1810191b20a22a494a08142fbbb74ca9b45,MBB,vnstock:VCI,vnstock:VCI,,MBB: Thông qua hợp đồng giao dịch giữa MB và MB Campuchia,,2026-05-18 11:04:38+00:00,2026-05-18 11:04:38+00:00,2026-08-12 17:13:47.724959+00:00,published_at,provider_symbol_query,0.8,other,0.0,neutral,keyword_heuristic_v1
c4abc49469eca5d9b36caab7896a3c1a491f45ddc559c4fab171a833eef97836,MBB,vnstock:VCI,vnstock:VCI,,MBB: Thông qua hợp đồng giao dịch về cung cấp dịch vụ tư vấn phát hành cổ phiếu giữa MB và MBS,,2026-05-18 11:06:00+00:00,2026-05-18 11:06:00+00:00,2026-08-12 17:13:47.724959+00:00,published_at,provider_symbol_query,0.8,corporate_action,0.0,neutral,keyword_heuristic_v1
b72f4bc3c1157917ab4210139d191a2ba331329f5bb2b3ac3de43e4fc4cc4652,MBB,vnstock:VCI,vnstock:VCI,,"MBB: Điều lệ sửa đổi, bổ sung",,2026-05-19 06:32:16+00:00,2026-05-19 06:32:16+00:00,2026-08-12 17:13:47.724959+00:00,published_at,provider_symbol_query,0.8,other,0.0,neutral,keyword_heuristic_v1
bf7dba5838958026d6998b2b45a02f645d22cd26d59426b851db65fe753189ba,MBB,vnstock:VCI,vnstock:VCI,,MBB: Phó TGĐ đăng ký bán 1 triệu cổ phiếu,,2026-05-19 10:48:00+00:00,2026-05-19 10:48:00+00:00,2026-08-12 17:13:47.724959+00:00,published_at,provider_symbol_query,0.8,other,0.0,neutral,keyword_heuristic_v1
fbad8353f262a7517e907afe34d1a959f51d652eccb88953aab0d15acad12d6b,MBB,vnstock:VCI,vnstock:VCI,,"MBB: HĐQT thông qua hợp đồng thế chấp tài sản bảo đảm giữa MB và MIC, MIC Invest",,2026-05-22 11:04:53+00:00,2026-05-22 11:04:53+00:00,2026-08-12 17:13:47.724959+00:00,published_at,provider_symbol_query,0.8,governance,0.0,neutral,keyword_heuristic_v1
948b4b51656cd78c4895bfded0232971fe90c5ce34529758c4abf7b1423eff5e,MBB,vnstock:VCI,vnstock:VCI,,MBB: CBTT tỷ lệ an toàn vốn tại ngày 31/12/2025,,2026-05-27 11:00:09+00:00,2026-05-27 11:00:09+00:00,2026-08-12 17:13:47.724959+00:00,published_at,provider_symbol_query,0.8,other,0.0,neutral,keyword_heuristic_v1
a6d657146f6295a7d97d666fd895bce370e25b9ae1bd32ccbe0dbc4d87cf47b8,MBB,vnstock:VCI,vnstock:VCI,,MBB: Thông báo giao dịch cổ phiếu của tổ chức có liên quan đến người nội bộ Công đoàn cơ sở MBB,,2026-05-28 11:04:00+00:00,2026-05-28 11:04:00+00:00,2026-08-12 17:13:47.724959+00:00,published_at,provider_symbol_query,0.8,other,0.0,neutral,keyword_heuristic_v1
55e17afd596bb7db779972908e9481b461c087b5a10717f5fb337ee6014fd52c,MBB,vnstock:VCI,vnstock:VCI,,"MBB: HĐQT thông qua hợp đồng, giao dịch giữa  MB và Mcredit",,2026-05-29 10:30:34+00:00,2026-05-29 10:30:34+00:00,2026-08-12 17:13:47.724959+00:00,published_at,provider_symbol_query,0.8,governance,0.0,neutral,keyword_heuristic_v1
0847ecb7f7b179ab5e2fb4eeb55eb451eb67a9bef95a1c67df5350967ccc8c9f,MBB,vnstock:VCI,vnstock:VCI,,MBB: Quyết định HĐQT thay đổi địa điểm PGD Tân Mai và Bắc Đà Nẵng,,2026-06-05 11:41:18+00:00,2026-06-05 11:41:18+00:00,2026-08-12 17:13:47.724959+00:00,published_at,provider_symbol_query,0.8,governance,0.0,neutral,keyword_heuristic_v1
bba00ae5b270d6eaa73a3a857c26a04caf4398b99f17fedfb7277bdb34201480,MBB,vnstock:VCI,vnstock:VCI,,MBB: Thông báo nhận được Quyết định của Chi cục thuế doanh nghiệp lớn,,2026-06-08 09:19:27+00:00,2026-06-08 09:19:27+00:00,2026-08-12 17:13:47.724959+00:00,published_at,provider_symbol_query,0.8,other,0.0,neutral,keyword_heuristic_v1
