date,open,high,low,close,volume,return_1d,return_2d,return_3d,return_5d,return_10d,return_20d,sma_5,sma_20,sma_60,ema_12,ema_26,macd,macd_signal,macd_hist,macd_pct,macd_hist_pct,rsi_14,bb_mid_20,bb_std_20,bb_upper_20,bb_lower_20,bb_width_20,bb_position_20,atr_14,atr_pct_14,adx_14,plus_di_14,minus_di_14,stoch_k_14,stoch_d_3,obv,obv_sma_20,volatility_20d,return_skew_20d,return_kurtosis_20d,volume_sma_20,volume_z_20,volume_ratio_20,range_pct,close_vs_sma20,close_vs_sma60,day_of_week,month_of_year,next_return,target_next_up,market_open,market_close,market_return_1d,market_return_5d,market_return_20d,market_volatility_20d,excess_return_1d,excess_return_5d,excess_return_20d,relative_strength_20d,beta_60d,corr_60d,news_count_lookback,news_sentiment_mean_lookback,news_positive_count_lookback,news_negative_count_lookback,news_earnings_count_lookback,news_corporate_action_count_lookback,news_legal_count_lookback,news_source_count_lookback
2012-05-21,15.03,16.7,15.03,16.65,2502080,,,,,,,,,,16.65,16.65,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,0.10030030030030031,,,0.0,5.0,0.0,0.0,438.53,448.02,0.030049430969076862,-0.04613681364304123,-0.04080671405326708,0.23573693963543252,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-22,17.47,17.47,17.26,17.47,1934550,0.04924924924924934,,,,,,,,,16.776153846153846,16.71074074074074,0.06541310541310708,0.013082621082621416,0.05233048433048566,0.003744310555987812,0.00299544844479025,,,,,,,,,,,,,,,1934550.0,,,,,,,,0.012020606754436022,,,1.0,5.0,-0.04704532415375795,0.0,451.32,447.94,-0.00017856345698852305,-0.016920882256117542,-0.03817744567551329,0.23579272748068364,0.04942781270623786,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-23,17.43,17.47,16.61,16.61,1055780,-0.04922724670864331,-0.002402402402402304,,,,,,,,16.75059171597633,16.703278463648832,0.04731325232749839,0.019928747331596813,0.027384504995901577,0.0028484799715531844,0.0016486757974654774,,,,,,,,,,,,,,,878770.0,,,,,,,,0.05177603853100539,,,2.0,5.0,-0.002525252525252486,0.0,443.6,436.75,-0.024981024244318473,-0.029250294503345153,-0.06109594341853519,0.24963883723145075,-0.02424622246432484,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-24,15.84,16.25,15.8,15.8,1009380,-0.048765803732691126,-0.09559244419003998,-0.0510510510510509,,,,,,,16.604346836595358,16.636368947822994,-0.03202211122763643,0.009538575619750165,-0.04156068684738659,-0.0020267159004833182,-0.002630423218189025,,,,,,,,,,,,,,,-130610.0,,,,,,,,0.028481012658227802,,,3.0,5.0,0.0025316455696202667,1.0,431.39,426.92,-0.022507155123068112,-0.035383433503547335,-0.08317405776871034,0.25838924727258966,-0.026258648609623014,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-25,15.8,16.17,15.07,15.84,877260,0.0025316455696202667,-0.04635761589403975,-0.0933028048082426,,,,16.474,,,16.486755015580687,16.577378655391662,-0.09062363981097477,-0.01049386746639482,-0.08012977234457995,-0.005721189382005983,-0.005058697749026512,,,,,,,,,,,,,,,746650.0,,,,,,,,0.06944444444444453,,,4.0,5.0,-0.04082914572864327,0.0,432.62,437.38,0.024501077485242995,0.005586849063110799,-0.075052339966587,0.2692367745472004,-0.021969431915622728,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-28,15.92,15.92,15.23,15.27,457400,-0.03598484848484851,-0.03354430379746842,-0.0806742925948224,-0.08288288288288281,,,16.198,,,16.29956193626058,16.48053579202932,-0.18097385576873748,-0.04458986512686335,-0.13638399064187412,-0.011851595007775866,-0.008931499059716708,,,,,,,,,,,,,,,289250.0,,,,,,,,0.04518664047151274,,,0.0,5.0,0.010847457627118695,1.0,443.24,435.48,-0.004344048653344812,-0.027989821882951627,-0.0738606154696837,0.26915724858442763,-0.031640799831503696,-0.05489306099993119,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-29,14.75,15.03,14.66,14.91,418300,-0.023575638506876162,-0.058712121212121215,-0.05632911392405071,-0.14653692043503141,,,15.686000000000002,,,16.085783176835875,16.364199807434552,-0.2784166305986773,-0.09135521822122614,-0.18706141237745114,-0.018673147592131272,-0.012546037047448097,,,,,,,,,,,,,,,-129050.0,,,,,,,,0.02481556002682758,,,1.0,5.0,0.021290751829674104,1.0,431.75,431.44,-0.009277119500321507,-0.03683529044068401,-0.08934715157143758,0.2664361952466048,-0.014298519006554655,-0.1097016299943474,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-30,15.03,15.4,14.91,15.35,170280,0.02951039570757885,0.0052390307793057644,-0.030934343434343425,-0.07585791691751953,,,15.434000000000001,,,15.972585765014971,16.289073895772734,-0.3164881307577634,-0.1363818007285336,-0.1801063300292298,-0.020618119267606736,-0.011733311402555686,,,,,,,,,,,,,,,41230.0,,,,,,,,0.03192182410423454,,,2.0,5.0,0.0,0.0,433.29,435.34,0.009039495642499507,-0.003228391528334318,-0.07856749777758965,0.2707365821785639,0.020470900065079345,-0.07262952538918521,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-31,15.11,15.35,14.91,15.11,269030,-0.015635179153094425,0.013413816230717579,-0.01047806155861164,-0.04367088607594949,,,15.296000000000001,,,15.839880262704975,16.201735088678458,-0.3618548259734826,-0.18147640577752341,-0.1803784201959592,-0.023948036133254972,-0.011937684989805375,,,,,,,,,,,,,,,-227800.0,,,,,,,,0.029119788219722005,,,3.0,5.0,0.005322687957418415,1.0,431.84,429.2,-0.014103918776128932,0.005340579031200221,-0.08447098976109224,0.2728527516384215,-0.0015312603769654931,-0.04901146510714971,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-01,15.03,15.19,15.03,15.11,138370,0.0,-0.015635179153094425,0.013413816230717579,-0.04608585858585856,,,15.15,,,15.727590991519595,16.120865822850423,-0.3932748313308281,-0.22383609088818437,-0.1694387404426437,-0.02602745409204686,-0.01121368235887781,,,,,,,,,,,,,,,-227800.0,,,,,,,,0.010589013898080752,,,4.0,6.0,-0.032775919732441317,0.0,430.75,428.8,-0.0009319664492077884,-0.01961680918194697,-0.09976486395700368,0.26255874957789965,0.0009319664492077884,-0.026469049403911593,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
