date,p10,p25,p50,p75,p90,prob_end_above_latest,latest_close,is_model_anchor
2026-08-14,42.56191690378614,42.86848702872999,43.17505715367384,43.51869631031632,43.862335466958804,0.48253968253968255,43.15,False
2026-08-17,41.97383380757228,42.58697405745998,43.20011430734768,43.887392620632646,44.57467093391761,0.4650793650793651,43.15,False
2026-08-18,41.38575071135842,42.30546108618997,43.225171461021525,44.25608893094896,45.28700640087641,0.4476190476190476,43.15,False
2026-08-19,40.797667615144555,42.02394811491996,43.25022861469537,44.624785241265286,45.99934186783521,0.43015873015873013,43.15,False
2026-08-20,40.2095845189307,41.742435143649956,43.27528576836921,44.99348155158161,46.71167733479402,0.4126984126984127,43.15,True
2026-08-21,40.03222027371735,41.65297831039226,43.273736347067164,45.15874656588023,47.043756784693294,0.40555555555555556,43.15,False
2026-08-24,39.854856028504,41.563521477134564,43.272186925765126,45.32401158017885,47.37583623459256,0.3984126984126984,43.15,False
2026-08-25,39.677491783290655,41.47406464387687,43.27063750446308,45.48927659447746,47.70791568449184,0.39126984126984127,43.15,False
2026-08-26,39.50012753807731,41.38460781061917,43.269088083161044,45.65454160877607,48.039995134391106,0.3841269841269841,43.15,False
2026-08-27,39.32276329286396,41.29515097736148,43.267538661859,45.81980662307469,48.37207458429038,0.376984126984127,43.15,True
2026-08-28,38.78064747627695,41.04568568336363,43.31072389045032,46.15678881468898,49.00285373892764,0.3742063492063492,43.15,False
2026-09-03,38.23853165968993,40.796220389365786,43.35390911904164,46.49377100630327,49.6336328935649,0.37142857142857144,43.15,False
2026-09-04,37.696415843102926,40.54675509536794,43.39709434763296,46.83075319791756,50.26441204820216,0.3686507936507936,43.15,False
2026-09-07,37.15430002651591,40.2972898013701,43.44027957622428,47.16773538953185,50.89519120283942,0.36587301587301585,43.15,False
2026-09-08,36.6121842099289,40.04782450737225,43.4834648048156,47.50471758114614,51.52597035747668,0.3630952380952381,43.15,False
2026-09-09,36.070068393341884,39.7983592133744,43.52665003340691,47.84169977276042,52.15674951211393,0.3603174603174603,43.15,False
2026-09-10,35.52795257675487,39.54889391937655,43.56983526199823,48.17868196437471,52.78752866675119,0.35753968253968255,43.15,False
2026-09-11,34.985836760167864,39.29942862537871,43.61302049058955,48.515664155989,53.41830782138845,0.3547619047619047,43.15,False
2026-09-14,34.44372094358085,39.04996333138086,43.65620571918087,48.85264634760329,54.04908697602571,0.35198412698412695,43.15,False
2026-09-15,33.901605126993836,38.80049803738301,43.69939094777219,49.18962853921758,54.67986613066297,0.3492063492063492,43.15,True
