date,p10,p25,p50,p75,p90,prob_end_above_latest,latest_close,is_model_anchor
2026-08-14,123.77608084896474,124.32870929035248,124.88133773174022,125.55512522690925,126.22891272207829,0.5055555555555555,124.9,False
2026-08-17,122.65216169792947,123.75741858070495,124.86267546348041,126.21025045381849,127.55782544415656,0.5111111111111111,124.9,False
2026-08-18,121.52824254689422,123.18612787105742,124.84401319522063,126.86537568072774,128.88673816623484,0.5166666666666667,124.9,False
2026-08-19,120.40432339585895,122.6148371614099,124.82535092696082,127.52050090763697,130.21565088831312,0.5222222222222223,124.9,False
2026-08-20,119.28040424482369,122.04354645176235,124.80668865870103,128.17562613454623,131.5445636103914,0.5277777777777778,124.9,True
2026-08-21,118.76029769511032,121.78276585424005,124.80523401336978,128.48499198500616,132.16474995664254,0.526984126984127,124.9,False
2026-08-24,118.24019114539696,121.52198525671776,124.80377936803853,128.7943578354661,132.78493630289364,0.5261904761904762,124.9,False
2026-08-25,117.72008459568359,121.26120465919544,124.80232472270728,129.103723685926,133.40512264914477,0.5253968253968254,124.9,False
2026-08-26,117.19997804597023,121.00042406167313,124.80087007737603,129.41308953638594,134.02530899539587,0.5246031746031746,124.9,False
2026-08-27,116.67987149625687,120.73964346415082,124.79941543204478,129.7224553868459,134.645495341647,0.5238095238095238,124.9,True
2026-08-28,116.44033431312054,120.62409678154575,124.80785924997095,129.9251974288464,135.04253560772182,0.5261904761904762,124.9,False
2026-09-03,116.20079712998421,120.50855009894066,124.81630306789711,130.12793947084688,135.43957587379666,0.5285714285714286,124.9,False
2026-09-04,115.96125994684789,120.39300341633557,124.82474688582327,130.33068151284738,135.83661613987147,0.530952380952381,124.9,False
2026-09-07,115.72172276371155,120.2774567337305,124.83319070374944,130.53342355484784,136.23365640594628,0.5333333333333333,124.9,False
2026-09-08,115.48218558057523,120.16191005112542,124.8416345216756,130.73616559684837,136.63069667202112,0.5357142857142858,124.9,False
2026-09-09,115.24264839743891,120.04636336852033,124.85007833960175,130.93890763884883,137.02773693809593,0.5380952380952382,124.9,False
2026-09-10,115.00311121430258,119.93081668591525,124.85852215752791,131.14164968084933,137.42477720417074,0.5404761904761906,124.9,False
2026-09-11,114.76357403116626,119.81527000331016,124.86696597545408,131.34439172284982,137.82181747024555,0.5428571428571429,124.9,False
2026-09-14,114.52403684802992,119.69972332070509,124.87540979338024,131.54713376485032,138.2188577363204,0.5452380952380953,124.9,False
2026-09-15,114.2844996648936,119.5841766381,124.8838536113064,131.7498758068508,138.6158980023952,0.5476190476190477,124.9,True
