horizon,date,symbol,prediction,prediction_score,predicted_rank,predicted_percentile,predicted_excess_return
5,2026-08-07,VCB,0.0024201223,0.0024201223,1.0,1.0,0.0024201223
5,2026-08-07,FPT,0.002324041,0.002324041,2.0,0.8,0.002324041
5,2026-08-07,HPG,0.0010629155,0.0010629155,3.0,0.6,0.0010629155
5,2026-08-07,MWG,0.0004760293,0.0004760293,4.0,0.4,0.0004760293
5,2026-08-07,VNM,-0.0005241913,-0.0005241913,5.0,0.2,-0.0005241913
20,2026-08-07,VCB,0.009373057,0.009373057,1.0,1.0,0.009373057
20,2026-08-07,HPG,0.007906124,0.007906124,2.0,0.8,0.007906124
20,2026-08-07,FPT,0.0076713064,0.0076713064,3.0,0.6,0.0076713064
20,2026-08-07,VNM,0.007081545,0.007081545,4.0,0.4,0.007081545
20,2026-08-07,MWG,-0.0006145268,-0.0006145268,5.0,0.2,-0.0006145268
