fold,train_start,train_end,validation_start,validation_end,test_start,test_end,train_dates,train_rows,validation_dates,validation_rows,test_dates,test_rows,gap,best_iteration,num_boost_round,validation_metric,validation_score_at_best
1,2014-10-08,2024-08-21,2024-08-29,2025-03-04,2025-03-12,2025-06-12,2457,12285,126,630,63,315,5,43,44,rmse,0.02037634007389209
2,2014-10-08,2024-11-20,2024-11-28,2025-06-05,2025-06-13,2025-09-11,2520,12600,126,630,63,315,5,243,244,rmse,0.02595914568617286
3,2014-10-08,2025-02-25,2025-03-05,2025-09-04,2025-09-12,2025-12-09,2583,12915,126,630,63,315,5,67,68,rmse,0.03244675950233722
4,2014-10-08,2025-05-29,2025-06-06,2025-12-02,2025-12-10,2026-03-17,2646,13230,126,630,63,315,5,1,2,rmse,0.03383800319910261
5,2014-10-08,2025-08-26,2025-09-05,2026-03-10,2026-03-18,2026-06-17,2709,13545,126,630,63,315,5,0,1,rmse,0.04413520608698475
6,2014-10-08,2025-11-25,2025-12-03,2026-06-10,2026-06-18,2026-07-31,2772,13860,126,630,32,160,5,19,20,rmse,0.04280027939599684
