fold,train_start,train_end,validation_start,validation_end,test_start,test_end,train_dates,train_rows,validation_dates,validation_rows,test_dates,test_rows,gap,best_iteration,num_boost_round,validation_metric,validation_score_at_best
1,2014-10-08,2024-05-24,2024-06-24,2024-12-18,2025-01-17,2025-04-23,2394,11970,126,630,63,315,20,0,1,rmse,0.04513020004914699
2,2014-10-08,2024-08-21,2024-09-23,2025-03-25,2025-04-24,2025-07-24,2457,12285,126,630,63,315,20,278,279,rmse,0.04428571772140177
3,2014-10-08,2024-11-20,2024-12-19,2025-06-26,2025-07-25,2025-10-23,2520,12600,126,630,63,315,20,58,59,rmse,0.05395537946640681
4,2014-10-08,2025-02-25,2025-03-26,2025-09-25,2025-10-24,2026-01-22,2583,12915,126,630,63,315,20,1,2,rmse,0.0682322839979544
5,2014-10-08,2025-05-29,2025-06-27,2025-12-23,2026-01-23,2026-04-29,2646,13230,126,630,63,315,20,3,4,rmse,0.07503684447083743
6,2014-10-08,2025-08-26,2025-09-26,2026-03-31,2026-05-04,2026-07-10,2709,13545,126,630,50,250,20,39,40,rmse,0.07820364039809402
