horizon,date,symbols,positions,gross_return,turnover,selection_turnover,cost_turnover,cost,net_return,market_return,net_excess_return,market_regime
20,2025-01-17,"FPT,VCB,HPG",3,-0.01333665686890769,0.5,0.5,1.0,0.005,-0.01833665686890769,0.037375102997528,-0.05571175986643569,sideways
20,2025-02-21,"HPG,FPT,VNM",3,-0.04794912416557895,0.3333333333333333,0.3333333333333333,1.0,0.005,-0.05294912416557895,0.018091636565284785,-0.07104076073086374,bull
20,2025-03-21,"VCB,HPG,MWG",3,-0.09123833453226766,0.6666666666666666,0.6666666666666666,1.0,0.005,-0.09623833453226767,-0.08755763852143028,-0.008680696010837388,sideways
20,2025-04-21,"HPG,MWG,VCB",3,0.05805716308079145,0.0,0.0,1.0,0.005,0.053057163080791454,0.09360901629792395,-0.0405518532171325,bear
20,2025-05-22,"FPT,MWG,HPG",3,0.014619841211681472,0.3333333333333333,0.3333333333333333,1.0,0.005,0.009619841211681471,0.029004589285578364,-0.019384748073896892,bull
20,2025-06-19,"HPG,VNM,FPT",3,0.10561845762014148,0.3333333333333333,0.3333333333333333,1.0,0.005,0.10061845762014147,0.09989001173700252,0.000728445883138959,sideways
20,2025-07-17,"HPG,MWG,VNM",3,0.04866115338490581,0.3333333333333333,0.3333333333333333,1.0,0.005,0.04366115338490581,0.09559741708012526,-0.05193626369521945,bull
20,2025-08-14,"HPG,VNM,VCB",3,0.020112356269328575,0.3333333333333333,0.3333333333333333,1.0,0.005,0.015112356269328574,0.016077286761868148,-0.0009649304925395744,bull
20,2025-09-15,"HPG,MWG,VNM",3,-1.0703960194535789e-05,0.3333333333333333,0.3333333333333333,1.0,0.005,-0.005010703960194536,0.04022111299038822,-0.04523181695058275,sideways
20,2025-10-13,"VNM,MWG,VCB",3,-0.07736671068195806,0.3333333333333333,0.3333333333333333,1.0,0.005,-0.08236671068195807,-0.11353528101987143,0.031168570337913357,bull
20,2025-11-10,"HPG,MWG,VCB",3,0.026900455636743963,0.3333333333333333,0.3333333333333333,1.0,0.005,0.021900455636743962,0.10623722655362955,-0.08433677091688559,bear
20,2025-12-08,"MWG,VNM,VCB",3,0.017060941546598134,0.3333333333333333,0.3333333333333333,1.0,0.005,0.012060941546598133,0.05053526181836654,-0.038474320271768406,bull
20,2026-01-07,"MWG,VCB,FPT",3,0.08163520432453164,0.3333333333333333,0.3333333333333333,1.0,0.005,0.07663520432453164,-0.047522078253518396,0.12415728257805003,bull
20,2026-02-04,"HPG,VNM,FPT",3,-0.12098635779991074,0.6666666666666666,0.6666666666666666,1.0,0.005,-0.12598635779991074,-0.03398280738231785,-0.0920035504175929,bear
20,2026-03-11,"HPG,FPT,VCB",3,0.013691753861604447,0.3333333333333333,0.3333333333333333,1.0,0.005,0.008691753861604447,0.023260826507905064,-0.014569072646300616,bear
20,2026-04-08,"FPT,HPG,VCB",3,-0.041460176956980344,0.0,0.0,1.0,0.005,-0.04646017695698034,0.08259846477200039,-0.12905864172898074,sideways
20,2026-05-11,"HPG,VCB,MWG",3,-0.03979237474555445,0.3333333333333333,0.3333333333333333,1.0,0.005,-0.04479237474555445,-0.05423093175575744,0.009438557010202991,bull
20,2026-06-08,"VCB,FPT,MWG",3,0.004184096115737408,0.3333333333333333,0.3333333333333333,1.0,0.005,-0.0008159038842625917,0.024616359402181986,-0.02543226328644458,bear
20,2026-07-06,"VCB,FPT,VNM",3,0.02546519162383561,0.3333333333333333,0.3333333333333333,1.0,0.005,0.02046519162383561,-0.042293922387800276,0.06275911401163589,sideways
