symbol,organ_name,exchange,sector,listed_at,delisted_at,available_at,source,status
FPT,Cong ty Co phan FPT,HOSE,Technology,2006-12-13,,2006-12-13T08:00:00Z,LICENSED_PROVIDER,active
OLD,Example delisted company,HNX,Example,2010-01-01,2020-01-02,2010-01-01T08:00:00Z,LICENSED_PROVIDER,delisted
