symbol,available_at,published_at,sentiment_score,sentiment_label,event_type,source_name,title,source_url,fetched_at,analysis_method,snapshot_mode
MBB,2026-08-04 01:29:00+00:00,2026-08-04 01:29:00+00:00,1.0,positive,other,bnews.vn,"Cổ phiếu tâm điểm 4/8: Khuyến nghị mua MBB, REE và PVS - bnews.vn",https://bnews.vn/co-phieu-tam-diem-4-8-khuyen-nghi-mua-mbb-ree-va-pvs/431287.html,2026-08-09T09:18:38.605817+00:00,keyword_heuristic_from_news_reader_snapshot_v1,live_research_only
MBB,2026-08-04 04:58:05+00:00,2026-08-04 04:58:05+00:00,1.0,positive,corporate_action,Vietstock,"MB chốt quyền chia cổ tức và chào bán cổ phiếu, nâng vốn điều lệ lên hơn 100,600 tỷ - Vietstock",https://vietstock.vn/2026/08/mb-chot-quyen-chia-co-tuc-va-chao-ban-co-phieu-nang-von-dieu-le-len-hon-100600-ty-738-1476203.htm,2026-08-09T09:18:38.605817+00:00,keyword_heuristic_from_news_reader_snapshot_v1,live_research_only
MBB,2026-08-04 08:39:02+00:00,2026-08-04 08:39:02+00:00,1.0,positive,earnings,Tin nhanh chứng khoán,"MB chốt quyền chia cổ tức 15%, phát hành chào bán gần 805,5 triệu cổ phiếu giá 10.000 đồng/CP - Tin nhanh chứng khoán",https://www.tinnhanhchungkhoan.vn/mb-chot-quyen-chia-co-tuc-15-phat-hanh-chao-ban-gan-8055-trieu-co-phieu-gia-10000-dongcp-post395281.html,2026-08-11T05:03:57.153621+00:00,keyword_heuristic_from_news_reader_snapshot_v1,live_research_only
MBB,2026-08-04 22:00:00+00:00,2026-08-04 22:00:00+00:00,0.0,neutral,other,VOV.VN,Một số cổ phiếu cần quan tâm 5/8: Cơ hội đầu tư tiềm năng với HPG và MBB - VOV.VN,https://vov.vn/thi-truong/mot-so-co-phieu-can-quan-tam-58-co-hoi-dau-tu-tiem-nang-voi-hpg-va-mbb-post1321179.vov,2026-08-11T05:03:57.153621+00:00,keyword_heuristic_from_news_reader_snapshot_v1,live_research_only
MBB,2026-08-05 03:42:58+00:00,2026-08-05 03:42:58+00:00,0.5,positive,earnings,24HMoney,"MBB: lãi tăng 41%, cổ phiếu đã vào sóng? - 24HMoney",https://24hmoney.vn/news/mbb-lai-tang-41-co-phieu-da-vao-song-c30a2816737.html,2026-08-11T05:03:57.153621+00:00,keyword_heuristic_from_news_reader_snapshot_v1,live_research_only
MBB,2026-08-09 03:12:01+00:00,2026-08-09 03:12:01+00:00,1.0,positive,corporate_action,nguoiquansat.vn,"Lịch chốt quyền cổ tức tuần 10-14/8: MBB, BSR, MCH đồng loạt thanh toán; tỷ lệ cao nhất 100% - nguoiquansat.vn",https://nguoiquansat.vn/lich-chot-quyen-co-tuc-tuan-10-14-8-mbb-bsr-mch-dong-loat-thanh-toan-ty-le-cao-nhat-100-309384.html,2026-08-09T09:18:38.605817+00:00,keyword_heuristic_from_news_reader_snapshot_v1,live_research_only
MBB,2026-08-09 06:38:01+00:00,2026-08-09 06:38:01+00:00,1.0,positive,corporate_action,nguoiquansat.vn,"Tuần tới, MB chốt quyền nhận cổ tức 15%, mua thêm cổ phiếu giá 10.000 đồng - nguoiquansat.vn",https://nguoiquansat.vn/tuan-toi-mb-chot-quyen-nhan-co-tuc-15-mua-them-co-phieu-gia-10-000-dong-309416.html,2026-08-11T05:03:57.153621+00:00,keyword_heuristic_from_news_reader_snapshot_v1,live_research_only
MBB,2026-08-09 06:57:00+00:00,2026-08-09 06:57:00+00:00,1.0,positive,corporate_action,Tạp chí Kinh tế chứng khoán Việt Nam,"Lịch cổ tức tuần 10-14/8: MBB, BSR, MCH, BFC, FOC đồng loạt chốt quyền; tỷ lệ tiền mặt cao nhất 100% - Tạp chí Kinh tế chứng khoán Việt Nam",https://kinhtechungkhoan.vn/lich-co-tuc-tuan-10-148-mbb-bsr-mch-bfc-foc-dong-loat-chot-quyen-ty-le-tien-mat-cao-nhat-100,2026-08-09T09:18:38.605817+00:00,keyword_heuristic_from_news_reader_snapshot_v1,live_research_only
TCB,2026-07-24 07:00:00+00:00,2026-07-24 07:00:00+00:00,1.0,positive,other,hangthat.thuonghieucongluan.com.vn,"Cổ phiếu ngày 24/7: HVN chờ lực đẩy mới, TCB ghi dấu ấn với tăng trưởng tín dụng - hangthat.thuonghieucongluan.com.vn",https://hangthat.thuonghieucongluan.com.vn/co-phieu-ngay-24-7-hvn-cho-luc-day-moi-tcb-ghi-dau-an-voi-tang-truong-tin-dung-a291970.html,2026-08-09T09:12:21.473279+00:00,keyword_heuristic_from_news_reader_snapshot_v1,live_research_only
TCB,2026-07-24 07:00:00+00:00,2026-07-24 07:00:00+00:00,0.0,neutral,other,bnews.vn,Khuyến nghị cổ phiếu HVN và TCB: Góc nhìn từ chuyên gia - bnews.vn,https://bnews.vn/khuyen-nghi-co-phieu-hvn-va-tcb-goc-nhin-tu-chuyen-gia/429965.html,2026-08-09T09:12:21.473279+00:00,keyword_heuristic_from_news_reader_snapshot_v1,live_research_only
TCB,2026-07-26 07:00:00+00:00,2026-07-26 07:00:00+00:00,0.0,neutral,other,nguoiquansat.vn,"Cổ phiếu đáng chú ý ngày 27/7: VPB, NT2, TCB - nguoiquansat.vn",https://nguoiquansat.vn/co-phieu-dang-chu-y-ngay-27-7-vpb-nt2-tcb-306439.html,2026-08-09T09:12:21.473279+00:00,keyword_heuristic_from_news_reader_snapshot_v1,live_research_only
TCB,2026-07-28 02:22:00+00:00,2026-07-28 02:22:00+00:00,0.0,neutral,other,bnews.vn,"Chứng khoán ngày 28/7: Khuyến nghị cổ phiếu VPB và NT2, cập nhật KQKD ACB và TCB - bnews.vn",https://bnews.vn/chung-khoan-ngay-28-7-khuyen-nghi-co-phieu-vpb-va-nt2-cap-nhat-kqkd-acb-va-tcb/430358.html,2026-08-09T09:12:21.473279+00:00,keyword_heuristic_from_news_reader_snapshot_v1,live_research_only
TCB,2026-07-28 12:32:51+00:00,2026-07-28 12:32:51+00:00,1.0,positive,earnings,24HMoney,Cổ phiếu TCB - Lợi nhuận chạm đỉnh - Động lực đa chiều? Bóc tách BCTC Q2/2026 - 24HMoney,https://24hmoney.vn/news/co-phieu-tcb-loi-nhuan-cham-dinh-dong-luc-da-chieu-boc-tach-bctc-q2-2026-c30a2813126.html,2026-08-09T09:12:21.473279+00:00,keyword_heuristic_from_news_reader_snapshot_v1,live_research_only
TCB,2026-07-28 18:44:58+00:00,2026-07-28 18:44:58+00:00,0.0,neutral,other,VietstockFinance,"TCB: Khuyến nghị MUA với giá mục tiêu 37,700 đồng/cổ phiếu - VietstockFinance",https://finance.vietstock.vn/bao-cao-phan-tich/21219/tcb-khuyen-nghi-mua-voi-gia-muc-tieu-37700-dongco-phieu.htm,2026-08-09T09:12:21.473279+00:00,keyword_heuristic_from_news_reader_snapshot_v1,live_research_only
TCB,2026-07-29 16:33:13+00:00,2026-07-29 16:33:13+00:00,1.0,positive,other,Vietnam.vn,Chứng khoán AGR khuyến nghị tăng tỷ trọng cổ phiếu TCB - Vietnam.vn,https://www.vietnam.vn/chung-khoan-agr-khuyen-nghi-tang-ty-trong-co-phieu-tcb,2026-08-09T09:12:21.473279+00:00,keyword_heuristic_from_news_reader_snapshot_v1,live_research_only
TCB,2026-07-29 23:19:00+00:00,2026-07-29 23:19:00+00:00,1.0,positive,earnings,hangthat.thuonghieucongluan.com.vn,"Cổ phiếu cần lưu ý ngày 30/7: TCB tiếp tục được nâng kỳ vọng, SAB giữ biên lợi nhuận tích cực - hangthat.thuonghieucongluan.com.vn",https://hangthat.thuonghieucongluan.com.vn/co-phieu-can-luu-y-ngay-30-7-tcb-tiep-tuc-duoc-nang-ky-vong-sab-giu-bien-loi-nhuan-tich-cuc-a292198.html,2026-08-09T09:12:21.473279+00:00,keyword_heuristic_from_news_reader_snapshot_v1,live_research_only
TCB,2026-07-30 01:33:00+00:00,2026-07-30 01:33:00+00:00,0.3333333333333333,positive,earnings,hangthat.thuonghieucongluan.com.vn,"Dự báo chứng khoán ngày 30/7: TCB được khuyến nghị tăng tỷ trọng, giá mục tiêu 33.000 đồng/cổ phiếu - hangthat.thuonghieucongluan.com.vn",https://hangthat.thuonghieucongluan.com.vn/du-bao-chung-khoan-ngay-30-7-tcb-duoc-khuyen-nghi-tang-ty-trong-gia-muc-tieu-33-000-dong-co-phieu-a292202.html,2026-08-09T09:12:21.473279+00:00,keyword_heuristic_from_news_reader_snapshot_v1,live_research_only
TCB,2026-08-10 09:11:01+00:00,2026-08-10 09:11:01+00:00,1.0,positive,other,nguoiquansat.vn,"Cổ phiếu TCB bứt phá, nhóm ngân hàng đồng loạt tăng - nguoiquansat.vn",https://nguoiquansat.vn/co-phieu-tcb-but-pha-nhom-ngan-hang-dong-loat-tang-309624.html,2026-08-11T05:12:47.579622+00:00,keyword_heuristic_from_news_reader_snapshot_v1,live_research_only
TCB,2026-08-10 09:22:36+00:00,2026-08-10 09:22:36+00:00,0.0,neutral,other,VietnamFinance,TCB cùng nhóm cổ phiếu doanh nghiệp Nhà nước 'kéo' VN-Index tăng gần 9 điểm - VietnamFinance,https://vietnamfinance.vn/tcb-cung-nhom-co-phieu-doanh-nghiep-nha-nuoc-keo-vn-index-tang-gan-9-diem-d148847.html,2026-08-11T05:12:47.579622+00:00,keyword_heuristic_from_news_reader_snapshot_v1,live_research_only
TCB,2026-08-10 12:16:00+00:00,2026-08-10 12:16:00+00:00,0.0,neutral,other,Tuổi Trẻ,"Tự doanh chứng khoán mua ròng hàng trăm tỉ đồng, cổ phiếu TCB áp sát kỷ lục lịch sử - Tuổi Trẻ",https://tuoitre.vn/tu-doanh-chung-khoan-mua-rong-hang-tram-ti-dong-co-phieu-tcb-ap-sat-ky-luc-lich-su-100260810184528929.htm,2026-08-11T05:12:47.579622+00:00,keyword_heuristic_from_news_reader_snapshot_v1,live_research_only
TCB,2026-08-10 16:09:01+00:00,2026-08-10 16:09:01+00:00,0.0,neutral,other,nguoiquansat.vn,"Cổ phiếu đáng chú ý ngày 11/8: TCB, GAS, VGC - nguoiquansat.vn",https://nguoiquansat.vn/co-phieu-dang-chu-y-ngay-11-8-tcb-gas-vgc-309709.html,2026-08-11T05:12:47.579622+00:00,keyword_heuristic_from_news_reader_snapshot_v1,live_research_only
VCB,2026-08-05 04:45:15+00:00,2026-08-05 04:45:15+00:00,1.0,positive,other,dautucophieu.net,"Cập nhật cổ phiếu VCB – LNTT Q2 tăng 58%, vượt trội so với dự báo - dautucophieu.net",https://dautucophieu.net/cap-nhat-co-phieu-vcb-lntt-q2-tang-58-vuot-troi-so-voi-du-bao/,2026-08-11T05:13:32.596968+00:00,keyword_heuristic_from_news_reader_snapshot_v1,live_research_only
VCB,2026-08-06 05:45:18+00:00,2026-08-06 05:45:18+00:00,1.0,positive,other,VietstockFinance,"VCB: Khuyến nghị MUA với giá mục tiêu 81,400 đồng/cổ phiếu - VietstockFinance",https://finance.vietstock.vn/bao-cao-phan-tich/21362/vcb-khuyen-nghi-mua-voi-gia-muc-tieu-81400-dongco-phieu.htm?languageid=1,2026-08-09T08:38:35.774582+00:00,keyword_heuristic_from_news_reader_snapshot_v1,live_research_only
VCB,2026-08-06 16:40:01+00:00,2026-08-06 16:40:01+00:00,0.0,neutral,other,nguoiquansat.vn,"Cổ phiếu đáng chú ý ngày 7/8: DMX, POW, VCB - nguoiquansat.vn",https://nguoiquansat.vn/co-phieu-dang-chu-y-ngay-7-8-dmx-pow-vcb-308947.html,2026-08-11T05:13:32.596968+00:00,keyword_heuristic_from_news_reader_snapshot_v1,live_research_only
VCB,2026-08-07 01:19:00+00:00,2026-08-07 01:19:00+00:00,1.0,positive,other,bnews.vn,"Chứng khoán hôm nay: Khuyến nghị mua DMX, POW và chờ mua VCB - bnews.vn",https://bnews.vn/chung-khoan-hom-nay-khuyen-nghi-mua-dmx-pow-va-cho-mua-vcb/431720.html,2026-08-11T05:13:32.596968+00:00,keyword_heuristic_from_news_reader_snapshot_v1,live_research_only
