symbol,available_at,published_at,sentiment_score,sentiment_label,event_type,source_name,title,source_url,fetched_at,analysis_method,snapshot_mode
ACB,2026-07-21 07:00:00+00:00,2026-07-21 07:00:00+00:00,0.0,neutral,other,nguoiquansat.vn,"Cổ phiếu đáng chú ý ngày 22/7: FPT, TNG, ACB - nguoiquansat.vn",https://nguoiquansat.vn/co-phieu-dang-chu-y-ngay-22-7-fpt-tng-acb-305506.html,2026-08-12T15:06:15.103992+00:00,keyword_heuristic_from_news_reader_snapshot_v1,live_research_only
ACB,2026-07-24 07:00:00+00:00,2026-07-24 07:00:00+00:00,1.0,positive,earnings,Vietstock,"Tăng trưởng lợi nhuận cốt lõi, ACB chuẩn bị nguồn lực cho chiến lược 5 năm tới - Vietstock",https://vietstock.vn/2026/07/tang-truong-loi-nhuan-cot-loi-acb-chuan-bi-nguon-luc-cho-chien-luoc-5-nam-toi-757-1470726.htm,2026-08-12T15:06:15.103992+00:00,keyword_heuristic_from_news_reader_snapshot_v1,live_research_only
ACB,2026-07-29 07:00:00+00:00,2026-07-29 07:00:00+00:00,0.0,neutral,other,Tạp chí Kinh tế - Tài chính Online,54 quỹ cùng mua cổ phiếu ACB trong tháng 6 - Tạp chí Kinh tế - Tài chính Online,https://tapchikinhtetaichinh.vn/54-quy-cung-mua-co-phieu-acb-trong-thang-6-163140.html,2026-08-12T15:06:15.103992+00:00,keyword_heuristic_from_news_reader_snapshot_v1,live_research_only
ACB,2026-08-02 22:00:00+00:00,2026-08-02 22:00:00+00:00,0.0,neutral,other,VOV.VN,Một số cổ phiếu cần quan tâm 3/8: Cơ hội đầu tư tiềm năng với ACB và POW - VOV.VN,https://vov.vn/thi-truong/mot-so-co-phieu-can-quan-tam-38-co-hoi-dau-tu-tiem-nang-voi-acb-va-pow-post1320406.vov,2026-08-12T15:06:15.103992+00:00,keyword_heuristic_from_news_reader_snapshot_v1,live_research_only
ACB,2026-08-04 01:58:00+00:00,2026-08-04 01:58:00+00:00,0.0,neutral,other,fili.vn,Ngày 04/08/2026: 10 cổ phiếu nóng dưới góc nhìn PTKT của Vietstock - fili.vn,https://fili.vn/2026/08/ngay-04082026-10-co-phieu-nong-duoi-goc-nhin-ptkt-cua-vietstock-585-1475953.htm,2026-08-09T08:25:12.625267+00:00,keyword_heuristic_from_news_reader_snapshot_v1,live_research_only
ACB,2026-08-04 03:54:07+00:00,2026-08-04 03:54:07+00:00,0.0,neutral,governance,congly.vn,ACB vào rổ 20 cổ phiếu phát triển bền vững VNSI 2026 - congly.vn,https://doanhnhan.congly.vn/acb-vao-ro-20-co-phieu-phat-trien-ben-vung-vnsi-2026.html,2026-08-09T08:25:12.625267+00:00,keyword_heuristic_from_news_reader_snapshot_v1,live_research_only
ACB,2026-08-06 02:00:48+00:00,2026-08-06 02:00:48+00:00,0.0,neutral,other,Fili.vn,Ngày 06/08/2026: 10 cổ phiếu nóng dưới góc nhìn PTKT của Vietstock - Fili.vn,https://fili.vn/2026/08/ngay-06082026-10-co-phieu-nong-duoi-goc-nhin-ptkt-cua-vietstock-585-1477037.htm,2026-08-12T17:05:23.249267+00:00,keyword_heuristic_from_news_reader_snapshot_v1,live_research_only
ACB,2026-08-06 02:00:48+00:00,2026-08-06 02:00:48+00:00,0.0,neutral,other,fili.vn,Ngày 06/08/2026: 10 cổ phiếu nóng dưới góc nhìn PTKT của Vietstock - fili.vn,https://fili.vn/2026/08/ngay-06082026-10-co-phieu-nong-duoi-goc-nhin-ptkt-cua-vietstock-585-1477037.htm,2026-08-09T08:25:12.625267+00:00,keyword_heuristic_from_news_reader_snapshot_v1,live_research_only
ACB,2026-08-12 08:54:06+00:00,2026-08-12 08:54:06+00:00,0.0,neutral,other,Nhịp sống kinh doanh,3 cổ phiếu được khối ngoại “rót” gần 500 tỷ đồng trong phiên VN-Index bứt phá - Nhịp sống kinh doanh,https://nhipsongkinhdoanh.vn/3-co-phieu-duoc-khoi-ngoai--rot--gan-500-ty-dong-trong-phien-vn-index-but-pha-31775.htm,2026-08-13T17:03:57.745856+00:00,keyword_heuristic_from_news_reader_snapshot_v1,live_research_only
ACB,2026-08-13 02:10:00+00:00,2026-08-13 02:10:00+00:00,0.0,neutral,other,VietnamBiz,"Ba cổ phiếu ngân hàng ACB, SSB, MSB vào rổ MSCI Frontier Markets - VietnamBiz",https://vietnambiz.vn/ba-co-phieu-ngan-hang-acb-ssb-msb-vao-ro-msci-frontier-markets-202681384052351.htm,2026-08-13T17:03:57.745856+00:00,keyword_heuristic_from_news_reader_snapshot_v1,live_research_only
ACB,2026-08-13 07:30:57+00:00,2026-08-13 07:30:57+00:00,0.0,neutral,other,F247.COM,Cập nhật danh mục MSCI Frontier Markets Index: Ba cổ phiếu ngân hàng chính thức được thêm mới - F247.COM,https://f247.com/t/cap-nhat-danh-muc-msci-frontier-markets-index-ba-co-phieu-ngan-hang-chinh-thuc-duoc-them-moi/876989,2026-08-13T17:03:57.745856+00:00,keyword_heuristic_from_news_reader_snapshot_v1,live_research_only
ACB,2026-08-13 10:32:00+00:00,2026-08-13 10:32:00+00:00,0.0,neutral,other,Tin nhanh chứng khoán,Cổ phiếu cần quan tâm ngày 14/8 - Tin nhanh chứng khoán,https://www.tinnhanhchungkhoan.vn/co-phieu-can-quan-tam-ngay-148-post395888.html,2026-08-13T17:03:57.745856+00:00,keyword_heuristic_from_news_reader_snapshot_v1,live_research_only
