item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,4166588283379.0,3238175968274.0,3178369955454.0,4095665398691.0,4820598280382.0,2983350469961.0,3966255895350.0,5374046800939.0,5047369321706.0,2769528845620.0,3962201288187.0,5903043165174.0,7234561357052.0,4513830098175.0,890098972480.0,7176172897335.0,10229010768820.0,8142746815789.0,7443393767391.0,8395977590240.0,9890322046882.0,6735502069493.0,6991365461426.0,9864419377152.0,12703109376152.0,9605148405359.0,7225789054822.0,8698354347717.0,9759650683046.0,7664650341452.0,8235605818836.0,9750682769282.0,17366657543714.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-27135169850.0,-20736205018.0,-27520745080.0,-32271741000.0,-37106690686.0,-21521889924.0,-32237245468.0,-52704540031.0,-46478904081.0,-24726646013.0,-39827405773.0,-60091419311.0,-52789893715.0,-58421596603.0,-13131732462.0,-77268025826.0,-86293516235.0,-74971254021.0,-79413872253.0,-93995740578.0,-94635550449.0,-72186968721.0,-73819543649.0,-104037695705.0,-109270487169.0,-86449270145.0,-96177851976.0,-117666403375.0,-124554268544.0,-82200767315.0,-100101386950.0,-127690260415.0,-121426544426.0
Doanh thu thuần,Net sales,net_sales,4139453113529.0,3217439763256.0,3150849210374.0,4063393657691.0,4783491589696.0,2961828580037.0,3934018649882.0,5321342260908.0,5000890417625.0,2744802199607.0,3922373882414.0,5842951745863.0,7181771463337.0,4455408501572.0,876967240018.0,7098904871509.0,10142717252585.0,8067775561768.0,7363979895138.0,8301981849662.0,9795686496433.0,6663315100772.0,6917545917777.0,9760381681447.0,12593838888983.0,9518699135214.0,7129611202846.0,8580687944342.0,9635096414502.0,7582449574137.0,8135504431886.0,9622992508867.0,17245230999288.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-3369430601006.0,-2634537690306.0,-2550829399062.0,-3237254493017.0,-3734137817255.0,-2326094975065.0,-3180963642552.0,-4298771153390.0,-3951333995980.0,-2271304837096.0,-3188043827778.0,-4665569863768.0,-5856651852958.0,-3620339477995.0,-721083564561.0,-5842079070664.0,-8381925540519.0,-6618589759477.0,-6116067808131.0,-6833077187073.0,-7895734399319.0,-5453714405037.0,-5719911177800.0,-8008978267079.0,-10444502363030.0,-8037576726745.0,-5879029148365.0,-6788226293053.0,-7586766309432.0,-5953476887712.0,-6528295097135.0,-7223656327099.0,-13804325099087.0
Lợi nhuận gộp,Gross Profit,gross_profit,770022512523.0,582902072950.0,600019811312.0,826139164674.0,1049353772441.0,635733604972.0,753055007330.0,1022571107518.0,1049556421645.0,473497362511.0,734330054636.0,1177381882095.0,1325119610379.0,835069023577.0,155883675457.0,1256825800845.0,1760791712066.0,1449185802291.0,1247912087007.0,1468904662589.0,1899952097114.0,1209600695735.0,1197634739977.0,1751403414368.0,2149336525953.0,1481122408469.0,1250582054481.0,1792461651289.0,2048330105070.0,1628972686425.0,1607209334751.0,2399336181768.0,3440905900201.0
Doanh thu hoạt động tài chính,Financial income,financial_income,5994175297.0,188751093.0,145838562.0,517262139.0,1034702485.0,28063167.0,241691350.0,687830958.0,3999243952.0,-3213345233.0,746730937.0,1440390332.0,5562623858.0,4164887513.0,3514070576.0,3084532848.0,5106586566.0,10439323933.0,6432035915.0,37001720651.0,14128237981.0,36075541696.0,26923762232.0,20255561971.0,14212504829.0,7995610373.0,24894603085.0,28464720237.0,37651295970.0,24247252211.0,28316452524.0,46088225683.0,52416783827.0
Chi phí tài chính,Financial expenses,financial_expenses,-13983492084.0,-13733866715.0,-17407413734.0,-21221091678.0,-24316187250.0,-22265531891.0,-31055088259.0,-41213578323.0,-45546371299.0,-41805650739.0,-42998465686.0,-31794661440.0,-25372204148.0,-22989179078.0,-28519214071.0,-41372137098.0,-34536623688.0,-22072990125.0,-32690598088.0,-57113684457.0,-38304682715.0,-38669323444.0,-36011980249.0,-29152250574.0,-23941097072.0,-13817663903.0,-12977217232.0,-42880802744.0,-37041222735.0,-46383324153.0,-30542311945.0,-39201911986.0,-55085199262.0
Chi phí lãi vay,Interest expenses,interest_expenses,-13553130698.0,-11225839714.0,-15315285497.0,-21014783481.0,-24010156644.0,-21364384129.0,-28990878493.0,-41002191152.0,-40379080111.0,-44251598481.0,-40680147467.0,-29105868217.0,-22770252958.0,-21034959436.0,-27735712834.0,-32839348932.0,-30870653257.0,-12947618655.0,-17219503105.0,-33105656391.0,-34050208964.0,-32980727532.0,-28872005523.0,-22665862084.0,-14581491649.0,-3455400059.0,-6438807781.0,-22299606340.0,-28848391611.0,-32672703171.0,-24063535984.0,-33497968561.0,-50571525907.0
Chi phí bán hàng,Selling expenses,selling_expenses,-281595451271.0,-268913495241.0,-268067364057.0,-351492758857.0,-367183975911.0,-286944355915.0,-340804458651.0,-367632953860.0,-368002269304.0,-289339969961.0,-318785521610.0,-444760732572.0,-503024843329.0,-420390087670.0,-250770901767.0,-519454214618.0,-642075911775.0,-753892387936.0,-725579722879.0,-706660621786.0,-759985338496.0,-615791482206.0,-697134967387.0,-762857681713.0,-975897025645.0,-759168704925.0,-766263429454.0,-706245531150.0,-1005693098938.0,-855377092177.0,-757519233823.0,-704112549569.0,-1352019120210.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-60606184051.0,-73696045394.0,-93015229413.0,-118550695082.0,-115618582051.0,-116157993501.0,-113728530457.0,-133606551921.0,-128076661270.0,-96342283167.0,-113040437997.0,-168113412171.0,-153160847424.0,-125031681970.0,-73547290316.0,-120674471488.0,-176086421117.0,-180600090579.0,-167343706400.0,-150744178642.0,-174553964792.0,-156324780155.0,-175225524113.0,-187413955658.0,-227103984889.0,-179166732604.0,-181399247814.0,-208079390615.0,-193730064073.0,-203474925240.0,-240445601201.0,-186745261351.0,-222121791475.0
