date,open,high,low,close,volume,return_1d,return_2d,return_3d,return_5d,return_10d,return_20d,sma_5,sma_20,sma_60,ema_12,ema_26,macd,macd_signal,macd_hist,macd_pct,macd_hist_pct,rsi_14,bb_mid_20,bb_std_20,bb_upper_20,bb_lower_20,bb_width_20,bb_position_20,atr_14,atr_pct_14,adx_14,plus_di_14,minus_di_14,stoch_k_14,stoch_d_3,obv,obv_sma_20,volatility_20d,return_skew_20d,return_kurtosis_20d,volume_sma_20,volume_z_20,volume_ratio_20,range_pct,close_vs_sma20,close_vs_sma60,day_of_week,month_of_year,next_return,target_next_up
2009-03-23,1.96,1.96,1.96,1.96,35010,,,,,,,,,,1.96,1.96,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,0.0,3.0,0.0,0.0
2009-03-24,2.05,2.05,2.05,2.05,380,0.04591836734693877,,,,,,,,,1.9738461538461538,1.9666666666666666,0.007179487179487243,0.0014358974358974486,0.005743589743589794,0.003502188868042558,0.0028017510944340464,,,,,,,,,,,,,,,380.0,,,,,,,,0.0,,,1.0,3.0,0.0,0.0
2009-03-25,2.14,2.14,2.14,2.14,2200,0.043902439024390505,0.09183673469387754,,,,,,,,1.9994082840236687,1.979506172839506,0.01990211118416263,0.005129140185550485,0.014772970998612144,0.009300051955216182,0.006903257475986983,,,,,,,,,,,,,,,2580.0,,,,,,,,0.0,,,2.0,3.0,0.0,0.0
2009-03-26,2.25,2.25,2.25,2.25,3760,0.051401869158878455,0.09756097560975618,0.1479591836734695,,,,,,,2.037960855712335,1.9995427526291722,0.03841810308316296,0.011786932765072979,0.02663117031808998,0.017074712481405758,0.01183607569692888,,,,,,,,,,,,,,,6340.0,,,,,,,,0.0,,,3.0,3.0,0.0,0.0
2009-03-27,2.36,2.36,2.34,2.36,510350,0.04888888888888876,0.10280373831775691,0.15121951219512209,,,,2.152,,,2.087505339448899,2.0262432894714557,0.06126204997744322,0.02168195620754703,0.03958009376989619,0.02595849575315391,0.016771226173684827,,,,,,,,,,,,,,,516690.0,,,,,,,,0.00847457627118645,,,4.0,3.0,-0.04661016949152541,0.0
2009-03-30,2.36,2.4,2.25,2.25,387370,-0.04661016949152541,0.0,0.051401869158878455,0.1479591836734695,,,2.21,,,2.112504517995222,2.042817860621718,0.06968665737350399,0.03128289644073842,0.03840376093276557,0.030971847721557328,0.017068338192340254,,,,,,,,,,,,,,,129320.0,,,,,,,,0.06666666666666662,,,0.0,3.0,0.0,0.0
2009-03-31,2.14,2.17,2.14,2.14,158450,-0.04888888888888887,-0.09322033898305071,-0.04888888888888887,0.043902439024390505,,,2.228,,,2.1167345921498035,2.050016537612702,0.06671805453710133,0.03836992806001101,0.028348126477090327,0.03117666099864548,0.013246788073406695,,,,,,,,,,,,,,,-29130.0,,,,,,,,0.014018691588784955,,,1.0,3.0,0.04205607476635498,1.0
2009-04-01,2.14,2.23,2.09,2.23,212000,0.04205607476635498,-0.008888888888888946,-0.05508474576271183,0.04205607476635498,,,2.246,,,2.1341600395113725,2.0633486459376873,0.07081139357368516,0.04485822116274584,0.025953172410939314,0.0317539881496346,0.011638193906250814,,,,,,,,,,,,,,,182870.0,,,,,,,,0.06278026905829602,,,2.0,4.0,-0.008888888888888946,0.0
2009-04-02,2.25,2.27,2.14,2.23,108910,0.0,0.04205607476635498,-0.008888888888888946,-0.008888888888888946,,,2.242,,,2.1489046488173154,2.075693190683044,0.07321145813427155,0.050528868557050986,0.02268258957722056,0.0328302502844267,0.010171564832834332,,,,,,,,,,,,,,,182870.0,,,,,,,,0.05829596412556049,,,3.0,4.0,-0.017937219730941756,0.0
2009-04-03,2.23,2.25,2.19,2.19,244100,-0.017937219730941756,-0.017937219730941756,0.023364485981308247,-0.07203389830508466,,,2.2079999999999997,,,2.1552270105377285,2.084160361743559,0.07106664879416957,0.05463642460447471,0.016430224189694864,0.03245052456354775,0.007502385474746513,,,,,,,,,,,,,,,-61230.0,,,,,,,,0.02739726027397263,,,4.0,4.0,0.037735849056603765,1.0
