date,p10,p25,p50,p75,p90,prob_end_above_latest,latest_close,is_model_anchor
2026-08-14,24.674329192137353,24.832158199973406,24.989987207809463,25.139962943973018,25.28993868013657,0.4849206349206349,25.0,False
2026-08-17,24.348658384274707,24.664316399946816,24.979974415618926,25.279925887946032,25.579877360273137,0.46984126984126984,25.0,False
2026-08-18,24.02298757641206,24.496474599920226,24.96996162342839,25.419888831919046,25.869816040409706,0.45476190476190476,25.0,False
2026-08-19,23.697316768549413,24.328632799893633,24.959948831237853,25.559851775892064,26.159754720546275,0.4396825396825397,25.0,False
2026-08-20,23.371645960686767,24.16079099986704,24.949936039047316,25.69981471986508,26.449693400682843,0.4246031746031746,25.0,True
2026-08-21,23.205381930322517,24.083724579037465,24.962067227752414,25.823616774499584,26.685166321246754,0.42777777777777776,25.0,False
2026-08-24,23.03911789995827,24.00665815820789,24.97419841645751,25.947418829134087,26.92063924181066,0.4309523809523809,25.0,False
2026-08-25,22.87285386959402,23.929591737378317,24.98632960516261,26.07122088376859,27.156112162374573,0.43412698412698414,25.0,False
2026-08-26,22.706589839229775,23.852525316548743,24.998460793867707,26.195022938403092,27.39158508293848,0.4373015873015873,25.0,False
2026-08-27,22.540325808865525,23.775458895719165,25.010591982572805,26.318824993037598,27.62705800350239,0.44047619047619047,25.0,True
2026-08-28,22.501677262268586,23.739109321435144,24.976541380601702,26.31362224583102,27.650703111060338,0.43333333333333335,25.0,False
2026-09-03,22.463028715671648,23.702759747151124,24.9424907786306,26.308419498624442,27.674348218618285,0.4261904761904762,25.0,False
2026-09-04,22.42438016907471,23.666410172867103,24.908440176659497,26.303216751417864,27.69799332617623,0.41904761904761906,25.0,False
2026-09-07,22.38573162247777,23.630060598583082,24.874389574688394,26.298014004211286,27.721638433734178,0.4119047619047619,25.0,False
2026-09-08,22.347083075880832,23.59371102429906,24.84033897271729,26.292811257004708,27.745283541292125,0.40476190476190477,25.0,False
2026-09-09,22.308434529283897,23.557361450015044,24.806288370746188,26.287608509798126,27.768928648850068,0.39761904761904765,25.0,False
2026-09-10,22.269785982686958,23.52101187573102,24.772237768775085,26.28240576259155,27.792573756408014,0.3904761904761905,25.0,False
2026-09-11,22.23113743609002,23.484662301447003,24.738187166803982,26.27720301538497,27.81621886396596,0.38333333333333336,25.0,False
2026-09-14,22.19248888949308,23.44831272716298,24.70413656483288,26.272000268178395,27.839863971523908,0.3761904761904762,25.0,False
2026-09-15,22.153840342896142,23.41196315287896,24.670085962861776,26.266797520971814,27.863509079081854,0.36904761904761907,25.0,True
