date,open,high,low,close,volume,return_1d,return_5d,return_20d,sma_5,sma_20,sma_60,ema_12,ema_26,macd,rsi_14,volatility_20d,volume_sma_20,volume_z_20,range_pct,close_vs_sma20,close_vs_sma60,target_next_up,next_return
2018-06-04,15.79,16.19,15.79,15.79,2811840,,,,,,,15.79,15.79,0.0,,,,,0.025332488917036235,,,0,-0.0626979100696643
2018-06-05,15.28,16.35,14.8,14.8,1357500,-0.0626979100696643,,,,,,15.637692307692307,15.716666666666667,-0.07897435897436011,,,,,0.10472972972972977,,,0,-0.041216216216216295
2018-06-06,14.65,14.8,14.03,14.19,1605480,-0.041216216216216295,,,,,,15.414970414201182,15.60358024691358,-0.18860983271239817,,,,,0.054263565891472965,,,1,0.06906272022551097
2018-06-07,14.57,15.17,14.36,15.17,1376540,0.06906272022551097,,,,,,15.37728265817023,15.571463191586648,-0.19418053341641794,,,,,0.05339485827290709,,,1,0.06921555702043491
2018-06-08,15.57,16.22,15.34,16.22,2008500,0.06921555702043491,,,15.234,,,15.506931479990195,15.619502955172823,-0.11257147518262833,,,,,0.05425400739827368,,,1,0.03637484586929718
2018-06-11,16.16,16.81,15.91,16.81,1229830,0.03637484586929718,0.06459784673844204,,15.437999999999999,,,15.707403559991704,15.707687921456317,-0.00028436146461352507,,,,,0.053539559785841684,,,0,-0.03688280785246867
2018-06-12,16.65,16.65,15.87,16.19,1139130,-0.03688280785246867,0.0939189189189189,,15.716,,,15.781649166146826,15.743414742089183,0.038234424057643324,,,,,0.04817788758492893,,,1,0.0037059913526866772
2018-06-13,16.19,16.65,16.11,16.25,772670,0.0037059913526866772,0.1451726568005638,,16.128,,,15.853703140585775,15.780939576008503,0.07276356457727218,,,,,0.033230769230769175,,,0,-0.0036923076923076614
2018-06-14,16.42,16.42,15.96,16.19,617130,-0.0036923076923076614,0.06723796967699425,,16.332,,,15.905441118957194,15.811240348156021,0.09420077080117295,,,,,0.028412600370599186,,,1,0.0018529956763433386
2018-06-15,16.27,16.27,15.96,16.22,723460,0.0018529956763433386,0.0,,16.332,,,15.953834792963779,15.841518840885204,0.11231595207857481,,,,,0.019112207151664534,,,0,-0.04932182490752146
2018-06-18,16.05,16.19,15.11,15.42,825810,-0.04932182490752146,-0.08268887566924443,,16.054,,,15.871706363277044,15.810295223041855,0.061411140235188455,,,,,0.0700389105058367,,,0,-0.049935149156938974
2018-06-19,14.66,14.96,14.34,14.65,2092720,-0.049935149156938974,-0.09512044471896242,,15.746,,,15.683751538157498,15.724347428742458,-0.04059589058496016,,,,,0.042320819112628055,,,1,0.0020477815699657675
2018-06-20,14.65,14.88,14.36,14.68,554870,0.0020477815699657675,-0.09661538461538466,,15.431999999999999,,,15.529328224594806,15.64698835994672,-0.11766013535191355,,,,,0.035422343324250774,,,0,0.0
2018-06-21,14.71,14.71,14.39,14.68,497790,0.0,-0.09326744904261897,,15.13,,,15.398662343887914,15.57535959254326,-0.17669724865534597,,,,,0.021798365122615824,,,0,-0.002043596730245234
2018-06-22,14.66,14.66,14.43,14.65,328710,-0.002043596730245234,-0.09679408138101098,,14.815999999999999,,,15.283483521751311,15.506814437540056,-0.2233309157887451,15.554951770360162,,,,0.0156996587030717,,,1,0.009556313993174026
2018-06-25,14.8,14.96,14.76,14.79,918340,0.009556313993174026,-0.040856031128404746,,14.690000000000001,,,15.207562979943416,15.453717071796348,-0.24615409185293124,17.029895245411126,,,,0.013522650439486212,,,0,-0.009465855307640214
2018-06-26,14.56,14.73,14.53,14.65,493790,-0.009465855307640214,0.0,,14.690000000000001,,,15.121784059952121,15.394182473885508,-0.27239841393338615,16.715479198076267,,,,0.013651877133105875,,,0,-0.015017064846416406
2018-06-27,14.42,14.65,14.42,14.43,394860,-0.015017064846416406,-0.017029972752043543,,14.64,,,15.01535574303641,15.322761549893988,-0.30740580685757735,16.209037696311967,,,,0.01593901593901597,,,0,-0.014553014553014498
2018-06-28,14.34,14.42,13.65,14.22,1319230,-0.014553014553014498,-0.03133514986376018,,14.547999999999998,,,14.89299332103081,15.2410755091611,-0.3480821881302898,15.719451524767067,,,,0.05414908579465538,,,0,-0.005625879043600568
2018-06-29,14.03,14.19,13.42,14.14,1583700,-0.005625879043600568,-0.034812286689419825,,14.446000000000002,15.206999999999999,,14.777148194718377,15.15951436033435,-0.3823661656159736,15.527046618214484,,1132595.0,0.689686197132549,0.05445544554455442,-0.07016505556651531,,0,-0.04172560113154167
2018-07-02,14.16,14.16,13.42,13.55,669570,-0.04172560113154167,-0.083840432724814,-0.14186193793540203,14.198000000000002,15.094999999999999,,14.588356164761704,15.040291074383658,-0.45193490962195426,14.15134808082729,0.5670661228020848,1025481.5,-0.6742925079354165,0.054612546125461264,-0.10235177210997004,,0,-0.06937269372693733
2018-07-03,13.49,13.62,12.61,12.61,2112230,-0.06937269372693733,-0.1392491467576792,-0.14797297297297307,13.790000000000001,14.985500000000002,,14.283993677875287,14.860269513318203,-0.5762758354429156,12.28396464658043,0.5761804268128431,1063218.0,1.8165910167699764,0.08009516256938937,-0.15851990257248683,,0,-0.009516256938937317
2018-07-04,12.41,12.49,11.73,12.49,1102650,-0.009516256938937317,-0.13444213444213438,-0.11980267794221278,13.402000000000001,14.900500000000003,,14.007994650509858,14.68469399381315,-0.6766993433032926,12.065085608210893,0.5622894639046456,1038076.5,0.11461704189049439,0.0608486789431545,-0.16177309486258862,,1,0.04243394715772619
2018-07-05,13.35,13.35,12.49,13.02,1583450,0.04243394715772619,-0.08438818565400852,-0.14172709294660513,13.162,14.793000000000001,,13.85599547350834,14.56138332760477,-0.7053878540964291,18.935393494640493,0.5217731093399666,1048422.0,0.9357487256005611,0.06605222734254988,-0.11985398499290212,,1,0.02304147465437789
2018-07-06,12.95,13.42,12.49,13.32,1160990,0.02304147465437789,-0.057991513437057995,-0.17879161528976562,12.998,14.648,,13.773534631430135,14.469429007041454,-0.695894375611319,22.62066846058292,0.4534751032850947,1006046.5,0.2943023367776922,0.0698198198198198,-0.09066084107045325,,0,-0.009759759759759845
2018-07-09,13.42,13.51,12.89,13.19,631240,-0.009759759759759845,-0.02656826568265691,-0.2153480071386079,12.925999999999998,14.466999999999999,,13.683760072748575,14.374656488001346,-0.6908964152527712,22.15073799716589,0.42003649053012215,976117.0,-0.6506032037047198,0.047005307050796,-0.08826985553328259,,0,-0.030326004548900665
2018-07-10,13.19,13.19,12.72,12.79,549100,-0.030326004548900665,0.014274385408405976,-0.21000617665225463,12.962,14.297,,13.546258523094947,14.257274525927173,-0.7110160028322259,20.724126494119957,0.41544522376745857,946615.5,-0.740372163385453,0.036747458952306404,-0.10540672868433942,,0,-0.06880375293197805
2018-07-11,12.54,12.54,11.91,11.91,1134570,-0.06880375293197805,-0.04643714971977586,-0.2670769230769231,12.846,14.079999999999998,,13.294526442618801,14.083402338821456,-0.7888758962026543,17.980490891251478,0.45805397157970085,964710.5,0.31640583806693784,0.05289672544080596,-0.15411931818181812,,1,0.010075566750629594
2018-07-12,11.61,12.03,11.61,12.03,686180,0.010075566750629594,-0.07603686635944706,-0.2569487337862879,12.648,13.872,,13.09998391298514,13.931298461871718,-0.8313145488865779,19.544676331325704,0.46511896409971976,968163.0,-0.5273614228499628,0.034912718204488775,-0.13278546712802775,,1,0.007481296758104827
2018-07-13,12.21,12.26,12.03,12.12,406500,0.007481296758104827,-0.09009009009009017,-0.2527743526510481,12.408,13.667000000000002,,12.949217157141272,13.797128205436776,-0.8479110482955043,20.765163412229725,0.46813440789432803,952315.0,-0.998019830921576,0.018976897689769012,-0.113192361161923,,0,0.0
2018-07-16,12.03,12.12,11.91,12.12,430160,0.0,-0.0811220621683093,-0.21400778210116733,12.193999999999999,13.502,,12.821645286811846,13.672896486515533,-0.8512511997036878,20.765163412229725,0.4512681530486416,932532.5,-0.8991131237804391,0.017326732673267252,-0.10235520663605402,,1,0.034653465346534684
2018-07-17,12.12,12.72,11.89,12.54,1174520,0.034653465346534684,-0.019546520719311955,-0.1440273037542663,12.144,13.3965,,12.778315242686947,13.588978228255124,-0.8106629855681771,26.77693474776227,0.4557700967611386,886622.5,0.5849783529148684,0.06618819776714514,-0.06393460978613819,,1,0.031100478468899517
2018-07-18,12.72,13.19,12.63,12.93,1139340,0.031100478468899517,0.08564231738035266,-0.11920980926430513,12.347999999999999,13.309000000000001,,12.801651359196647,13.540165026162152,-0.7385136669655044,31.940780389330612,0.474974666766889,915846.0,0.4572714270023772,0.043310131477184745,-0.028476970471109864,,0,-0.0015467904098994678
2018-07-19,12.95,12.95,12.72,12.91,680430,-0.0015467904098994678,0.0731504571903574,-0.12057220708446859,12.524,13.220500000000001,,12.818320380858701,13.493486135335326,-0.675165754476625,31.81686285185279,0.4747518009209678,924978.0,-0.5071550410241694,0.01781564678543754,-0.02348625241102842,,0,0.0
2018-07-20,12.72,12.91,12.58,12.91,1473990,0.0,0.06518151815181517,-0.11877133105802051,12.681999999999999,13.133500000000002,,12.83242493764967,13.450264940125301,-0.6178400024756314,31.81686285185279,0.4750313438755298,982242.0,1.033913762864902,0.02556158017041054,-0.0170175505386988,,0,-0.04647560030983733
2018-07-23,12.63,12.89,12.31,12.31,878370,-0.04647560030983733,0.01567656765676584,-0.167680865449628,12.719999999999999,13.0095,,12.752051870318951,13.36580087048639,-0.6137490001674397,28.03290739471342,0.4922267819385271,980243.5,-0.21402693650853655,0.047116165718927704,-0.05376840001537331,,0,-0.008123476848091005
2018-07-24,12.49,12.72,12.17,12.21,1019120,-0.008123476848091005,-0.02631578947368407,-0.16655290102389075,12.654,12.8875,,12.668659274885266,13.280185991191102,-0.6115267163058355,27.447015856461917,0.4922210624772481,1006510.0,0.02729335248564012,0.0450450450450451,-0.052570320077594435,,1,0.013923013923013983
2018-07-25,12.4,12.42,11.52,12.38,3348190,0.013923013923013983,-0.042536736272234976,-0.14206514206514198,12.544,12.785,,12.624250155672149,13.21350554739917,-0.5892553917270202,30.120825314659015,0.4979061233187809,1154176.5,3.2369376218292727,0.07269789983844914,-0.03167774736018769,,0,-0.035541195476575194
2018-07-26,12.03,12.14,11.8,11.94,645430,-0.035541195476575194,-0.07513555383423709,-0.16033755274261607,12.35,12.671,,12.518980900953357,13.11917180314738,-0.6001909021940222,27.314975454692444,0.5075224857796302,1120486.5,-0.6926363418612896,0.02847571189279731,-0.05769078999289712,,1,0.005862646566164198
2018-07-27,11.94,12.12,11.84,12.01,1427670,0.005862646566164198,-0.06971340046475605,-0.15063649222065068,12.170000000000002,12.5645,,12.440676146960532,13.037010928840166,-0.5963347818796336,28.456791187655597,0.5099296039034983,1112685.0,0.4624024058907032,0.023313905079100698,-0.04413227744836645,,1,0.005828476269775118
2018-07-30,12.01,12.12,11.98,12.08,1438740,0.005828476269775118,-0.018683996750609277,-0.1084870848708488,12.124,12.491,,12.385187508966604,12.96612123040756,-0.5809337214409567,29.64698713073804,0.4954932546480917,1151143.5,0.42508932698907786,0.011589403973509833,-0.032903690657273166,,1,0.064569536423841
2018-07-31,12.1,12.91,12.03,12.86,4690660,0.064569536423841,0.053235053235053176,0.019825535289452745,12.254000000000001,12.503499999999999,,12.458235584510204,12.95826039852552,-0.5000248140153154,41.35453025068137,0.4937085855699422,1280065.0,3.326825006544845,0.06842923794712293,0.028512016635342086,,0,-0.008553654743390315
2018-08-01,12.91,13.26,12.56,12.75,2060620,-0.008553654743390315,0.029886914378028928,0.02081665332265814,12.328,12.5165,,12.50312241766248,12.942833702338444,-0.43971128467596365,40.33511956954645,0.4934369098810674,1327963.5,0.7053291422443033,0.05490196078431367,0.018655374905125255,,1,0.03450980392156855
2018-08-02,12.63,13.19,12.49,13.19,3507500,0.03450980392156855,0.10469011725293131,0.013056835637480724,12.578,12.525,,12.608795891868253,12.961142316980041,-0.35234642511178826,46.062566097445874,0.48545363482710746,1424166.0,1.8161792261134075,0.05307050796057614,0.05309381237524935,,0,-0.005307050796057644
2018-08-03,13.23,13.37,12.95,13.12,2418140,-0.005307050796057644,0.09242298084929224,-0.01501501501501512,12.799999999999999,12.515,,12.687442677734674,12.972909552759297,-0.285466875024623,45.317257831005286,0.4788405922520675,1487023.5,0.7984179849139391,0.03201219512195121,0.04834198961246483,,0,-0.012957317073170715
2018-08-06,12.95,13.09,12.86,12.95,1478320,-0.012957317073170715,0.07201986754966883,-0.0181956027293404,12.973999999999998,12.503,,12.72783611192934,12.9712125488512,-0.24337643692186006,43.47738913274958,0.47981004035798347,1529377.5,-0.04444663784440183,0.017760617760617794,0.035751419659281636,,0,-0.001544401544401497
2018-08-07,12.84,13.05,12.68,12.93,1670400,-0.001544401544401497,0.005443234836703059,0.01094605160281481,12.988,12.510000000000002,,12.758938248555596,12.968159767454814,-0.20922151889921814,43.254892112591094,0.4667653714720812,1585442.5,0.07548397413184689,0.02861562258314006,0.03357314148681034,,0,-0.00696055684454755
2018-08-08,13.02,13.02,12.68,12.84,1406450,-0.00696055684454755,0.007058823529411784,0.07808564231738035,13.006,12.5565,,12.77140928723935,12.95866645134705,-0.18725716410769877,42.20811575599417,0.3893817576803304,1599036.5,-0.17173665255132928,0.02647975077881619,0.02257794767650223,,0,-0.012461059190031154
2018-08-09,12.91,13.09,12.68,12.68,2342630,-0.012461059190031154,-0.038665655799848375,0.05403158769742311,12.904,12.589,,12.757346319971758,12.938024491988008,-0.18067817201625047,40.339124389346075,0.39295718440334365,1681859.0,0.5944517183447022,0.03233438485804418,0.007228532846135449,,0,-0.007886435331230235
2018-08-10,12.68,12.82,12.21,12.58,2362660,-0.007886435331230235,-0.041158536585365835,0.037953795379538136,12.796000000000001,12.612,,12.730062270745334,12.911504159248155,-0.18144188850282106,39.17164860561579,0.3943764954850741,1779667.0,0.5402970283575641,0.04848966613672492,-0.002537266095781754,,1,0.009538950715421324
