date,p10,p25,p50,p75,p90,prob_end_above_latest,latest_close
2026-08-17,10.79467337718891,10.900981208477228,10.999098155949973,11.089819805434509,11.253299836622244,0.39545,11.0
2026-08-18,10.71837588480638,10.855777820291847,10.998196261349568,11.138106468996847,11.344079685003432,0.4183,11.0
2026-08-19,10.68248042447361,10.81107009219678,10.956822832116961,11.172031169518954,11.382676429148086,0.4331,11.0
2026-08-20,10.557725856764362,10.801750666253303,10.996392787511653,11.188337373471892,11.391571690816319,0.45995,11.0
2026-08-21,10.542030086922743,10.762651742925751,10.99549053095146,11.208324938797693,11.4684549615131,0.4488,11.0
2026-08-24,10.483715728540403,10.726406792434029,10.985310349788286,11.248882100965218,11.535412523860332,0.47175,11.0
2026-08-25,10.431913207073656,10.698602802686052,10.974618401840438,11.272797889031542,11.590374368873942,0.46925,11.0
2026-08-26,10.40641775472054,10.67924796743467,10.966216048191239,11.285313527663277,11.609256254791664,0.46715,11.0
2026-08-27,10.374373421095925,10.661766372893183,10.971319991391148,11.299511057204198,11.630795984269843,0.472,11.0
2026-08-28,10.350820356382455,10.64550101472935,10.9727299834449,11.31469132533268,11.66791327155352,0.47175,11.0
2026-09-03,10.296830994146442,10.613321975856215,10.966409317102373,11.341293088868147,11.711641116348181,0.47265,11.0
2026-09-04,10.259034807496645,10.586876029305825,10.964016870159332,11.36131360705096,11.765353061042404,0.4732,11.0
2026-09-07,10.235122190960842,10.574539394979645,10.954951803366434,11.36674660230015,11.781401339989825,0.4678,11.0
2026-09-08,10.215930237028749,10.56042585348944,10.953791603368163,11.378311528957038,11.787420265797216,0.46915,11.0
2026-09-09,10.198291466806445,10.550427419680158,10.954078883611785,11.393953176420123,11.81965216086485,0.4695,11.0
2026-09-10,10.158805708496018,10.526624374530401,10.955800322743128,11.412823567096689,11.8504819464977,0.4739,11.0
2026-09-11,10.12620662779392,10.515039788215585,10.955294071131144,11.430794169379457,11.890616254017049,0.4739,11.0
2026-09-14,10.107973267074819,10.50164828801619,10.95056694809506,11.436769462538363,11.91238960404252,0.4716,11.0
2026-09-15,10.097759824271337,10.488690400976001,10.951344425144393,11.442114272298374,11.912550251072346,0.4731,11.0
2026-09-16,10.076410004426817,10.482866421287016,10.948720623599847,11.448019861959423,11.936685100683238,0.4706,11.0
