fold,train_start,train_end,validation_start,validation_end,test_start,test_end,train_dates,train_rows,validation_dates,validation_rows,test_dates,test_rows,gap,best_iteration,num_boost_round,validation_metric,validation_score_at_best
1,2008-06-18,2024-10-09,2024-10-17,2025-04-21,2025-04-29,2025-07-29,4032,39448,126,1512,63,756,5,50,51,rmse,0.03022765734839892
2,2008-06-18,2025-01-07,2025-01-15,2025-07-22,2025-07-30,2025-10-28,4095,40204,126,1512,63,756,5,74,75,rmse,0.03896476355943133
3,2008-06-18,2025-04-14,2025-04-22,2025-10-21,2025-10-29,2026-01-27,4158,40960,126,1512,63,756,5,118,119,rmse,0.04346734513375555
4,2008-06-18,2025-07-15,2025-07-23,2026-01-20,2026-01-28,2026-05-06,4221,41716,126,1512,63,756,5,184,185,rmse,0.05043493237458346
5,2008-06-18,2025-10-14,2025-10-22,2026-04-24,2026-05-07,2026-08-03,4284,42472,126,1512,63,756,5,33,34,rmse,0.05434380460461225
6,2008-06-18,2026-01-13,2026-01-21,2026-07-27,2026-08-04,2026-08-04,4347,43228,126,1512,1,12,5,17,18,rmse,0.04738957008083576
