horizon,date,symbol,prediction,prediction_score,predicted_rank,predicted_percentile,predicted_excess_return
5,2026-08-11,GAS,0.004369683,0.004369683,1.0,1.0,0.004369683
5,2026-08-11,VCB,0.0040215943,0.0040215943,2.0,0.9166666666666666,0.0040215943
5,2026-08-11,FPT,0.0038765639,0.0038765639,3.0,0.8333333333333334,0.0038765639
5,2026-08-11,VHM,0.0024548713,0.0024548713,4.0,0.75,0.0024548713
5,2026-08-11,HCM,0.0021143681,0.0021143681,5.0,0.6666666666666666,0.0021143681
5,2026-08-11,MBB,0.0021069332,0.0021069332,6.0,0.5833333333333334,0.0021069332
5,2026-08-11,SSI,0.0015366747,0.0015366747,7.0,0.5,0.0015366747
5,2026-08-11,MWG,0.0014947678,0.0014947678,8.0,0.4166666666666667,0.0014947678
5,2026-08-11,VNM,0.0013551288,0.0013551288,9.0,0.3333333333333333,0.0013551288
5,2026-08-11,TCB,0.0011281266,0.0011281266,10.0,0.25,0.0011281266
5,2026-08-11,HPG,-0.00019787076,-0.00019787076,11.0,0.16666666666666666,-0.00019787076
5,2026-08-11,VIC,-0.00162124,-0.00162124,12.0,0.08333333333333333,-0.00162124
