horizon,date,symbol,prediction,prediction_score,predicted_rank,predicted_percentile,predicted_excess_return
20,2026-08-11,GAS,0.016288424,0.016288424,1.0,1.0,0.016288424
20,2026-08-11,MWG,0.012991587,0.012991587,2.0,0.9166666666666666,0.012991587
20,2026-08-11,SSI,0.011590099,0.011590099,3.0,0.8333333333333334,0.011590099
20,2026-08-11,FPT,0.011332377,0.011332377,4.0,0.7083333333333334,0.011332377
20,2026-08-11,VCB,0.011332377,0.011332377,5.0,0.7083333333333334,0.011332377
20,2026-08-11,TCB,0.008923967,0.008923967,6.0,0.5833333333333334,0.008923967
20,2026-08-11,VHM,0.007803885,0.007803885,7.0,0.5,0.007803885
20,2026-08-11,VNM,0.007477589,0.007477589,8.0,0.4166666666666667,0.007477589
20,2026-08-11,HCM,0.006833985,0.006833985,9.0,0.3333333333333333,0.006833985
20,2026-08-11,MBB,0.005541379,0.005541379,10.0,0.25,0.005541379
20,2026-08-11,HPG,0.004478507,0.004478507,11.0,0.16666666666666666,0.004478507
20,2026-08-11,VIC,-0.00018811475,-0.00018811475,12.0,0.08333333333333333,-0.00018811475
