horizon,date,symbols,positions,gross_return,turnover,selection_turnover,cost_turnover,cost,net_return,market_return,net_excess_return,market_regime
5,2025-01-21,"FPT,MBB,TCB",3,0.002719486585510874,0.5,0.5,1.0,0.005,-0.0022805134144891263,0.01315431080063445,-0.015434824215123577,sideways
5,2025-02-04,"HCM,HPG,MBB",3,-0.004703230910440411,0.6666666666666666,0.6666666666666666,1.0,0.005,-0.00970323091044041,1.5767523631637914e-05,-0.009718998434072049,sideways
5,2025-02-11,"HCM,MBB,TCB",3,0.0004540652541913011,0.3333333333333333,0.3333333333333333,1.0,0.005,-0.004545934745808699,0.005752146235137756,-0.010298080980946455,sideways
5,2025-02-18,"GAS,HCM,MBB",3,0.02528704682457635,0.3333333333333333,0.3333333333333333,1.0,0.005,0.020287046824576348,0.017616742152116283,0.002670304672460065,bull
5,2025-02-25,"GAS,HCM,MBB",3,0.004860336355266355,0.0,0.0,1.0,0.005,-0.00013966364473364488,0.005171779705170243,-0.005311443349903888,bull
5,2025-03-04,"GAS,HCM,MBB",3,0.01962241780858372,0.0,0.0,1.0,0.005,0.01462241780858372,0.015005636635081254,-0.00038321882649753475,bull
5,2025-03-11,"HCM,MBB,VHM",3,-0.007997397723458088,0.3333333333333333,0.3333333333333333,1.0,0.005,-0.01299739772345809,-0.004978955316492617,-0.008018442406965472,bull
5,2025-03-18,"MBB,VCB,VHM",3,0.032743162606055955,0.3333333333333333,0.3333333333333333,1.0,0.005,0.027743162606055954,0.0011425135297655764,0.026600649076290377,bull
5,2025-03-25,"VCB,HCM,MBB",3,-0.012854162173468167,0.3333333333333333,0.3333333333333333,1.0,0.005,-0.017854162173468167,-0.01200003000007499,-0.005854132173393176,sideways
5,2025-04-01,"TCB,MBB,VIC",3,-0.12520008289787554,0.6666666666666666,0.6666666666666666,1.0,0.005,-0.13020008289787555,-0.17194463992493547,0.041744557027059925,sideways
5,2025-04-09,"GAS,HCM,HPG",3,0.06965512758535881,1.0,1.0,1.0,0.005,0.06465512758535881,0.0379130255812159,0.026742102004142912,bear
5,2025-04-16,"VIC,MWG,HPG",3,-0.022859296725790162,0.6666666666666666,0.6666666666666666,1.0,0.005,-0.027859296725790163,0.007797741401263103,-0.035657038127053266,bear
5,2025-04-23,"VIC,VHM,FPT",3,0.06781904632726395,0.6666666666666666,0.6666666666666666,1.0,0.005,0.06281904632726394,0.020802120548576664,0.04201692577868728,bear
5,2025-05-05,"MBB,MWG,SSI",3,0.0018663561648744424,1.0,1.0,1.0,0.005,-0.0031336438351255574,0.031310777143775725,-0.03444442097890128,bear
5,2025-05-12,"VHM,VIC,TCB",3,0.00493025686307047,1.0,1.0,1.0,0.005,-6.974313692952993e-05,0.00273834848191834,-0.00280809161884787,bull
5,2025-05-19,"FPT,MBB,GAS",3,0.014789336215378665,1.0,1.0,1.0,0.005,0.009789336215378665,0.02609693366804766,-0.016307597452668996,bull
5,2025-05-26,"MBB,FPT,GAS",3,0.0014714922334700953,0.0,0.0,1.0,0.005,-0.003528507766529905,-0.0013377276565851304,-0.0021907801099447744,bull
5,2025-06-02,"VHM,VIC,MBB",3,-0.055342122071072176,0.6666666666666666,0.6666666666666666,1.0,0.005,-0.060342122071072174,-0.022917893700934222,-0.03742422837013795,bull
5,2025-06-09,"VHM,VIC,GAS",3,0.02185856285160896,0.3333333333333333,0.3333333333333333,1.0,0.005,0.016858562851608958,0.02322327068071628,-0.006364707829107322,sideways
5,2025-06-16,"MWG,MBB,TCB",3,0.024515753764264996,1.0,1.0,1.0,0.005,0.019515753764264995,0.010776214928927663,0.008739538835337332,bull
