fold,train_start,train_end,validation_start,validation_end,test_start,test_end,train_dates,train_rows,validation_dates,validation_rows,test_dates,test_rows,gap,best_iteration,num_boost_round,validation_metric,validation_score_at_best
1,2008-06-17,2024-07-09,2024-08-07,2025-02-10,2025-03-11,2025-06-11,3969,38672,126,1512,63,756,20,68,69,rmse,0.04051990775597947
2,2008-06-17,2024-10-08,2024-11-06,2025-05-14,2025-06-12,2025-09-10,4032,39428,126,1512,63,756,20,59,60,rmse,0.08530087174331023
3,2008-06-17,2025-01-06,2025-02-11,2025-08-11,2025-09-11,2025-12-08,4095,40184,126,1512,63,756,20,56,57,rmse,0.1013293488541486
4,2008-06-17,2025-04-11,2025-05-15,2025-11-10,2025-12-09,2026-03-16,4158,40940,126,1512,63,756,20,48,49,rmse,0.09422912252825141
5,2008-06-17,2025-07-14,2025-08-12,2026-02-09,2026-03-17,2026-06-16,4221,41696,126,1512,63,756,20,30,31,rmse,0.11522373108354023
6,2008-06-17,2025-10-13,2025-11-11,2026-05-19,2026-06-17,2026-07-08,4284,42452,126,1512,16,192,20,23,24,rmse,0.12064336722877657
