fold,train_start,train_end,validation_start,validation_end,test_start,test_end,train_dates,train_rows,validation_dates,validation_rows,test_dates,test_rows,gap,best_iteration,num_boost_round,validation_metric,validation_score_at_best
1,2008-06-17,2024-07-09,2024-07-17,2025-01-13,2025-01-21,2025-04-25,3969,38685,126,1512,63,756,5,4,5,rmse,0.02364521065016086
2,2008-06-17,2024-10-08,2024-10-16,2025-04-18,2025-04-28,2025-07-28,4032,39441,126,1512,63,756,5,112,113,rmse,0.02993012454095403
3,2008-06-17,2025-01-06,2025-01-14,2025-07-21,2025-07-29,2025-10-27,4095,40197,126,1512,63,756,5,94,95,rmse,0.03884727444139959
4,2008-06-17,2025-04-11,2025-04-21,2025-10-20,2025-10-28,2026-01-26,4158,40953,126,1512,63,756,5,86,87,rmse,0.04330885346347735
5,2008-06-17,2025-07-14,2025-07-22,2026-01-19,2026-01-27,2026-05-05,4221,41709,126,1512,63,756,5,136,137,rmse,0.05042657558833417
6,2008-06-17,2025-10-13,2025-10-21,2026-04-23,2026-05-06,2026-07-29,4284,42465,126,1512,61,732,5,0,1,rmse,0.0544869633482942
