horizon,date,symbol,prediction,prediction_score,predicted_rank,predicted_percentile,predicted_excess_return
5,2026-08-05,VHM,0.0073459204,0.0073459204,1.0,1.0,0.0073459204
5,2026-08-05,MBB,0.0037510684,0.0037510684,2.0,0.9166666666666666,0.0037510684
5,2026-08-05,VCB,0.0030606445,0.0030606445,3.0,0.8333333333333334,0.0030606445
5,2026-08-05,SSI,0.002538079,0.002538079,4.0,0.75,0.002538079
5,2026-08-05,FPT,0.001723505,0.001723505,5.0,0.6666666666666666,0.001723505
5,2026-08-05,VIC,0.0012822726,0.0012822726,6.0,0.5833333333333334,0.0012822726
5,2026-08-05,HPG,0.0010364823,0.0010364823,7.0,0.5,0.0010364823
5,2026-08-05,HCM,0.0009487724,0.0009487724,8.0,0.4166666666666667,0.0009487724
5,2026-08-05,MWG,0.00048004778,0.00048004778,9.0,0.3333333333333333,0.00048004778
5,2026-08-05,TCB,0.00033043377,0.00033043377,10.0,0.25,0.00033043377
5,2026-08-05,GAS,-0.00016644676,-0.00016644676,11.0,0.16666666666666666,-0.00016644676
5,2026-08-05,VNM,-0.00017441023,-0.00017441023,12.0,0.08333333333333333,-0.00017441023
