date,p10,p25,p50,p75,p90,prob_end_above_latest,latest_close
2026-08-17,35.15155744195473,36.09737815272706,36.54799543667768,36.96731321681201,37.57126429005588,0.53865,36.5
2026-08-18,34.823045659496415,35.97849679967643,36.54965731351105,37.19889496235405,38.02138267937047,0.5156,36.5
2026-08-19,34.37542528592807,35.681240176064335,36.56104795729917,37.25717975888594,38.58957188270232,0.528,36.5
2026-08-20,33.80915688027818,35.54215710555911,36.60609518586815,37.61662362663884,38.88798964166701,0.5266,36.5
2026-08-21,33.966993428716066,35.52062898446418,36.740623131018744,37.8483634629999,39.212042693955105,0.55875,36.5
2026-08-24,33.54569136186428,35.242035457758156,36.694629845311084,38.03481129184522,39.52170628432643,0.5376,36.5
2026-08-25,32.855670789477976,35.11031245084838,36.6709055004827,38.15162333174298,39.75808325720955,0.53265,36.5
2026-08-26,32.63051662113865,34.942719319781204,36.64700871955635,38.29390305667854,39.99968920180495,0.52475,36.5
2026-08-27,32.20235317186458,34.79508381566319,36.701551841884495,38.45718303336146,40.229104550384946,0.53315,36.5
2026-08-28,31.624063372998794,34.78162710953797,36.77413306244957,38.620845878281926,40.44229527100167,0.5394,36.5
2026-09-03,31.531116921414334,34.54852245791585,36.720563488825555,38.73244562304995,40.70288122903658,0.53,36.5
2026-09-04,31.310628940512085,34.3653591332684,36.738438453536645,38.86655066718215,40.96915996909361,0.52795,36.5
2026-09-07,31.133744057246798,34.262995598041776,36.71622347673156,38.948258926448304,41.094163192283574,0.52555,36.5
2026-09-08,30.929142869277467,34.067834650883384,36.74088244963765,39.09298457233649,41.292219472038056,0.5278,36.5
2026-09-09,30.651810408953544,34.02565184657576,36.8039012017366,39.234836956438514,41.521636668844096,0.53165,36.5
2026-09-10,30.569921386724275,33.87760554201064,36.74145009384656,39.28608969176152,41.72777747410665,0.5249,36.5
2026-09-11,30.408215329010712,33.74872948394908,36.731356806157834,39.41948505832762,41.95252737829027,0.522,36.5
2026-09-14,30.251212592412607,33.666036781689584,36.695034673126464,39.468282268377074,42.10449693130756,0.51915,36.5
2026-09-15,30.07735785135551,33.50959938806283,36.71726018681662,39.57746789386296,42.249740846532866,0.519,36.5
2026-09-16,29.954148091964544,33.44420473393804,36.73100689464013,39.677978889563505,42.39954282970959,0.52105,36.5
