article_key,symbol,provider,source_name,source_url,title,content_excerpt,published_at,available_at,fetched_at,availability_basis,entity_match_method,entity_confidence,event_type,sentiment_score,sentiment_label,analysis_method
832a41a9f10b0529a8995fda828c81ab94029384ba7237ef9b7f54675622609d,SSI,vnstock:VCI,vnstock:VCI,,SSI: Thông báo thay đổi nhân sự,,2026-04-03 11:24:18+00:00,2026-04-03 11:24:18+00:00,2026-08-16 06:18:16.090019+00:00,published_at,provider_symbol_query,0.8,other,0.0,neutral,keyword_heuristic_v1
4682c6879c33107f60de0d8aab4b475bd829ca2c0921c576d04f5eeb0981b2c4,SSI,vnstock:VCI,vnstock:VCI,,SSI: Thông báo danh sách ứng cử viên HĐQT nhiệm kỳ 2026-2031,,2026-04-09 10:42:00+00:00,2026-04-09 10:42:00+00:00,2026-08-16 06:18:16.090019+00:00,published_at,provider_symbol_query,0.8,governance,0.0,neutral,keyword_heuristic_v1
9ce9d96931a8d6af918f495830303233764a7b37011d6b03e522ade7a8d032f9,SSI,vnstock:VCI,vnstock:VCI,,SSI: Báo cáo phát triển bền vững 2025,,2026-04-15 09:53:28+00:00,2026-04-15 09:53:28+00:00,2026-08-16 06:18:16.090019+00:00,published_at,provider_symbol_query,0.8,other,0.0,neutral,keyword_heuristic_v1
f07198ddb34abc61ec10a09d42d80e299c1635d645ac9cbe7ba62d84d9469bcf,SSI,vnstock:VCI,vnstock:VCI,,SSI: Báo cáo thường niên năm 2025,,2026-04-15 09:53:52+00:00,2026-04-15 09:53:52+00:00,2026-08-16 06:18:16.090019+00:00,published_at,provider_symbol_query,0.8,other,0.0,neutral,keyword_heuristic_v1
5e40f35d62726025ab6019a4888aa6919572c8fb3700f46be03ab2ef52804a52,SSI,vnstock:VCI,vnstock:VCI,,"Quý I/2026, SSI đạt doanh thu 3.295 tỷ đồng, lợi nhuận 1.593 tỷ đồng",,2026-04-20 03:13:00+00:00,2026-04-20 03:13:00+00:00,2026-08-16 06:18:16.090019+00:00,published_at,provider_symbol_query,0.8,earnings,1.0,positive,keyword_heuristic_v1
bb3625c87a7a7ef9001eb7866ab4568c7d7a861d65599e821cf2de3cfd2ca249,SSI,vnstock:VCI,vnstock:VCI,,ĐHCĐ SSI: Dư nợ margin có thể lên tới 45.000 tỷ đồng,,2026-04-24 04:47:00+00:00,2026-04-24 04:47:00+00:00,2026-08-16 06:18:16.090019+00:00,published_at,provider_symbol_query,0.8,other,0.0,neutral,keyword_heuristic_v1
8767fd5719cafff45f67f293405c274d866d2e0ec7ffca9ec88dd9f5c1999763,SSI,vnstock:VCI,vnstock:VCI,,SSI: Nghị quyết và Biên bản họp ĐHĐCĐ thường niên 2026,,2026-04-28 03:38:12+00:00,2026-04-28 03:38:12+00:00,2026-08-16 06:18:16.090019+00:00,published_at,provider_symbol_query,0.8,governance,0.0,neutral,keyword_heuristic_v1
93000afb25eea678dd9b35f6a526900798791913d35e085ae5126360626a984a,SSI,vnstock:VCI,vnstock:VCI,,SSI: Thông báo thay đổi nhân sự - Miễn nhiệm và bổ nhiệm thành viên HĐQT,,2026-04-28 08:39:00+00:00,2026-04-28 08:39:00+00:00,2026-08-16 06:18:16.090019+00:00,published_at,provider_symbol_query,0.8,governance,0.0,neutral,keyword_heuristic_v1
8540d775db57f9584e92434c0b47fcb4077d6b1dcc7321d2350815b1d2e45f02,SSI,vnstock:VCI,vnstock:VCI,,SSI: Thông báo giấy xác nhận thay đổi nội dung ĐKDN,,2026-05-07 10:39:26+00:00,2026-05-07 10:39:26+00:00,2026-08-16 06:18:16.090019+00:00,published_at,provider_symbol_query,0.8,other,0.0,neutral,keyword_heuristic_v1
2fb40b1e452ed16b8891ed4f6b3c3c0cbc2611f661f35a8a9b0a2d45949ffa4a,SSI,vnstock:VCI,vnstock:VCI,,SSI: Các Nghị quyết HĐQT về việc triển khai ESOP 2025,,2026-05-08 11:05:05+00:00,2026-05-08 11:05:05+00:00,2026-08-16 06:18:16.090019+00:00,published_at,provider_symbol_query,0.8,corporate_action,0.0,neutral,keyword_heuristic_v1
