date,p10,p25,p50,p75,p90,prob_end_above_latest,latest_close,is_model_anchor
2026-08-17,24.863241228461266,25.03870050927624,25.214159790091216,25.380231515374035,25.54630324065685,0.49523809523809526,25.2,False
2026-08-18,24.52648245692253,24.877401018552483,25.228319580182433,25.560463030748068,25.892606481313706,0.49047619047619045,25.2,False
2026-08-19,24.189723685383797,24.716101527828723,25.24247937027365,25.740694546122104,26.238909721970558,0.4857142857142857,25.2,False
2026-08-20,23.85296491384506,24.554802037104963,25.256639160364866,25.92092606149614,26.585212962627413,0.4809523809523809,25.2,False
2026-08-21,23.516206142306327,24.393502546381207,25.270798950456083,26.101157576870172,26.931516203284264,0.47619047619047616,25.2,True
2026-08-24,23.37560271227912,24.326450854643216,25.27729899700731,26.218605221369337,27.15991144573136,0.4833333333333333,25.2,False
2026-08-25,23.234999282251913,24.259399162905225,25.28379904355854,26.3360528658685,27.38830668817846,0.49047619047619045,25.2,False
2026-08-26,23.094395852224707,24.19234747116724,25.290299090109766,26.45350051036766,27.616701930625556,0.49761904761904757,25.2,False
2026-08-27,22.9537924221975,24.125295779429244,25.296799136660994,26.570948154866826,27.845097173072656,0.5047619047619047,25.2,False
2026-08-28,22.813188992170293,24.058244087691257,25.30329918321222,26.688395799365985,28.073492415519752,0.5119047619047619,25.2,True
2026-09-03,22.620072103263524,23.961392356715955,25.302712610168385,26.826510356804498,28.35030810344061,0.5142857142857142,25.2,False
2026-09-04,22.42695521435676,23.864540625740652,25.302126037124545,26.964624914243007,28.62712379136147,0.5166666666666666,25.2,False
2026-09-07,22.233838325449994,23.76768889476535,25.301539464080705,27.102739471681517,28.90393947928233,0.519047619047619,25.2,False
2026-09-08,22.040721436543226,23.670837163790047,25.300952891036868,27.24085402912003,29.180755167203188,0.5214285714285714,25.2,False
2026-09-09,21.847604547636458,23.573985432814744,25.30036631799303,27.37896858655854,29.457570855124047,0.5238095238095238,25.2,False
2026-09-10,21.654487658729693,23.477133701839442,25.29977974494919,27.51708314399705,29.734386543044902,0.5261904761904762,25.2,False
2026-09-11,21.461370769822928,23.38028197086414,25.29919317190535,27.655197701435554,30.01120223096576,0.5285714285714286,25.2,False
2026-09-14,21.26825388091616,23.283430239888837,25.298606598861515,27.793312258874067,30.28801791888662,0.530952380952381,25.2,False
2026-09-15,21.07513699200939,23.186578508913534,25.298020025817678,27.93142681631258,30.56483360680748,0.5333333333333333,25.2,False
2026-09-16,20.882020103102626,23.089726777938232,25.297433452773838,28.069541373751086,30.841649294728338,0.5357142857142857,25.2,True
