date,open,high,low,close,volume,return_1d,return_2d,return_3d,return_5d,return_10d,return_20d,sma_5,sma_20,sma_60,ema_12,ema_26,macd,macd_signal,macd_hist,macd_pct,macd_hist_pct,rsi_14,bb_mid_20,bb_std_20,bb_upper_20,bb_lower_20,bb_width_20,bb_position_20,atr_14,atr_pct_14,adx_14,plus_di_14,minus_di_14,stoch_k_14,stoch_d_3,obv,obv_sma_20,volatility_20d,return_skew_20d,return_kurtosis_20d,volume_sma_20,volume_z_20,volume_ratio_20,range_pct,close_vs_sma20,close_vs_sma60,day_of_week,month_of_year,next_return,target_next_up,market_open,market_close,market_return_1d,market_return_5d,market_return_20d,market_volatility_20d,excess_return_1d,excess_return_5d,excess_return_20d,relative_strength_20d,beta_60d,corr_60d,target_entry_open_5d,target_exit_close_5d,target_return_5d,target_market_return_5d,target_excess_return_5d,swing_execution_open,swing_execution_close,target_entry_open_10d,target_exit_close_10d,target_return_10d,target_market_return_10d,target_excess_return_10d,target_entry_open_20d,target_exit_close_20d,target_return_20d,target_market_return_20d,target_excess_return_20d
2017-10-31,10.82,10.82,8.51,8.51,174200,,,,,,,,,,8.51,8.51,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,0.2714453584018802,,,1.0,10.0,-0.07736720554272514,0.0,844.27,837.28,-0.009370563180312486,0.01458969511899566,0.04922305764411017,0.08977162216736148,,,,,,,8.66,8.27,-0.04503464203233265,0.013806259314456115,-0.058840901346788765,8.66,7.99,8.66,7.66,-0.11547344110854507,0.0502533532041729,-0.16572679431271797,8.66,7.3,-0.15704387990762125,0.12215797317436672,-0.27920185308198797
2017-11-01,8.66,8.66,7.96,7.99,45175,-0.06110458284371323,,,,,,,,,8.43,8.471481481481481,-0.04148148148148145,-0.008296296296296291,-0.033185185185185165,-0.005191674778658504,-0.004153339822926804,,,,,,,,,,,,,,,-45175.0,,,,,,,,0.08760951188986235,,,2.0,11.0,-0.10301507537688448,0.0,838.75,842.71,0.006485285686986586,0.014469898518099322,0.04598714097758361,0.08711026413004999,-0.06758986853069981,,,,,,7.96,8.36,0.05025125628140703,0.02079103290231421,0.02946022337909282,7.96,7.14,7.96,7.69,-0.0339195979899497,0.047970173001341765,-0.08188977099129147,7.96,7.36,-0.07537688442211055,0.13055248815587928,-0.20592937257798982
2017-11-02,7.96,8.06,7.14,7.14,9391,-0.1063829787234043,-0.16098707403055235,,,,,,,,8.231538461538461,8.372853223593964,-0.14131476205550264,-0.03489998944813756,-0.10641477260736508,-0.019791983481162834,-0.014904029776941888,,,,,,,,,,,,,,,-54566.0,,,,,,,,0.12885154061624662,,,3.0,11.0,-0.022321428571428492,0.0,842.19,833.09,-0.011415552206571644,0.0035898856778018295,0.034598810277808756,0.09943864709577965,-0.09496742651683265,,,,,,6.72,8.15,0.21279761904761907,0.03269480051850793,0.18010281852911114,6.72,6.57,6.72,7.72,0.14880952380952372,0.07158288924096201,0.07722663456856171,6.72,7.45,0.10863095238095255,0.14015315185558586,-0.031522199474633306
2017-11-03,6.72,6.75,6.41,6.57,59994,-0.07983193277310918,-0.17772215269086356,-0.22796709753231492,,,,,,,7.975917159763314,8.239308540364782,-0.26339138060146805,-0.08059826767880367,-0.18279311292266437,-0.040090012268107766,-0.02782239161684389,,,,,,,,,,,,,,,-114560.0,,,,,,,,0.05175038051750378,,,4.0,11.0,0.14764079147640796,1.0,833.16,843.73,0.01277172934496873,0.003998238870973614,0.04447883139390951,0.10685612158245983,-0.09260366211807791,,,,,,6.57,8.21,0.2496194824961948,0.02610740793268107,0.22351207456351374,6.57,7.54,6.57,7.81,0.1887366818873668,0.05267574339337222,0.1360609384939946,6.57,7.6,0.15677321156773205,0.13498085377960578,0.02179235778812627
2017-11-06,6.57,7.54,6.54,7.54,36843,0.14764079147640796,0.05602240896358546,-0.05632040050062581,,,,7.55,,,7.908852981338189,8.187507907745168,-0.2786549264069791,-0.12020959942443876,-0.15844532698254032,-0.036956886791376535,-0.021013969095827627,,,,,,,,,,,,,,,-77717.0,,,,,,,,0.13262599469496023,,,0.0,11.0,0.11006711409395975,1.0,846.12,849.09,0.006352743176134545,0.004602460955986709,0.04960690268987333,0.1078110044111155,0.14128804830027342,,,,,,7.45,7.6,0.020134228187919323,0.034274288402728725,-0.014140060214809402,7.45,8.27,7.45,7.6,0.020134228187919323,0.06274994119030808,-0.042615713002388755,7.45,7.75,0.04026845637583887,0.14093154551870146,-0.1006630891428626
2017-11-07,7.45,8.27,7.45,8.27,53412,0.09681697612732099,0.2587519025875189,0.15826330532212873,-0.02820211515863691,,,7.502000000000001,,,7.964414061132314,8.193618433097377,-0.22920437196506338,-0.1420085539325637,-0.08719581803249968,-0.02771515985067272,-0.010543629749999962,,,,,,,,,,,,,,,-24305.0,,,,,,,,0.09915356711003621,,,1.0,11.0,-0.08333333333333337,0.0,850.2,850.33,0.0014603870025557963,0.015586183833365297,0.04894837476099445,0.10786166636551903,0.09535658912476519,-0.043788298992002206,,,,,9.12,7.66,-0.1600877192982455,0.03252651936939577,-0.19261423866764127,9.12,8.36,9.12,7.54,-0.17324561403508765,0.07636406259157247,-0.24960967662666012,9.12,8.21,-0.0997807017543858,0.11738850143585533,-0.21716920319024113
2017-11-08,9.12,9.33,8.21,8.36,68856,0.010882708585247869,0.10875331564986723,0.27245053272450526,0.04630788485607007,,,7.575999999999999,,,8.025273436342728,8.205942993608682,-0.18066955726595424,-0.14974075459924183,-0.030928802666712413,-0.021611191060520844,-0.0036996175438651214,,,,,,,,,,,,,,,44551.0,,,,,,,,0.13397129186602863,,,2.0,11.0,-0.02511961722488032,0.0,853.15,859.7,0.011019251349476011,0.020161146776471073,0.05620738374593026,0.11201705726961893,-0.0001365427642281425,0.026146738079598997,,,,,8.36,7.69,-0.0801435406698563,0.023435144599828428,-0.10357868526968472,8.36,8.15,8.36,7.23,-0.13516746411483238,0.08149539646095683,-0.2166628605757892,8.36,8.45,0.010765550239234534,0.0988659291727545,-0.08810037893351996
2017-11-09,8.36,8.82,8.03,8.15,21640,-0.02511961722488032,-0.014510278113663788,0.0809018567639257,0.14145658263305338,,,7.7780000000000005,,,8.044462138443846,8.201799068156188,-0.1573369297123417,-0.1512599896218618,-0.006076940090479904,-0.019305144749980577,-0.0007456368209177797,,,,,,,,,,,,,,,22911.0,,,,,,,,0.09693251533742342,,,3.0,11.0,0.018610421836228408,1.0,862.38,860.4,0.0008142375247177647,0.03278157221908784,0.05457977373846323,0.11222470680711406,-0.025933854749598084,0.10867501041396554,,,,,8.06,7.72,-0.042183622828784184,0.038248188763940316,-0.0804318115927245,8.06,8.21,8.06,7.3,-0.09429280397022344,0.0858113058343315,-0.18010410980455493,8.06,8.39,0.04094292803970223,0.09156772220348652,-0.05062479416378429
2017-11-10,8.06,8.21,8.06,8.21,12410,0.007361963190184007,-0.01794258373205726,-0.0072551390568317276,0.2496194824961948,,,8.106,,,8.069929501760177,8.202406544589063,-0.13247704282888684,-0.1475034002632668,0.015026357434379967,-0.016136058809852232,0.0018302506010207022,,,,,,,,,,,,,,,35321.0,,,,,,,,0.018270401948842916,,,4.0,11.0,-0.01935483870967747,0.0,859.91,868.21,0.00907717340771752,0.029014021073092033,0.05756745234179905,0.11386231232383442,-0.0017152102175335138,0.22060546142310278,,,,,7.75,7.81,0.00774193548387081,0.021785017781346783,-0.014043082297475973,7.75,7.6,7.75,7.3,-0.058064516129032295,0.07327062062636225,-0.13133513675539454,7.75,7.96,0.02709677419354839,0.07853619364460251,-0.051439419451054125
2017-11-13,7.75,7.81,7.48,7.6,15901,-0.0742996345919612,-0.06748466257668717,-0.09090909090909094,0.007957559681697646,,,8.118,,,7.997632655335534,8.157783837582466,-0.16015118224693214,-0.15003295665999988,-0.010118225586932261,-0.021072523979859495,-0.0013313454719647714,,,,,,,,,,,,,,,19420.0,,,,,,,,0.04342105263157884,,,0.0,11.0,-0.03037974683544309,0.0,871.7,879.34,0.012819479158268088,0.03562637647363642,0.07311179722490024,0.11771123718190298,-0.0871191137502293,-0.027668816791938777,,,,,7.9,7.6,-0.03797468354430389,0.022346684770309988,-0.06032136831461388,7.9,7.66,7.9,7.33,-0.07215189873417727,0.06201629327902247,-0.13416819201319974,7.9,8.03,0.01645569620253151,0.0380742249377688,-0.021618528735237286
