date,p10,p25,p50,p75,p90,prob_end_above_latest,latest_close
2026-08-13,206.64663711597,212.0297516367273,214.65590604852756,220.00341850177242,226.04210646074924,0.46415,215.5
2026-08-14,203.37058439488226,209.53794524212978,214.40471878741556,223.20271591145925,229.73219382207694,0.46285,215.5
2026-08-17,198.42089227388382,207.0634255517668,214.38655734307304,223.83393666669969,233.42827417342156,0.47715,215.5
2026-08-18,196.99223122651503,204.91200380373093,214.47683190435635,225.65365334910194,235.2846521820699,0.45845,215.5
2026-08-19,194.56346726410104,203.52667395844938,214.25095276067202,228.20569256891042,239.44644988712423,0.4768,215.5
2026-08-20,192.00268857403768,202.55459779092996,214.6089165388007,228.67428951147076,241.86955314378554,0.48315,215.5
2026-08-21,189.51291068958548,201.2821824602704,214.77763599122818,229.53834075632454,243.95271565545866,0.48665,215.5
2026-08-24,187.56405949094685,200.40667969320293,214.60715575368658,230.4825246087541,245.98709468806703,0.48475,215.5
2026-08-25,186.04981559541685,199.19425875581481,214.43187029817125,231.3491214070864,247.842025962785,0.481,215.5
2026-08-26,184.4233389178876,198.17048433422104,214.40212423495512,232.5895378048118,249.8387433399046,0.4833,215.5
2026-08-27,182.99308288066345,197.56012611374337,214.395177212591,233.3429909142977,251.5947372713723,0.48335,215.5
2026-08-28,181.57567644377488,196.6627345870097,214.34932405779028,233.7619772666181,253.23732377018908,0.48395,215.5
2026-08-31,179.95330227214757,195.66624762397598,214.45487899450484,234.57196715912212,254.87755646400348,0.4845,215.5
2026-09-01,178.71741203818127,194.85677243092454,214.1057960369114,235.3670956818639,256.5202472639339,0.48085,215.5
2026-09-02,177.48331613385602,194.20647767719157,214.05768547380762,236.1935116448156,258.0875944867469,0.4801,215.5
2026-09-03,176.6826112341453,193.42376188779585,213.78943636961125,236.68933434662245,258.9580185040729,0.4768,215.5
2026-09-04,175.61086594735198,192.79826461706216,213.46537152984666,237.44488865189493,259.9709604324299,0.4761,215.5
2026-09-07,174.55673941445735,192.07463162214995,213.37380730251834,237.86018722839486,261.6968915822559,0.4751,215.5
2026-09-08,173.34125338506283,191.557025344894,212.9973931079743,238.3005552100067,262.9876220565708,0.47135,215.5
2026-09-09,172.17685161104967,190.9505507455757,213.12283181557615,238.9990560846459,264.36593691821196,0.4746,215.5
