date,p10,p25,p50,p75,p90,prob_end_above_latest,latest_close
2026-08-14,76.46849330079759,77.5746411065332,78.38248354798104,79.32953448631885,80.7620109846358,0.4502,78.5
2026-08-17,75.5442661293602,77.14739454990244,78.36824150848724,79.86726104374843,81.94353740551004,0.4718,78.5
2026-08-18,74.78813426627113,76.6399440640264,78.52045573661623,80.214502882362,82.58634865594114,0.5077,78.5
2026-08-19,73.91485542193341,76.20787799175835,78.72188410769604,80.58843736645551,82.38806227176072,0.53085,78.5
2026-08-20,73.38513257380944,75.84983212125425,78.70482798917749,80.87406456241132,83.03273773390131,0.52265,78.5
2026-08-21,73.17903316951785,75.71946533972512,78.52170788961544,81.07905226215155,83.7870889701349,0.5029,78.5
2026-08-24,72.80277706762888,75.50047856602897,78.43813639139192,81.36171661983495,84.37558349047352,0.49415,78.5
2026-08-25,72.32339886899315,75.26706593597864,78.44684785079559,81.60801517029577,84.68281709507038,0.49535,78.5
2026-08-26,72.00672055744812,75.02177878210405,78.42449383762705,81.73556209473453,84.92073069688095,0.49325,78.5
2026-08-27,71.75678911517073,74.84641639052403,78.33502966592424,81.79774324260059,85.193165230686,0.48735,78.5
2026-08-28,71.4110353878049,74.64871951409897,78.30014262100042,81.9976008800127,85.63101653152063,0.486,78.5
2026-09-03,71.06543251266558,74.359472212892,78.30272956732964,82.2244165075968,86.08074738966985,0.4857,78.5
2026-09-04,70.7307593763841,74.19704277691449,78.24117833928446,82.40702494600427,86.45313036574174,0.4834,78.5
2026-09-07,70.36180599860027,74.06096423130845,78.24488218587858,82.55452951039845,86.66630891787351,0.48415,78.5
2026-09-08,70.15637169982115,73.95251743752195,78.24636835601277,82.62030363575398,86.90619206971765,0.48375,78.5
2026-09-09,69.91554932827334,73.74266797304409,78.22404611686207,82.79503097786947,87.25835732012679,0.4831,78.5
2026-09-10,69.60811138039442,73.50738450512773,78.19912591655319,82.98127981643572,87.53248249285976,0.48325,78.5
2026-09-11,69.41002512606327,73.39729970994199,78.1780531699462,83.13124031537838,87.7596421500714,0.48265,78.5
2026-09-14,69.13091301458385,73.1930795268996,78.08802538923304,83.25087300118864,87.96659363632132,0.47625,78.5
2026-09-15,68.91658764807451,73.16985252097784,78.03849510621873,83.30629832997326,88.15222727327131,0.4757,78.5
