item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
Chi phí nghiệp vụ môi giới chứng khoán,Brokerage expenses,brokerage_expenses,-6244415817.0,-4791386040.0,-4986367091.0,-5146067323.0,-3773399767.0,-3512609994.0,-3901242391.0,-3798619777.0,-3011865879.0,-4119274266.0,-5181762677.0,-8758354042.0,-15751142792.0,-21759080985.0,-25239829957.0,-38101586345.0,-35241558045.0,-20609945420.0,-12480758245.0,-14237648151.0,-8458053584.0,-8368362985.0,-16829736470.0,-14074036581.0,-17780549575.0,-18571996231.0,-13393996282.0,-14693657475.0,-11312537777.0,-17012737064.0,-39494404912.0,-29416692413.0,-24954772840.0,-18114714655.0
"Chi phí nghiệp vụ bảo lãnh, đại lý phát hành chứng khoán","Underwriting, securities issuance expenses",underwriting_securities_issuance_expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chi phí nghiệp vụ tư vấn đầu tư chứng khoán,Expenses for securities advisory,expenses_for_securities_advisory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Chí phí hoạt động đấu giá, ủy thác",Bidding agent service expenses,bidding_agent_service_expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chi phí nghiệp vụ lưu ký chứng khoán,Investors' securities depository expenses,investors_securities_depository_expenses,-1175901854.0,-3038781578.0,-3110608495.0,-1690280303.0,-1458136110.0,-1500580812.0,-1227324391.0,-1368520065.0,-932473806.0,-814456417.0,-854456810.0,-2233933880.0,-1312286194.0,-1658048521.0,-2449742477.0,-1624245910.0,-1251701000.0,-1226376330.0,-1311681741.0,-1770541711.0,-1081522450.0,-1432194688.0,-1701843960.0,-2212002060.0,-1735689699.0,-1637187848.0,-1662642016.0,-2428470449.0,-1593667290.0,-1966754478.0,-2235206368.0,-2683844432.0,-1997685767.0,-2607031703.0
Chi phí hoạt động tư vấn tài chính,Expenses for financial advisory activities,expenses_for_financial_advisory_activities,-335354446.0,-3234263270.0,-4005719122.0,-9712477513.0,-6176032289.0,-538449033.0,-611614975.0,-785491003.0,-493699249.0,-438779305.0,-440487855.0,-667880823.0,-242748026.0,-728363480.0,-384433558.0,-409843087.0,-360186608.0,-413943725.0,-490656932.0,-694164201.0,-207859017.0,-372375338.0,-398186112.0,-800624201.0,-688704203.0,-658897915.0,-702938363.0,-1085498384.0,-476915586.0,-515392229.0,-482938701.0,-679864491.0,-356588867.0,-425589624.0
Chi phí các dịch vụ khác,Other expenses,other_expenses,-58914045.0,-379123643.0,-176916817.0,-359138343.0,361024274.0,-228338649.0,-280594861.0,-328458906.0,-238642265.0,-54708354.0,33330903.0,-1933153909.0,-145713636.0,-395626071.0,-188829017.0,-248342500.0,-244366667.0,-147921001.0,-181369058.0,-416335104.0,-69492501.0,-229039229.0,-259533338.0,-640211924.0,-411246582.0,-569290983.0,-568778464.0,-778265334.0,-231478904.0,-362715746.0,-493402321.0,-755088664.0,-192357324.0,-192493875.0
"Chi phí sửa lỗi giao dịch chứng khoán, lỗi khác",Expenses arise from securities transaction errors and other errors,expenses_arise_from_securities_transaction_errors_and_other_errors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOANH THU HOẠT ĐỘNG TÀI CHÍNH,REVENUE FROM FINANCIAL ACTIVITIES,revenue_from_financial_activities,1088533947.0,317095822.0,361258422.0,271913731.0,1009361675.0,245781655.0,322088009.0,95675056.0,1346500304.0,121593143.0,469076781.0,459894301.0,932451758.0,1087079978.0,1470680325.0,847388098.0,1989625914.0,2147289443.0,1275086832.0,2179782388.0,1224403806.0,958027165.0,1303165914.0,2971999026.0,2550141013.0,2562908993.0,1981751967.0,2597584553.0,2205920939.0,3500521113.0,1365420668.0,2528957169.0,2774050344.0,7672051367.0
Chênh lệch lãi tỷ giá hối đoái đã và chưa thực hiện,Realized and unrealized foreign exchange gain,realized_and_unrealized_foreign_exchange_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
