horizon,date,symbol,prediction,prediction_score,predicted_rank,predicted_percentile,predicted_excess_return
5,2026-08-11,CTG,0.0013507393,0.0013507393,1.0,1.0,0.0013507393
5,2026-08-11,VCB,0.0010357343,0.0010357343,2.0,0.8571428571428571,0.0010357343
5,2026-08-11,STB,0.0009819315,0.0009819315,3.0,0.7142857142857143,0.0009819315
5,2026-08-11,ACB,0.0008007304,0.0008007304,4.0,0.5,0.0008007304
5,2026-08-11,MBB,0.0008007304,0.0008007304,5.0,0.5,0.0008007304
5,2026-08-11,BID,-0.00032445646,-0.00032445646,6.0,0.2857142857142857,-0.00032445646
5,2026-08-11,TCB,-0.0005596516,-0.0005596516,7.0,0.14285714285714285,-0.0005596516
20,2026-08-11,VCB,-0.0015255846,-0.0015255846,1.0,1.0,-0.0015255846
20,2026-08-11,STB,-0.001825016,-0.001825016,2.0,0.8571428571428571,-0.001825016
20,2026-08-11,ACB,-0.0020058833,-0.0020058833,3.0,0.7142857142857143,-0.0020058833
20,2026-08-11,CTG,-0.002038294,-0.002038294,4.0,0.5714285714285714,-0.002038294
20,2026-08-11,BID,-0.0022557292,-0.0022557292,5.0,0.42857142857142855,-0.0022557292
20,2026-08-11,TCB,-0.002587109,-0.002587109,6.0,0.2857142857142857,-0.002587109
20,2026-08-11,MBB,-0.0034691284,-0.0034691284,7.0,0.14285714285714285,-0.0034691284
