fold,train_start,train_end,validation_start,validation_end,test_start,test_end,train_dates,train_rows,validation_dates,validation_rows,test_dates,test_rows,gap,best_iteration,num_boost_round,validation_metric,validation_score_at_best
1,2012-02-01,2024-07-05,2024-08-05,2025-02-06,2025-03-07,2025-06-09,3087,19417,126,882,63,441,20,24,25,rmse,0.03538631536315185
2,2012-02-01,2024-10-04,2024-11-04,2025-05-12,2025-06-10,2025-09-08,3150,19858,126,882,63,441,20,25,26,rmse,0.04107086809335971
3,2012-02-01,2025-01-02,2025-02-07,2025-08-07,2025-09-09,2025-12-04,3213,20299,126,882,63,441,20,0,1,rmse,0.05797392066889424
4,2012-02-01,2025-04-09,2025-05-13,2025-11-06,2025-12-05,2026-03-12,3276,20740,126,882,63,441,20,77,78,rmse,0.06051700236440995
5,2012-02-01,2025-07-10,2025-08-08,2026-02-05,2026-03-13,2026-06-12,3339,21181,126,882,63,441,20,399,400,rmse,0.07299120078441726
6,2012-02-01,2025-10-09,2025-11-07,2026-05-15,2026-06-15,2026-07-14,3402,21622,126,882,22,154,20,375,376,rmse,0.0772110760927487
