entry_date,exit_date,entry_price,exit_price,shares,holding_sessions,gross_pnl,net_pnl,net_return,exit_reason
2026-03-09,2026-03-13,14.95,15.3,6600,4,2310000.0,1809720.0,0.018304528067610598,fixed_horizon_exit
2026-03-23,2026-03-27,15.3,16.4,6600,4,7260000.0,6733320.0,0.06654664527154841,fixed_horizon_exit
2026-03-30,2026-04-03,16.6,15.5,6500,4,-7150000.0,-7668050.0,-0.07092441622778539,fixed_horizon_exit
