date,p10,p25,p50,p75,p90,prob_end_above_latest,latest_close,is_model_anchor
2026-08-14,14.071430643860438,14.210104883901693,14.348779123942949,14.503402120362697,14.658025116782447,0.476984126984127,14.35,False
2026-08-17,13.792861287720877,14.070209767803387,14.3475582478859,14.656804240725398,14.966050233564896,0.45396825396825397,14.35,False
2026-08-18,13.514291931581313,13.930314651705082,14.346337371828849,14.810206361088095,15.274075350347344,0.430952380952381,14.35,False
2026-08-19,13.235722575441752,13.790419535606777,14.3451164957718,14.963608481450796,15.582100467129793,0.40793650793650793,14.35,False
2026-08-20,12.95715321930219,13.65052441950847,14.343895619714749,15.117010601813494,15.89012558391224,0.38492063492063494,14.35,True
2026-08-21,12.810012217626445,13.570455732212404,14.330899246798362,15.235084590428041,16.13926993405772,0.373015873015873,14.35,False
2026-08-24,12.6628712159507,13.490387044916337,14.317902873881975,15.353158579042585,16.388414284203197,0.3611111111111111,14.35,False
2026-08-25,12.515730214274955,13.410318357620273,14.30490650096559,15.471232567657134,16.63755863434868,0.34920634920634924,14.35,False
2026-08-26,12.36858921259921,13.330249670324207,14.291910128049203,15.58930655627168,16.886702984494157,0.3373015873015873,14.35,False
2026-08-27,12.221448210923464,13.250180983028141,14.278913755132816,15.707380544886226,17.135847334639635,0.3253968253968254,14.35,True
2026-08-28,12.177385120872241,13.225057449861579,14.272729778850916,15.721750230457017,17.170770682063118,0.32301587301587303,14.35,False
2026-09-03,12.133322030821018,13.199933916695016,14.266545802569016,15.736119916027809,17.2056940294866,0.32063492063492066,14.35,False
2026-09-04,12.089258940769795,13.174810383528456,14.260361826287117,15.7504896015986,17.240617376910084,0.31825396825396823,14.35,False
2026-09-07,12.045195850718573,13.149686850361896,14.254177850005217,15.764859287169392,17.275540724333567,0.31587301587301586,14.35,False
2026-09-08,12.00113276066735,13.124563317195332,14.247993873723315,15.779228972740182,17.31046407175705,0.3134920634920635,14.35,False
2026-09-09,11.957069670616127,13.099439784028771,14.241809897441415,15.793598658310973,17.345387419180533,0.3111111111111111,14.35,False
2026-09-10,11.913006580564904,13.07431625086221,14.235625921159516,15.807968343881765,17.380310766604016,0.30873015873015874,14.35,False
2026-09-11,11.868943490513681,13.049192717695648,14.229441944877616,15.822338029452556,17.4152341140275,0.3063492063492063,14.35,False
2026-09-14,11.824880400462458,13.024069184529086,14.223257968595716,15.836707715023348,17.45015746145098,0.30396825396825394,14.35,False
2026-09-15,11.780817310411235,12.998945651362526,14.217073992313816,15.85107740059414,17.485080808874464,0.30158730158730157,14.35,True
