date,p10,p25,p50,p75,p90,prob_end_above_latest,latest_close
2026-08-17,24.194588502329857,24.786839240668645,25.317662792185626,25.945978413531737,26.738607118840978,0.48705,25.35
2026-08-18,23.736542146865446,24.44536782924421,25.23625335434696,26.24877964267696,27.373599604085594,0.45895,25.35
2026-08-19,23.481318202484392,24.245750046135285,25.27880674964947,26.23089752889071,27.794952031796228,0.48765,25.35
2026-08-20,23.252608755716125,24.20628859613412,25.03497497901628,26.590424871988045,27.83486283915349,0.40905,25.35
2026-08-21,23.128226452515968,24.05175264474248,24.90900088965181,26.493983375162273,28.526132362660864,0.4,25.35
2026-08-24,22.74555946754646,23.83275539944588,25.059909380044697,26.57380350886162,28.673651056892723,0.4446,25.35
2026-08-25,22.433389780401175,23.612343372823343,25.04690771566098,26.81557900061568,29.028932932594024,0.4493,25.35
2026-08-26,22.209748444749813,23.494710446468197,25.058105503007823,26.96293744794791,29.316751066706303,0.4535,25.35
2026-08-27,22.030618892693393,23.409878444949374,25.025075456277943,27.050160110240007,29.603922080536748,0.451,25.35
2026-08-28,21.895236626933333,23.287969246855663,24.93119005868678,27.13626982831814,29.89890471302855,0.445,25.35
2026-09-03,21.66757775705914,23.153379206025576,24.959097035818992,27.285506340068057,30.026792957392907,0.4479,25.35
2026-09-04,21.457326823223845,23.01351242480942,24.97467726715926,27.39943647979961,30.19990071102036,0.4542,25.35
2026-09-07,21.30591802575395,22.957270600801877,24.97526981714058,27.498389021956722,30.338945928093835,0.45395,25.35
2026-09-08,21.1389085763238,22.847152861926183,24.94752978218885,27.601138550026466,30.558930007174173,0.45545,25.35
2026-09-09,21.010481197658134,22.746705735679996,24.871319023231898,27.691061945132862,30.810105070660825,0.4485,25.35
2026-09-10,20.86789480231666,22.694365736052127,24.890497523466685,27.765540228201026,30.95623599094606,0.44935,25.35
2026-09-11,20.695772359351285,22.567911609822822,24.905724204803704,27.83811449132822,31.10245715553814,0.4532,25.35
2026-09-14,20.572846050307998,22.491453756795337,24.923290220116854,27.96291230520454,31.234163712293288,0.45605,25.35
2026-09-15,20.449728062145923,22.41029501599392,24.883993303396874,28.03170750186174,31.372924647072594,0.45545,25.35
2026-09-16,20.314859527639786,22.29863327827922,24.843598639083606,28.096825735539518,31.651618419066637,0.45285,25.35
