fold,train_start,train_end,validation_start,validation_end,test_start,test_end,train_dates,train_rows,validation_dates,validation_rows,test_dates,test_rows,gap,best_iteration,num_boost_round,validation_metric,validation_score_at_best
1,2008-06-18,2024-07-10,2024-07-18,2025-01-14,2025-01-22,2025-04-28,3969,38692,126,1512,63,756,5,0,1,rmse,0.02362443880087966
2,2008-06-18,2024-10-09,2024-10-17,2025-04-21,2025-04-29,2025-07-29,4032,39448,126,1512,63,756,5,34,35,rmse,0.03015765003379896
3,2008-06-18,2025-01-07,2025-01-15,2025-07-22,2025-07-30,2025-10-28,4095,40204,126,1512,63,756,5,39,40,rmse,0.03900867582336089
4,2008-06-18,2025-04-14,2025-04-22,2025-10-21,2025-10-29,2026-01-27,4158,40960,126,1512,63,756,5,104,105,rmse,0.04357724089393347
5,2008-06-18,2025-07-15,2025-07-23,2026-01-20,2026-01-28,2026-05-06,4221,41716,126,1512,63,756,5,92,93,rmse,0.0506857837355555
6,2008-06-18,2025-10-14,2025-10-22,2026-04-24,2026-05-07,2026-07-13,4284,42472,126,1512,48,576,5,26,27,rmse,0.05427382109803874
