horizon,date,symbols,positions,gross_return,turnover,entry_or_rebalance_turnover,terminal_liquidation_turnover,cost,net_return,market_return,net_excess_return,market_regime
20,2025-03-12,"MBB,HCM,TCB",3,-0.1367535465813551,0.5,0.5,0.0,0.0025,-0.1392535465813551,-0.12527140140454918,-0.013982145176805932,bull
20,2025-04-10,"TCB,MBB,SSI",3,0.07195462697449743,0.3333333333333333,0.3333333333333333,0.0,0.0016666666666666666,0.07028796030783077,0.09071053918675065,-0.020422578878919878,bear
20,2025-05-13,"FPT,HCM,TCB",3,-0.009103877373985733,0.6666666666666666,0.6666666666666666,0.0,0.003333333333333333,-0.012437210707319065,0.01615841889909686,-0.028595629606415925,bull
20,2025-06-10,"HPG,TCB,GAS",3,0.12147096474620171,0.6666666666666666,0.6666666666666666,0.0,0.003333333333333333,0.11813763141286839,0.07063922485193674,0.04749840656093164,sideways
20,2025-07-08,"VIC,HPG,TCB",3,0.12393030918390717,0.3333333333333333,0.3333333333333333,0.0,0.0016666666666666666,0.1222636425172405,0.08868357351947775,0.03358006899776275,bull
20,2025-08-05,"MBB,SSI,TCB",3,0.1644223862325096,0.6666666666666666,0.6666666666666666,0.0,0.003333333333333333,0.16108905289917627,0.08837003387742537,0.0727190190217509,bull
20,2025-09-04,"HCM,HPG,MBB",3,-0.07926107464574457,0.6666666666666666,0.6666666666666666,0.0,0.003333333333333333,-0.0825944079790779,-0.030742524030425877,-0.05185188394865202,bull
20,2025-10-02,"MBB,MWG,TCB",3,-0.02912864642790754,0.6666666666666666,0.6666666666666666,0.0,0.003333333333333333,-0.03246197976124087,0.011008907647496846,-0.04347088740873772,sideways
20,2025-10-30,"MWG,VIC,VHM",3,0.05624462028681865,0.6666666666666666,0.6666666666666666,0.0,0.003333333333333333,0.05291128695348531,0.008810440761614968,0.044100846191870345,sideways
20,2025-11-27,"FPT,GAS,VHM",3,0.05572106486609466,0.6666666666666666,0.6666666666666666,0.0,0.003333333333333333,0.05238773153276133,0.035087927686085374,0.017299803846675954,sideways
20,2025-12-25,"GAS,VIC,MBB",3,0.2356386826278948,0.6666666666666666,0.6666666666666666,0.0,0.003333333333333333,0.23230534929456148,0.08047984341211567,0.1518255058824458,bull
20,2026-01-26,"VIC,VHM,VNM",3,-0.041982430678789706,0.6666666666666666,0.6666666666666666,0.0,0.003333333333333333,-0.04531576401212304,0.001171404709480628,-0.04648716872160367,bull
20,2026-03-02,"GAS,VIC,VHM",3,-0.15857625820610588,0.3333333333333333,0.3333333333333333,0.0,0.0016666666666666666,-0.16024292487277256,-0.10340401665336407,-0.056838908219408485,sideways
20,2026-03-30,"VIC,GAS,VHM",3,0.36909434527938717,0.0,0.0,0.0,0.0,0.36909434527938717,0.12354678150661558,0.2455475637727716,bear
20,2026-04-28,"GAS,HCM,TCB",3,0.03468024833042708,0.6666666666666666,0.6666666666666666,0.0,0.003333333333333333,0.031346914997093744,-0.008137480308255562,0.03948439530534931,bull
20,2026-05-28,"GAS,VCB,TCB",3,-0.018779791271733053,0.8333333333333333,0.3333333333333333,0.5,0.004166666666666667,-0.02294645793839972,-0.0007240857746645402,-0.02222237216373518,sideways
