horizon,date,symbol,prediction,prediction_score,predicted_rank,predicted_percentile,predicted_excess_return
5,2026-07-20,SSI,0.007409102,0.007409102,1.0,1.0,0.007409102
5,2026-07-20,VIC,0.0039596097,0.0039596097,2.0,0.9166666666666666,0.0039596097
5,2026-07-20,HCM,0.0037972592,0.0037972592,3.0,0.8333333333333334,0.0037972592
5,2026-07-20,VHM,0.0031766372,0.0031766372,4.0,0.75,0.0031766372
5,2026-07-20,HPG,0.0030780078,0.0030780078,5.0,0.6666666666666666,0.0030780078
5,2026-07-20,VNM,0.002915617,0.002915617,6.0,0.5833333333333334,0.002915617
5,2026-07-20,MBB,-0.00060566736,-0.00060566736,7.0,0.4583333333333333,-0.00060566736
5,2026-07-20,TCB,-0.00060566736,-0.00060566736,8.0,0.4583333333333333,-0.00060566736
5,2026-07-20,FPT,-0.0008167275,-0.0008167275,9.0,0.20833333333333334,-0.0008167275
5,2026-07-20,GAS,-0.0008167275,-0.0008167275,10.0,0.20833333333333334,-0.0008167275
5,2026-07-20,MWG,-0.0008167275,-0.0008167275,11.0,0.20833333333333334,-0.0008167275
5,2026-07-20,VCB,-0.0008167275,-0.0008167275,12.0,0.20833333333333334,-0.0008167275
