horizon,date,symbol,prediction,prediction_score,predicted_rank,predicted_percentile,predicted_excess_return
20,2026-07-20,HCM,0.012077012,0.012077012,1.0,1.0,0.012077012
20,2026-07-20,HPG,0.00962969,0.00962969,2.0,0.9166666666666666,0.00962969
20,2026-07-20,VNM,0.008893439,0.008893439,3.0,0.8333333333333334,0.008893439
20,2026-07-20,VIC,0.008049372,0.008049372,4.0,0.75,0.008049372
20,2026-07-20,MBB,0.006281182,0.006281182,5.0,0.6666666666666666,0.006281182
20,2026-07-20,TCB,0.006011647,0.006011647,6.0,0.5833333333333334,0.006011647
20,2026-07-20,VHM,0.005883802,0.005883802,7.0,0.5,0.005883802
20,2026-07-20,FPT,0.00515995,0.00515995,8.0,0.25,0.00515995
20,2026-07-20,GAS,0.00515995,0.00515995,9.0,0.25,0.00515995
20,2026-07-20,MWG,0.00515995,0.00515995,10.0,0.25,0.00515995
20,2026-07-20,SSI,0.00515995,0.00515995,11.0,0.25,0.00515995
20,2026-07-20,VCB,0.00515995,0.00515995,12.0,0.25,0.00515995
