date,prediction,entry_margin,action,position_shares,sell_eligible,holding_sessions,transaction_cost_value,transaction_cost,equity_curve,gross_equity_curve,net_strategy_return,realized_trade_return
2026-02-03,0.0009869340574368834,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-04,0.0018351831240579486,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-05,0.0018351831240579486,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-06,0.0015444830060005188,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-09,0.0018351831240579486,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-10,0.0013878258178010583,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-11,0.0013878258178010583,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-12,0.0013878258178010583,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-13,0.0013878258178010583,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-23,0.0016843166667968035,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-24,0.0016843166667968035,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-25,0.0011068518506363034,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-26,0.0011068518506363034,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-27,0.0011068518506363034,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-02,0.0011068518506363034,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-03,0.0007635516230948269,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-04,0.0011068518506363034,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-05,0.0011068518506363034,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-06,0.0007635516230948269,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-09,0.003190214978531003,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-10,-0.000253790378337726,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-11,0.0007635516230948269,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
