fold,train_start,train_end,validation_start,validation_end,test_start,test_end,train_dates,train_rows,validation_dates,validation_rows,test_dates,test_rows,gap,best_iteration,num_boost_round,validation_metric,validation_score_at_best,entry_margin_selected,entry_rule_selected,entry_margin_audit,prediction_haircut,lower_confidence_level
1,2008-06-18,2023-07-06,2023-07-21,2024-01-17,2024-02-01,2024-05-10,3717,35660,126,1512,63,756,10,73,74,rmse,0.05008799008821958,,False,"{'selected': False, 'trials': [{'margin': 0.0, 'completed_round_trips': 0, 'net_return': 0.0, 'sharpe': None}, {'margin': 0.0025, 'completed_round_trips': 0, 'net_return': 0.0, 'sharpe': None}, {'margin': 0.005, 'completed_round_trips': 0, 'net_return': 0.0, 'sharpe': None}, {'margin': 0.01, 'completed_round_trips': 0, 'net_return': 0.0, 'sharpe': None}]}",0.034647185724019036,0.8
2,2008-06-18,2023-10-05,2023-10-20,2024-04-23,2024-05-13,2024-08-07,3780,36416,126,1512,63,756,10,77,78,rmse,0.03992972228979279,,False,"{'selected': False, 'trials': [{'margin': 0.0, 'completed_round_trips': 0, 'net_return': 0.0, 'sharpe': None}, {'margin': 0.0025, 'completed_round_trips': 0, 'net_return': 0.0, 'sharpe': None}, {'margin': 0.005, 'completed_round_trips': 0, 'net_return': 0.0, 'sharpe': None}, {'margin': 0.01, 'completed_round_trips': 0, 'net_return': 0.0, 'sharpe': None}]}",0.029564870091093425,0.8
3,2008-06-18,2024-01-03,2024-01-18,2024-07-24,2024-08-08,2024-11-06,3843,37172,126,1512,63,756,10,61,62,rmse,0.03885367946964628,,False,"{'selected': False, 'trials': [{'margin': 0.0, 'completed_round_trips': 0, 'net_return': 0.0, 'sharpe': None}, {'margin': 0.0025, 'completed_round_trips': 0, 'net_return': 0.0, 'sharpe': None}, {'margin': 0.005, 'completed_round_trips': 0, 'net_return': 0.0, 'sharpe': None}, {'margin': 0.01, 'completed_round_trips': 0, 'net_return': 0.0, 'sharpe': None}]}",0.03027374531295432,0.8
4,2008-06-18,2024-04-08,2024-04-24,2024-10-23,2024-11-07,2025-02-11,3906,37928,126,1512,63,756,10,2,3,rmse,0.03626419181391918,,False,"{'selected': False, 'trials': [{'margin': 0.0, 'completed_round_trips': 0, 'net_return': 0.0, 'sharpe': None}, {'margin': 0.0025, 'completed_round_trips': 0, 'net_return': 0.0, 'sharpe': None}, {'margin': 0.005, 'completed_round_trips': 0, 'net_return': 0.0, 'sharpe': None}, {'margin': 0.01, 'completed_round_trips': 0, 'net_return': 0.0, 'sharpe': None}]}",0.028695347722756837,0.8
5,2008-06-18,2024-07-10,2024-07-25,2025-01-21,2025-02-12,2025-05-15,3969,38684,126,1512,63,756,10,2,3,rmse,0.03257626621299507,,False,"{'selected': False, 'trials': [{'margin': 0.0, 'completed_round_trips': 0, 'net_return': 0.0, 'sharpe': None}, {'margin': 0.0025, 'completed_round_trips': 0, 'net_return': 0.0, 'sharpe': None}, {'margin': 0.005, 'completed_round_trips': 0, 'net_return': 0.0, 'sharpe': None}, {'margin': 0.01, 'completed_round_trips': 0, 'net_return': 0.0, 'sharpe': None}]}",0.024767042109618966,0.8
6,2008-06-18,2024-10-09,2024-10-24,2025-04-28,2025-05-16,2025-07-11,4032,39440,126,1512,41,492,10,122,123,rmse,0.04627284917025261,,False,"{'selected': False, 'trials': [{'margin': 0.0, 'completed_round_trips': 0, 'net_return': 0.0, 'sharpe': None}, {'margin': 0.0025, 'completed_round_trips': 0, 'net_return': 0.0, 'sharpe': None}, {'margin': 0.005, 'completed_round_trips': 0, 'net_return': 0.0, 'sharpe': None}, {'margin': 0.01, 'completed_round_trips': 0, 'net_return': 0.0, 'sharpe': None}]}",0.027084155611338253,0.8
