horizon,date,symbol,prediction,prediction_score,predicted_rank,predicted_percentile,prediction_haircut,prediction_lower_bound,entry_margin,entry_rule_selected,entry_threshold,expected_net_edge,candidate_decision,predicted_excess_return,decision,publish_gate
5,2026-08-13,GAS,0.004819962,0.004819962,1.0,1.0,0.019001826122558206,-0.014181864,,False,,-0.019181864,WAIT,0.004819962,WAIT,NO_EDGE
5,2026-08-13,HCM,0.0033989658,0.0033989658,2.0,0.9166666666666666,0.019001826122558206,-0.015602861,,False,,-0.02060286,WAIT,0.0033989658,WAIT,NO_EDGE
5,2026-08-13,VCB,0.0024114198,0.0024114198,3.0,0.8333333333333334,0.019001826122558206,-0.016590407,,False,,-0.021590408,WAIT,0.0024114198,WAIT,NO_EDGE
5,2026-08-13,VHM,0.0022947008,0.0022947008,4.0,0.75,0.019001826122558206,-0.016707126,,False,,-0.021707125,WAIT,0.0022947008,WAIT,NO_EDGE
5,2026-08-13,VNM,0.0022115423,0.0022115423,5.0,0.6666666666666666,0.019001826122558206,-0.016790284,,False,,-0.021790285,WAIT,0.0022115423,WAIT,NO_EDGE
5,2026-08-13,TCB,0.0014748303,0.0014748303,6.0,0.5833333333333334,0.019001826122558206,-0.017526995,,False,,-0.022526994,WAIT,0.0014748303,WAIT,NO_EDGE
5,2026-08-13,SSI,0.00082748896,0.00082748896,7.0,0.5,0.019001826122558206,-0.018174337,,False,,-0.023174338,WAIT,0.00082748896,WAIT,NO_EDGE
5,2026-08-13,MWG,0.0008034657,0.0008034657,8.0,0.4166666666666667,0.019001826122558206,-0.018198362,,False,,-0.023198362,WAIT,0.0008034657,WAIT,NO_EDGE
5,2026-08-13,MBB,0.0007497837,0.0007497837,9.0,0.3333333333333333,0.019001826122558206,-0.018252043,,False,,-0.023252044,WAIT,0.0007497837,WAIT,NO_EDGE
5,2026-08-13,FPT,0.00019881855,0.00019881855,10.0,0.25,0.019001826122558206,-0.018803008,,False,,-0.023803007,WAIT,0.00019881855,WAIT,NO_EDGE
5,2026-08-13,HPG,-5.2816835e-05,-5.2816835e-05,11.0,0.16666666666666666,0.019001826122558206,-0.019054644,,False,,-0.024054643,WAIT,-5.2816835e-05,WAIT,NO_EDGE
5,2026-08-13,VIC,-0.00091017364,-0.00091017364,12.0,0.08333333333333333,0.019001826122558206,-0.019912,,False,,-0.024912,WAIT,-0.00091017364,WAIT,NO_EDGE
10,2026-08-13,GAS,0.016126143,0.016126143,1.0,1.0,0.02913010890692513,-0.013003966,,False,,-0.018003967,WAIT,0.016126143,WAIT,NO_EDGE
10,2026-08-13,TCB,0.011096705,0.011096705,2.0,0.9166666666666666,0.02913010890692513,-0.018033404,,False,,-0.023033403,WAIT,0.011096705,WAIT,NO_EDGE
10,2026-08-13,HCM,0.009324759,0.009324759,3.0,0.8333333333333334,0.02913010890692513,-0.01980535,,False,,-0.024805348,WAIT,0.009324759,WAIT,NO_EDGE
10,2026-08-13,MWG,0.0063122977,0.0063122977,4.0,0.75,0.02913010890692513,-0.022817811,,False,,-0.027817812,WAIT,0.0063122977,WAIT,NO_EDGE
10,2026-08-13,VCB,0.0056247124,0.0056247124,5.0,0.6666666666666666,0.02913010890692513,-0.023505397,,False,,-0.028505396,WAIT,0.0056247124,WAIT,NO_EDGE
10,2026-08-13,SSI,0.005566987,0.005566987,6.0,0.5833333333333334,0.02913010890692513,-0.02356312,,False,,-0.02856312,WAIT,0.005566987,WAIT,NO_EDGE
