date,open,high,low,close,volume,return_1d,return_2d,return_3d,return_5d,return_10d,return_20d,sma_5,sma_20,sma_60,ema_12,ema_26,macd,macd_signal,macd_hist,macd_pct,macd_hist_pct,rsi_14,bb_mid_20,bb_std_20,bb_upper_20,bb_lower_20,bb_width_20,bb_position_20,atr_14,atr_pct_14,adx_14,plus_di_14,minus_di_14,stoch_k_14,stoch_d_3,obv,obv_sma_20,volatility_20d,return_skew_20d,return_kurtosis_20d,volume_sma_20,volume_z_20,volume_ratio_20,range_pct,close_vs_sma20,close_vs_sma60,day_of_week,month_of_year,next_return,target_next_up,market_open,market_close,market_return_1d,market_return_5d,market_return_20d,market_volatility_20d,excess_return_1d,excess_return_5d,excess_return_20d,relative_strength_20d,beta_60d,corr_60d,target_entry_open_5d,target_exit_close_5d,target_return_5d,target_market_return_5d,target_excess_return_5d,swing_execution_open,swing_execution_close,target_entry_open_10d,target_exit_close_10d,target_return_10d,target_market_return_10d,target_excess_return_10d,target_entry_open_20d,target_exit_close_20d,target_return_20d,target_market_return_20d,target_excess_return_20d
2015-12-21,7.73,7.73,7.73,7.73,100,,,,,,,,,,7.73,7.73,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,0.0,12.0,,,570.45,566.9,-0.002252807208983021,0.008324143573689824,-0.055150919181986446,0.15941362251557845,,,,,,,7.36,6.84,-0.07065217391304357,0.02308410568543362,-0.09373627959847719,7.36,7.36,7.36,6.31,-0.14266304347826098,0.09154101535482084,-0.23420405883308182,7.36,5.37,-0.27038043478260876,0.09271683497025873,-0.3630972697528675
2016-04-19,7.36,7.36,7.36,7.36,500,-0.047865459249676556,,,,,,,,,7.673076923076923,7.702592592592593,-0.02951566951566953,-0.005903133903133906,-0.023612535612535623,-0.004010281184194229,-0.0032082249473553833,,,,,,,,,,,,,,,-500.0,,,,,,,,0.0,,,1.0,4.0,,,578.32,568.28,-0.019970337667712945,-0.018972154608386416,-0.006972233386338678,0.13876004447517312,-0.02789512158196361,,,,,,7.36,6.84,-0.07065217391304357,0.05308216180255254,-0.12373433571559611,7.36,7.36,7.36,5.52,-0.2500000000000001,0.13702970990388486,-0.38702970990388497,7.36,4.58,-0.3777173913043479,0.1566203890124125,-0.5343377803167604
2016-04-21,7.36,7.36,7.36,7.36,100,0.0,-0.047865459249676556,,,,,,,,7.624911242603551,7.67721536351166,-0.05230412090810965,-0.015183331304129057,-0.037120789603980596,-0.007106538166862724,-0.005043585544019102,,,,,,,,,,,,,,,-500.0,,,,,,,,0.0,,,3.0,4.0,0.0,0.0,571.19,575.73,0.013555622062215056,-0.003961800629735945,0.0017748081641175695,0.1450973825176596,-0.013555622062215056,,,,,,6.84,6.84,0.0,0.05560680160815901,-0.05560680160815901,6.84,6.84,6.84,5.52,-0.19298245614035092,0.13521416015455023,-0.32819661629490116,6.84,3.89,-0.4312865497076023,0.16467967349496138,-0.5959662232025636
2016-04-22,6.84,6.84,6.84,6.84,200,-0.07065217391304357,-0.07065217391304357,-0.11513583441138431,,,,,,,7.504155666818389,7.615199410658945,-0.11104374384055582,-0.03435541381141441,-0.07668833002914141,-0.01623446547376547,-0.011211744156307223,,,,,,,,,,,,,,,-700.0,,,,,,,,0.0,,,4.0,4.0,0.0,0.0,574.57,592.48,0.029093498688621322,0.022416262575713164,0.03823642799565419,0.17501890464230271,-0.09974567260166489,,,,,,6.84,7.31,0.06871345029239762,0.04104296633272586,0.027670483959671754,6.84,6.84,6.84,6.31,-0.07748538011695916,0.11682360221438004,-0.1943089823313392,6.84,3.31,-0.5160818713450293,0.10598585071331801,-0.6220677220583473
2016-04-25,6.84,6.84,6.84,6.84,400,0.0,-0.07065217391304357,-0.07065217391304357,,,,7.226000000000001,,,7.401977871923252,7.557777232091615,-0.1557993601683627,-0.05864420308280407,-0.09715515708555864,-0.022777684235140747,-0.014203970334145999,,,,,,,,,,,,,,,-700.0,,,,,,,,0.0,,,0.0,4.0,,,597.91,591.58,-0.001519038617337265,0.02021177525609641,0.03408614179834979,0.17542859823857326,0.001519038617337265,,,,,,6.84,6.31,-0.07748538011695916,0.042135870113281015,-0.11962125023024017,6.84,6.84,6.84,7.26,0.06140350877192979,0.10971797371340197,-0.04831446494147218,6.84,3.79,-0.44590643274853803,0.11494504016941742,-0.5608514729179555
2016-04-28,6.84,6.84,6.84,6.84,400,0.0,0.0,-0.07065217391304357,-0.11513583441138431,,,7.048,,,7.315519737781213,7.5046085482329765,-0.1890888104517634,-0.08473312455659594,-0.10435568589516746,-0.027644562931544357,-0.015256679224439688,,,,,,,,,,,,,,,-700.0,,,,,,,,0.0,,,3.0,4.0,,,594.98,591.67,-0.0038554784833997324,0.027686589199798384,0.03818146724921467,0.1745855932075808,0.0038554784833997324,-0.1428224236111827,,,,,6.84,6.31,-0.07748538011695916,0.050943961642193614,-0.12842934175915277,6.84,6.84,6.84,7.73,0.13011695906432763,0.09807545033796172,0.03204150872636591,6.84,3.26,-0.5233918128654971,0.11773715579529198,-0.6411289686607891
2016-05-05,6.84,6.84,6.84,6.84,250,0.0,0.0,0.0,-0.07065217391304357,,,6.944,,,7.242362855045642,7.455378285400904,-0.21301543035526205,-0.11038958571632917,-0.10262584463893287,-0.031142606777085094,-0.015003778455984338,,,,,,,,,,,,,,,-700.0,,,,,,,,0.0,,,3.0,5.0,0.0,0.0,600.66,601.51,0.00407297978533383,0.0050628258254243885,0.08220287143319771,0.15953863839458013,-0.00407297978533383,-0.07571499973846796,,,,,6.84,5.52,-0.19298245614035092,0.07812084993359902,-0.27110330607394995,6.84,6.84,6.84,6.58,-0.03801169590643272,0.07880146082337314,-0.11681315672980586,6.84,2.79,-0.5921052631578947,0.119007304116866,-0.7111125672747607
2016-05-06,6.84,6.84,6.84,6.84,50,0.0,0.0,0.0,-0.07065217391304357,,,6.84,,,7.180460877346313,7.409794708704541,-0.22933383135822805,-0.13417843484470895,-0.09515539651351909,-0.0335283379178696,-0.013911607677415071,,,,,,,,,,,,,,,-700.0,,,,,,,,0.0,,,4.0,5.0,,,602.4,606.52,0.00832903858622469,0.021146205131658657,0.08245288406624773,0.15961996009166624,-0.00832903858622469,-0.09179837904470223,,,,,7.31,5.52,-0.2448700410396717,0.04273176346458207,-0.28760180450425377,7.31,7.31,7.31,6.84,-0.06429548563611487,0.050533147890588825,-0.1148286335267037,7.31,2.47,-0.6621067031463748,0.09623838984541111,-0.7583450929917859
2016-05-18,7.31,7.31,7.31,7.31,250,0.06871345029239762,0.06871345029239762,0.06871345029239762,0.06871345029239762,,,6.933999999999999,,,7.200389973139187,7.40240250805976,-0.20201253492057258,-0.1477452548598817,-0.0542672800606909,-0.02763509369638476,-0.0074237045226663335,,,,,,,,,,,,,,,-450.0,,,,,,,,0.0,,,2.0,5.0,,,625.53,622.45,-0.003681472589035506,0.013663159951796455,0.07344876349463658,0.16873102198714127,0.07239492288143312,0.05505029034060116,,,,,6.31,6.31,0.0,0.07514208890820973,-0.07514208890820973,6.31,6.31,6.31,7.36,0.16640253565768637,0.04393888164356197,0.1224636540141244,6.31,2.1,-0.6671949286846275,0.09879405561190802,-0.7659889842965355
2016-06-06,6.31,6.31,6.31,6.31,100,-0.13679890560875518,-0.07748538011695916,-0.07748538011695916,-0.07748538011695916,,,6.828,,,7.063406900348543,7.321483803759037,-0.25807690341049394,-0.16981158457000414,-0.0882653188404898,-0.04089966773541901,-0.013988164633992045,,,,,,,,,,,,,,,-550.0,,,,,,,,0.0,,,0.0,6.0,,,621.09,620.05,-0.0029426899080209346,0.009031733116354745,0.02682785459965209,0.11552793694754476,-0.13385621570073425,-0.0865171132333139,,,,,6.31,7.26,0.1505546751188589,0.05070019096117129,0.0998544841576876,6.31,6.31,6.31,6.26,-0.007923930269413626,0.005108211330362877,-0.013032141599776503,6.31,2.95,-0.5324881141045958,0.05870464672183329,-0.5911927608264291
