date,open,high,low,close,volume,return_1d,return_2d,return_3d,return_5d,return_10d,return_20d,sma_5,sma_20,sma_60,ema_12,ema_26,macd,macd_signal,macd_hist,macd_pct,macd_hist_pct,rsi_14,bb_mid_20,bb_std_20,bb_upper_20,bb_lower_20,bb_width_20,bb_position_20,atr_14,atr_pct_14,adx_14,plus_di_14,minus_di_14,stoch_k_14,stoch_d_3,obv,obv_sma_20,volatility_20d,return_skew_20d,return_kurtosis_20d,volume_sma_20,volume_z_20,volume_ratio_20,range_pct,close_vs_sma20,close_vs_sma60,day_of_week,month_of_year,next_return,target_next_up,market_return_1d,market_return_5d,market_return_20d,market_volatility_20d,excess_return_1d,excess_return_5d,excess_return_20d,relative_strength_20d,beta_60d,corr_60d
2011-11-01,1.6,1.6,1.52,1.52,2719290,,,,,,,,,,1.52,1.52,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,0.05263157894736847,,,1.0,11.0,-0.033333333333333326,0.0,-0.019546520719311955,-0.0015441779665106292,-0.019662655169146226,0.1759539400487333,,,,,,
2011-11-02,1.5,1.52,1.45,1.45,1255220,-0.046052631578947456,,,,,,,,,1.5092307692307692,1.5148148148148148,-0.005584045584045683,-0.0011168091168091367,-0.004467236467236546,-0.0038510659200315053,-0.003080852736025204,,,,,,,,,,,,,,,-1255220.0,,,,,,,,0.04827586206896556,,,2.0,11.0,0.006993006993007089,1.0,-0.01457155284906475,-0.003883922028433129,-0.024845760198957345,0.1802012774623789,-0.031481078729882706,,,,,
2011-11-03,1.43,1.45,1.39,1.44,1193910,-0.006896551724137945,-0.052631578947368474,,,,,,,,1.4985798816568046,1.509272976680384,-0.010693095023579513,-0.003032066298163212,-0.007661028725416301,-0.0074257604330413285,-0.005320158837094653,,,,,,,,,,,,,,,-2449130.0,,,,,,,,0.041666666666666706,,,3.0,11.0,-0.020689655172413834,0.0,0.001593957674293156,-0.008881339480708572,-0.021020589151746094,0.18041294041008668,-0.0084905093984311,,,,,
2011-11-04,1.45,1.45,1.42,1.42,483860,-0.01388888888888895,-0.020689655172413834,-0.06578947368421062,,,,,,,1.4864906690942192,1.5026601635929482,-0.016169494498728954,-0.005659551938276361,-0.010509942560452592,-0.011386967956851375,-0.007401368000318727,,,,,,,,,,,,,,,-2932990.0,,,,,,,,0.021126760563380302,,,4.0,11.0,-0.042253521126760396,0.0,0.005214964254235621,-0.010078360458107283,-0.025468787087586042,0.1774801494671762,-0.01910385314312457,,,,,
2011-11-07,1.42,1.42,1.36,1.36,1158750,-0.042253521126760396,-0.05555555555555547,-0.06206896551724128,,,,1.438,,,1.467030566156647,1.4920927440675447,-0.02506217791089771,-0.00954007713280063,-0.015522100778097079,-0.01842807199330714,-0.011413309395659616,,,,,,,,,,,,,,,-4091740.0,,,,,,,,0.0441176470588234,,,0.0,11.0,-0.007518796992481258,0.0,-0.00012178191295031393,-0.027365129007036804,-0.017800746482917074,0.1757270893952936,-0.04213173921381008,,,,,
2011-11-08,1.33,1.34,1.3,1.32,1105490,-0.02941176470588236,-0.07042253521126751,-0.08333333333333326,-0.13157894736842102,,,1.3980000000000001,,,1.4444104790556243,1.4793451333958747,-0.03493465434025045,-0.014618992574290595,-0.020315661765959853,-0.02646564722746246,-0.015390652852999889,,,,,,,,,,,,,,,-5197230.0,,,,,,,,0.030303030303030328,,,1.0,11.0,-0.022900763358778664,0.0,-0.004676995030692632,-0.012614180078294845,-0.02635466806462372,0.1752293198148034,-0.024734769675189727,-0.11896476729012617,,,,
2011-11-09,1.31,1.32,1.28,1.28,740500,-0.030303030303030276,-0.05882352941176472,-0.09859154929577463,-0.11724137931034473,,,1.364,,,1.419116559200913,1.4645788272184026,-0.04546226801748965,-0.020787647662930408,-0.02467462035455924,-0.03551739688866379,-0.019277047151999408,,,,,,,,,,,,,,,-5937730.0,,,,,,,,0.03125000000000003,,,2.0,11.0,0.031746031746031855,1.0,-0.008345570239843392,-0.006375830697172624,-0.030019390515404698,0.1766702419104534,-0.021957460063186884,-0.1108655486131721,,,,
2011-11-10,1.26,1.33,1.26,1.3,1258020,0.015625,-0.015151515151515138,-0.044117647058823595,-0.09722222222222221,,,1.3359999999999999,,,1.4007909347084648,1.4523878029800024,-0.05159686827153753,-0.026949491784651836,-0.024647376486885697,-0.03968989867041348,-0.018959520374527458,,,,,,,,,,,,,,,-4679710.0,,,,,,,,0.05384615384615389,,,3.0,11.0,0.0,0.0,-0.010266788420247308,-0.01814219958867891,-0.024044194592489965,0.17113173590274286,0.025891788420247308,-0.0790800226335433,,,,
2011-11-11,1.32,1.34,1.31,1.32,1024320,0.01538461538461533,0.03125,0.0,-0.07042253521126751,,,1.316,,,1.3883615601379318,1.4425812990555578,-0.05421973891762599,-0.03240354121124667,-0.021816197706379326,-0.041075559786080296,-0.01652742250483282,,,,,,,,,,,,,,,-3655390.0,,,,,,,,0.022727272727272745,,,4.0,11.0,0.0,0.0,-0.011794628830760656,-0.03475655795601229,-0.039482294772049675,0.17393399738069995,0.027179244215375986,-0.03566597725525522,,,,
2011-11-14,1.31,1.32,1.3,1.31,681580,-0.007575757575757569,0.007692307692307665,0.0234375,-0.03676470588235292,,,1.3060000000000003,,,1.376305935501327,1.4327604620884795,-0.056454526587152554,-0.03721373828642784,-0.01924078830072471,-0.04309505846347523,-0.014687624657041763,,,,,,,,,,,,,,,-4336970.0,,,,,,,,0.015267175572519097,,,0.0,11.0,0.0,0.0,-0.011506434519303554,-0.04574685764396369,-0.054886728268474516,0.17527147186373504,0.003930676943545985,0.008982151761610768,,,,
2011-11-15,1.3,1.32,1.3,1.3,333650,-0.007633587786259555,-0.015151515151515138,0.0,-0.015151515151515138,-0.14473684210526316,,1.302,,,1.364566560808815,1.4229263537856291,-0.05835979297681404,-0.04144294922450509,-0.016916843752308952,-0.04489214844370311,-0.013012956732545348,,,,,,,,,,,,,,,-4670620.0,,,,,,,,0.015384615384615398,,,1.0,11.0,0.007692307692307665,1.0,-0.009879001378465313,-0.050734214390602106,-0.05590984324797965,0.17580290908192603,0.0022454135922057583,0.03558269923908697,,,,
