date,open,high,low,close,volume,return_1d,return_2d,return_3d,return_5d,return_10d,return_20d,sma_5,sma_20,sma_60,ema_12,ema_26,macd,macd_signal,macd_hist,macd_pct,macd_hist_pct,rsi_14,bb_mid_20,bb_std_20,bb_upper_20,bb_lower_20,bb_width_20,bb_position_20,atr_14,atr_pct_14,adx_14,plus_di_14,minus_di_14,stoch_k_14,stoch_d_3,obv,obv_sma_20,volatility_20d,return_skew_20d,return_kurtosis_20d,volume_sma_20,volume_z_20,volume_ratio_20,range_pct,close_vs_sma20,close_vs_sma60,day_of_week,month_of_year,next_return,target_next_up,market_return_1d,market_return_5d,market_return_20d,market_volatility_20d,excess_return_1d,excess_return_5d,excess_return_20d,relative_strength_20d,beta_60d,corr_60d,news_count_lookback,news_sentiment_mean_lookback,news_positive_count_lookback,news_negative_count_lookback,news_earnings_count_lookback,news_corporate_action_count_lookback,news_legal_count_lookback,news_source_count_lookback
2016-12-28,23.71,23.71,23.71,23.71,7232660,,,,,,,,,,23.71,23.71,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,2.0,12.0,-0.006276150627614996,0.0,-0.000542283011478295,-0.0051578852670406405,-0.002360653765769105,0.12946471876004367,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-29,23.9,24.34,22.88,23.75,3217540,0.001687051876845258,,,,,,,,,23.716153846153848,23.712962962962962,0.003190883190885785,0.000638176638177157,0.002552706552708628,0.00013435297645834885,0.00010748238116667908,,,,,,,,,,,,,,,3217540.0,,,,,,,,0.061473684210526354,,,3.0,12.0,0.001687051876845258,1.0,0.0018387339864356367,0.0008582398554544124,-0.0027305187985716683,0.12938398227072614,-0.00015168210959037864,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-30,23.71,23.75,23.07,23.75,2391160,0.0,0.001687051876845258,,,,,,,,23.721360946745563,23.715706447187927,0.0056544995576359725,0.00164144122206892,0.004013058335567052,0.000238084191900462,0.0001689708772870338,,,,,,,,,,,,,,,3217540.0,,,,,,,,0.02863157894736841,,,4.0,12.0,-0.016870518768452247,0.0,0.00022565892405812527,0.000752592681788844,-0.000405929578735309,0.1291715011065613,-0.00022565892405812527,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-03,23.71,23.71,23.31,23.31,520260,-0.018526315789473724,-0.018526315789473724,-0.016870518768452247,,,,,,,23.658074647246245,23.6856541177666,-0.027579470520354477,-0.004202741126415759,-0.023376729393938717,-0.0011831604684836756,-0.0010028626938626648,,,,,,,,,,,,,,,2697280.0,,,,,,,,0.017160017160017253,,,1.0,1.0,0.0068640068640069,1.0,0.010738941447200112,0.014431277832289036,0.017873100983020418,0.13138626040443174,-0.029265257236673836,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-04,23.31,23.51,23.31,23.47,1056370,0.0068640068640069,-0.011789473684210572,-0.011789473684210572,,,,23.598,,,23.62914008613144,23.669679738672777,-0.04053965254133729,-0.011470123409400066,-0.029069529131937222,-0.0017272966570659263,-0.0012385824086892723,,,,,,,,,,,,,,,3753650.0,,,,,,,,0.00852151682999586,,,2.0,1.0,-0.0034144259496371454,0.0,0.004002916623264685,0.016328744012291896,0.03562602649311586,0.12060372978212192,0.0028610902407422145,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-05,23.43,23.47,23.31,23.35,637040,-0.005112910097997303,0.001716001716001836,-0.01684210526315788,-0.015183466891606878,,,23.526000000000003,,,23.586195457495833,23.64599975803035,-0.05980430053451613,-0.02113695883442328,-0.03866734170009285,-0.0025612120143261724,-0.0016559889379054755,,,,,,,,,,,,,,,3116610.0,,,,,,,,0.006852248394004288,,,3.0,1.0,0.00343200343200345,1.0,0.0016451756336148815,0.018553127354935972,0.0340917784952488,0.12049808519227911,-0.0067580857316121845,-0.03373659424654285,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-06,23.31,23.39,23.23,23.39,787010,0.0017130620985010836,-0.003408606731998276,0.00343200343200345,-0.015157894736842037,,,23.454,,,23.556011540958014,23.627036812991065,-0.07102527203305087,-0.0311146214741488,-0.03991065055890207,-0.0030365657132557016,-0.0017063125506157361,,,,,,,,,,,,,,,3903620.0,,,,,,,,0.00684053014108594,,,4.0,1.0,0.003426124197002167,1.0,0.005904026279575536,0.02268624383198925,0.031735191003050556,0.11912327059995634,-0.0041909641810744525,-0.03784413856883129,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-09,23.35,23.43,23.19,23.43,1110630,0.0017101325352715246,0.003426124197002167,-0.001704303365999138,-0.013473684210526304,,,23.39,,,23.536625150041395,23.612441493510246,-0.07581634346885124,-0.04005496587308929,-0.03576137759576195,-0.003235866131833173,-0.0015263071957218077,,,,,,,,,,,,,,,5014250.0,,,,,,,,0.010243277848911585,,,0.0,1.0,-0.0034202650705430493,0.0,0.0040747278611357185,0.026621745604404,0.029408659719184937,0.118190833406798,-0.002364595325864194,-0.040095429814930306,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-10,23.39,23.39,23.27,23.31,802560,-0.005121638924455829,-0.0034202650705430493,-0.0017130620985011946,0.0,,,23.39,,,23.50175974234272,23.590038419916894,-0.08827867757417351,-0.04969970821330614,-0.038578969360867375,-0.0037871590550910992,-0.0016550394406206512,,,,,,,,,,,,,,,4211690.0,,,,,,,,0.005148005148005191,,,1.0,1.0,0.003437902879243726,1.0,-0.002197576805309298,0.013481942233002586,0.032393512202516295,0.11649896994277728,-0.002924062119146531,-0.013481942233002586,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-11,23.27,23.35,23.19,23.35,1077670,0.001716001716001836,-0.0034144259496371454,-0.0017101325352714136,-0.005112910097997303,,,23.366000000000003,,,23.47841208967461,23.572257796219347,-0.09384570654473734,-0.05852890787959238,-0.035316798665144956,-0.004019088074721085,-0.0015124967308413257,,,,,,,,,,,,,,,5289360.0,,,,,,,,0.006852248394004288,,,2.0,1.0,-0.003432003432003339,0.0,0.008941812148530959,0.018467467022380113,0.04964409006201698,0.11385553233025214,-0.007225810432529123,-0.023580377120377416,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
