date,open,high,low,close,volume,return_1d,return_2d,return_3d,return_5d,return_10d,return_20d,sma_5,sma_20,sma_60,ema_12,ema_26,macd,macd_signal,macd_hist,macd_pct,macd_hist_pct,rsi_14,bb_mid_20,bb_std_20,bb_upper_20,bb_lower_20,bb_width_20,bb_position_20,atr_14,atr_pct_14,adx_14,plus_di_14,minus_di_14,stoch_k_14,stoch_d_3,obv,obv_sma_20,volatility_20d,return_skew_20d,return_kurtosis_20d,volume_sma_20,volume_z_20,volume_ratio_20,range_pct,close_vs_sma20,close_vs_sma60,day_of_week,month_of_year,next_return,target_next_up,market_return_1d,market_return_5d,market_return_20d,market_volatility_20d,excess_return_1d,excess_return_5d,excess_return_20d,relative_strength_20d,beta_60d,corr_60d
2014-01-24,8.05,8.26,7.83,7.96,8417060,,,,,,,,,,7.96,7.96,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,0.054020100502512526,,,4.0,1.0,-0.016414141414141437,0.0,0.011995303043988992,0.03053772144447109,0.10589280426413983,0.13190075287512354,,,,,,
2014-01-27,7.92,7.96,7.67,7.79,3240910,-0.021356783919597944,,,,,,,,,7.9338461538461535,7.9474074074074075,-0.013561253561253928,-0.0027122507122507855,-0.010849002849003142,-0.0017408541156937005,-0.0013926832925549605,,,,,,,,,,,,,,,-3240910.0,,,,,,,,0.037227214377406934,,,0.0,1.0,-0.03372243839169908,0.0,-0.006551348649565414,0.005147470514927699,0.09895144250705945,0.13705909116885462,-0.01480543527003253,,,,,
2014-02-06,7.71,7.75,7.45,7.45,959590,-0.04364569961489084,-0.06407035175879394,,,,,,,,7.859408284023669,7.910562414266118,-0.05115413024244919,-0.012400626618290467,-0.038753503624158726,-0.00686632620704016,-0.005201812567001171,,,,,,,,,,,,,,,-4200500.0,,,,,,,,0.0402684563758389,,,3.0,2.0,-0.046132971506105847,0.0,-0.003306260332063604,-0.00934078691218232,0.10858399120615547,0.12604235640900632,-0.04033943928282724,,,,,
2014-02-07,7.37,7.41,6.99,7.03,2987600,-0.05637583892617448,-0.09756097560975607,-0.11683417085427128,,,,,,,7.731807009558489,7.845335568764924,-0.11352855920643545,-0.032626213135919464,-0.080902346070516,-0.016149154936904046,-0.011508157335777524,,,,,,,,,,,,,,,-7188100.0,,,,,,,,0.05974395448079657,,,4.0,2.0,0.030042918454935563,1.0,-0.008869979087041124,-0.003913610668212719,0.08943186096744138,0.13476105872192856,-0.04750585983913336,,,,,
2014-02-10,6.99,7.28,6.86,7.2,4052090,0.024182076813655806,-0.03355704697986572,-0.07573812580231065,,,,7.486,,,7.649990546549491,7.797532934041596,-0.14754238749210558,-0.05560944800715669,-0.09193293948494888,-0.02049199826279244,-0.01276846381735401,,,,,,,,,,,,,,,-3136010.0,,,,,,,,0.05833333333333332,,,0.0,2.0,-0.016483516483516536,0.0,0.011168509895226997,0.004245325625508167,0.10186121186894215,0.13571644524033724,0.01301356691842881,,,,,
2014-02-11,7.28,7.28,7.16,7.16,1938480,-0.005555555555555536,0.01849217638691325,-0.03892617449664426,-0.10050251256281406,,,7.3260000000000005,,,7.574607385541877,7.750308272260737,-0.17570088671886008,-0.07962773574949737,-0.09607315096936271,-0.02453922998866761,-0.01341803784488306,,,,,,,,,,,,,,,-5074490.0,,,,,,,,0.016759776536312863,,,1.0,2.0,0.0,0.0,-0.0035977693829825075,-0.011228333244078015,0.09602865227457102,0.13864395982869743,-0.0019577861725730283,-0.08927417931873605,,,,
2014-02-12,7.11,7.16,7.07,7.11,1176180,-0.006983240223463638,-0.012499999999999956,0.011379800853485111,-0.08729139922978169,,,7.19,,,7.503129326227742,7.702878029871052,-0.19974870364331032,-0.10365192932825996,-0.09609677431505036,-0.02809405114533197,-0.013515720719416365,,,,,,,,,,,,,,,-6250670.0,,,,,,,,0.012658227848101245,,,2.0,2.0,-0.011251758087201136,0.0,0.01868568333634224,0.013889887155897451,0.10832842270673737,0.14716296325735131,-0.02566892355980588,-0.10118128638567914,,,,
2014-02-13,7.11,7.16,7.03,7.03,2156140,-0.011251758087201136,-0.018156424581005526,-0.023611111111111138,-0.05637583892617448,,,7.106,,,7.430340199115782,7.653035212843567,-0.222695013727785,-0.12746054620816497,-0.09523446751962003,-0.03167781134107894,-0.013546865934512094,,,,,,,,,,,,,,,-8406810.0,,,,,,,,0.018492176386913212,,,3.0,2.0,0.0,0.0,0.01050952591936194,0.027944039806735432,0.11773700305810397,0.14781108230201245,-0.021761284006563075,-0.08431987873290991,,,,
2014-02-14,7.11,7.2,7.03,7.11,1489380,0.011379800853485111,0.0,-0.006983240223463638,0.011379800853485111,,,7.122,,,7.381057091559508,7.612810382262562,-0.23175329070305395,-0.14831909510714278,-0.08343419559591117,-0.032595399536294506,-0.011734767313067674,,,,,,,,,,,,,,,-6917430.0,,,,,,,,0.02390998593530238,,,4.0,2.0,-0.012569832402234637,0.0,0.003577817531306149,0.040854190919674016,0.11348511383537674,0.14782213955183698,0.0078019833221789625,-0.029474390066188905,,,,
2014-02-17,7.16,7.16,7.03,7.07,1173560,-0.005625879043600568,0.005689900426742556,-0.005625879043600568,-0.01805555555555549,,,7.096000000000001,,,7.333202154396506,7.572602205798669,-0.23940005140216236,-0.1665352863661467,-0.07286476503601566,-0.0338613934090753,-0.010306190245546768,,,,,,,,,,,,,,,-8090990.0,,,,,,,,0.01838755304101837,,,0.0,2.0,-0.005657708628005631,0.0,-0.003530110796546748,0.025724051088325428,0.10294402104530165,0.15116848607151775,-0.0020957682470538197,-0.04377960664388092,,,,
