date,p10,p25,p50,p75,p90,prob_end_above_latest,latest_close
2026-08-10,66.06148362598792,66.73013122570133,67.41266287127095,68.06151967030826,68.8743496182589,0.5323,67.4
2026-08-11,65.2316714418941,66.44120105368413,67.42532812159692,68.47048626682297,69.53197669691252,0.5035,67.4
2026-08-12,64.69103512926978,66.14961314220943,67.34589108748611,68.60982784451902,69.94483069150803,0.4935,67.4
2026-08-13,64.42867362329174,65.82565950621125,67.27819361227755,68.85198236824371,69.9760817763382,0.4602,67.4
2026-08-14,64.20259369835453,65.61790862377804,67.26669060510233,68.91194421042863,70.59127476773999,0.47995,67.4
2026-08-17,63.8366592777977,65.42396186522922,67.3044684769778,69.15301589083235,70.96790074482924,0.4853,67.4
2026-08-18,63.421763866778996,65.22994473323612,67.3151224914425,69.39070168867968,71.41829963337493,0.48825,67.4
2026-08-19,63.13142092028927,65.07914399602603,67.25623825568996,69.49331783343794,71.71054128951161,0.48365,67.4
2026-08-20,62.91741363196753,64.95592951342618,67.21802627005098,69.56913397710386,71.91980938886736,0.4811,67.4
2026-08-21,62.691842878392016,64.80648969062011,67.18053742071379,69.64644025992733,72.21830488404886,0.47575,67.4
2026-08-24,62.428775126134404,64.67047509382384,67.18388660789351,69.81061675101883,72.50158882096859,0.477,67.4
2026-08-25,62.103402720601025,64.4906970261189,67.1418139587035,70.01484483326969,72.81247609793441,0.4762,67.4
2026-08-26,61.86339633288734,64.36706878414384,67.1382156397989,70.11198852034842,73.04581124229759,0.47545,67.4
2026-08-27,61.69359659562501,64.2621303863733,67.0993576856425,70.16345088116869,73.16504562358897,0.47235,67.4
2026-08-28,61.51748739323451,64.13675069680112,67.06731871982694,70.20937789123735,73.36643643217725,0.47095,67.4
2026-08-31,61.30894206864477,64.00354367728316,67.03137732787611,70.3266050849372,73.61565956789522,0.4683,67.4
2026-09-01,61.143664173844854,63.86637158638045,67.04456538662976,70.49680656736291,73.84761403519015,0.47115,67.4
2026-09-02,60.913644662427004,63.74088659516222,66.97459529304685,70.57190390635346,74.0245420508772,0.4647,67.4
2026-09-03,60.796862376821004,63.67553688991438,66.96272054529625,70.5822499257218,74.17395512372963,0.46515,67.4
2026-09-04,60.6809853571102,63.51274742112537,66.90121375073727,70.61801666494986,74.32938445265661,0.4636,67.4
