date,p10,p25,p50,p75,p90,prob_end_above_latest,latest_close
2026-07-24,126.44188062563647,129.4440004273061,131.73516125804755,134.23179047153067,139.41963025743368,0.46655,132.0
2026-07-27,123.68610572220756,128.34804937605122,131.4705932175162,136.1942397747361,140.62413403821094,0.4632,132.0
2026-07-28,121.99203039972214,126.90701636109198,131.29446242828377,136.52514786117274,141.76767044664092,0.45565,132.0
2026-07-29,120.21015831087301,125.47949123210209,130.94374823949062,137.64547562686488,145.18580881292453,0.47225,132.0
2026-07-30,118.46057854352024,124.98837917389288,131.2493988356276,137.94817037606504,147.8550280178904,0.4622,132.0
2026-07-31,117.04850886364814,123.87993856316885,131.219822301561,139.03287178316032,148.17950464475126,0.47195,132.0
2026-08-03,116.08915970671661,123.12481571258819,131.00648075459293,140.1905062811753,149.8124262884766,0.46965,132.0
2026-08-04,114.9510900802884,122.4658625499857,130.91240601138287,140.80032405465172,151.32715112498113,0.4659,132.0
2026-08-05,113.92030800524185,121.64639606597397,130.81128564010925,141.433720002525,152.56332373608853,0.4653,132.0
2026-08-06,112.9453403728676,120.85177154851166,130.76245399077095,141.84951301808198,154.0310579776808,0.46585,132.0
2026-08-07,112.17947193184072,120.36561241044036,130.71853644274364,142.35836899296217,154.695640482327,0.46755,132.0
2026-08-10,111.44688616938986,119.96796837225442,130.74717428199588,142.80534650769025,155.54179505215808,0.46905,132.0
2026-08-11,110.75246109061287,119.61636894301536,130.5766268650841,143.40789578986508,156.78228344445427,0.46925,132.0
2026-08-12,109.87756660687343,119.13850565900586,130.4445308035987,143.80816534530794,157.85745905873216,0.46475,132.0
2026-08-13,108.93552103398322,118.6347978220544,130.55108091736957,144.36463566276177,159.18917536441546,0.46775,132.0
2026-08-14,108.0503282958062,118.24758600043451,130.46739780066454,144.77890938872468,159.68041648636083,0.4701,132.0
2026-08-17,107.49260515453882,117.68042457542765,130.4715899427312,145.26308802361132,160.53166039620356,0.4705,132.0
2026-08-18,106.88365944314148,117.26986956732031,130.32977456361948,145.61803589823612,161.10613527091866,0.46705,132.0
2026-08-19,105.8859905166192,116.75845219181888,130.21095764200606,146.14062274653668,162.48034841058646,0.4683,132.0
2026-08-20,105.20472970207271,116.36378773311179,130.13460745333214,146.55653183569507,163.2230936219869,0.46615,132.0
