date,open,high,low,close,volume,return_1d,return_2d,return_3d,return_5d,return_10d,return_20d,sma_5,sma_20,sma_60,ema_12,ema_26,macd,macd_signal,macd_hist,macd_pct,macd_hist_pct,rsi_14,bb_mid_20,bb_std_20,bb_upper_20,bb_lower_20,bb_width_20,bb_position_20,atr_14,atr_pct_14,adx_14,plus_di_14,minus_di_14,stoch_k_14,stoch_d_3,obv,obv_sma_20,volatility_20d,return_skew_20d,return_kurtosis_20d,volume_sma_20,volume_z_20,volume_ratio_20,range_pct,close_vs_sma20,close_vs_sma60,day_of_week,month_of_year,next_return,target_next_up
2011-11-10,16.83,16.83,16.83,16.83,5000,,,,,,,,,,16.83,16.83,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,3.0,11.0,,
2011-11-22,17.95,17.95,17.95,17.95,5000,0.06654783125371377,,,,,,,,,17.002307692307692,16.91296296296296,0.08934472934473092,0.017868945868946187,0.07147578347578473,0.004977422247617322,0.003981937798093857,,,,,,,,,,,,,,,5000.0,,,,,,,,0.0,,,1.0,11.0,,
2011-11-24,19.07,19.07,19.07,19.07,2500,0.062395543175487456,0.13309566250742733,,,,,,,,17.320414201183432,17.072743484224965,0.2476707169584671,0.06382930008685038,0.1838414168716167,0.012987452383768595,0.009640346978060656,,,,,,,,,,,,,,,7500.0,,,,,,,,0.0,,,3.0,11.0,,
2011-11-28,20.75,20.75,20.75,20.75,5000,0.0880964866282119,0.15598885793871875,0.23291740938799776,,,,,,,17.84804278561675,17.345132855763858,0.5029099298528941,0.15164542604005912,0.3512645038128349,0.024236623125440677,0.0169284098223053,,,,,,,,,,,,,,,12500.0,,,,,,,,0.0,,,0.0,11.0,,
2011-11-30,22.44,22.44,22.44,22.44,3000,0.08144578313253015,0.17671735710540126,0.2501392757660168,,,,19.407999999999998,,,18.554497741675714,17.722530422003572,0.8319673196721418,0.2877098047664757,0.5442575149056661,0.03707519249875854,0.02425389995123289,,,,,,,,,,,,,,,15500.0,,,,,,,,0.0,,,2.0,11.0,0.0,0.0
2011-12-01,24.12,24.12,24.12,24.12,5000,0.07486631016042788,0.16240963855421686,0.26481384373361294,0.4331550802139039,,,20.866,,,19.41072885834099,18.196417057410716,1.2143118009302718,0.4730302039992349,0.7412815969310369,0.050344602028618235,0.030733067866129223,,,,,,,,,,,,,,,20500.0,,,,,,,,0.0,,,3.0,12.0,,
2011-12-05,25.8,25.8,25.8,25.8,5000,0.06965174129353224,0.14973262032085555,0.24337349397590358,0.43732590529247917,,,22.436,,,20.393693649365453,18.75964542352844,1.634048225837013,0.7052338083667906,0.9288144174702224,0.0633352025518222,0.036000558816675285,,,,,,,,,,,,,,,25500.0,,,,,,,,0.0,,,0.0,12.0,,
2011-12-08,26.92,26.92,26.92,26.92,2000,0.04341085271317824,0.11608623548922048,0.19964349376114088,0.4116413214472996,,,24.006,,,21.397740780232308,19.364116132896704,2.0336246473356034,0.9709119761605532,1.06271267117505,0.0755432632739823,0.039476696551822066,,,,,,,,,,,,,,,27500.0,,,,,,,,0.0,,,3.0,12.0,,
2011-12-21,27.49,27.49,27.49,27.49,3000,0.02117384843982162,0.0655038759689921,0.13971807628524036,0.3248192771084337,,,25.354000000000003,,,22.335011429427336,19.966033456385837,2.368977973041499,1.2505251755367426,1.1184527975047565,0.08617599028888684,0.04068580565677543,,,,,,,,,,,,,,,30500.0,,,,,,,,0.0,,,2.0,12.0,,
2012-05-17,28.61,28.61,28.61,28.61,3000,0.040742088032011736,0.06277860326894502,0.10891472868217056,0.27495543672014255,,,26.588,,,23.300394286438515,20.60632727443133,2.694067012007185,1.5392335428308312,1.1548334691763538,0.09416522237005191,0.04036467910438147,,,,,,,,,,,,,,,33500.0,,,,,,,,0.0,,,3.0,5.0,,
