date,open,high,low,close,volume,return_1d,return_2d,return_3d,return_5d,return_10d,return_20d,sma_5,sma_20,sma_60,ema_12,ema_26,macd,macd_signal,macd_hist,macd_pct,macd_hist_pct,rsi_14,bb_mid_20,bb_std_20,bb_upper_20,bb_lower_20,bb_width_20,bb_position_20,atr_14,atr_pct_14,adx_14,plus_di_14,minus_di_14,stoch_k_14,stoch_d_3,obv,obv_sma_20,volatility_20d,return_skew_20d,return_kurtosis_20d,volume_sma_20,volume_z_20,volume_ratio_20,range_pct,close_vs_sma20,close_vs_sma60,day_of_week,month_of_year,next_return,target_next_up,market_open,market_close,market_return_1d,market_return_5d,market_return_20d,market_volatility_20d,excess_return_1d,excess_return_5d,excess_return_20d,relative_strength_20d,beta_60d,corr_60d,target_entry_open_5d,target_exit_close_5d,target_return_5d,target_market_return_5d,target_excess_return_5d,swing_execution_open,swing_execution_close
2011-11-01,1.33,1.33,1.27,1.27,2719290,,,,,,,,,,1.27,1.27,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,0.04724409448818902,,,1.0,11.0,-0.03200000000000003,0.0,418.77,413.82,-0.019546520719311955,-0.0015441779665106292,-0.019662655169146226,0.1759539400487333,,,,,,,1.25,1.1,-0.11999999999999988,-0.0034632456953318513,-0.11653675430466803,1.25,1.21
2011-11-02,1.25,1.27,1.21,1.21,1255220,-0.047244094488189003,,,,,,,,,1.2607692307692309,1.2655555555555555,-0.0047863247863246805,-0.0009572649572649361,-0.0038290598290597446,-0.0039556403192765955,-0.0031645122554212765,,,,,,,,,,,,,,,-1255220.0,,,,,,,,0.049586776859504175,,,2.0,11.0,0.008403361344537785,1.0,410.02,407.79,-0.01457155284906475,-0.003883922028433129,-0.024845760198957345,0.1802012774623789,-0.03267254163912425,,,,,,1.19,1.06,-0.10924369747899154,-0.007325199666813664,-0.10191849781217788,1.19,1.2
2011-11-03,1.19,1.21,1.16,1.2,1193910,-0.008264462809917328,-0.055118110236220486,,,,,,,,1.2514201183431954,1.2606995884773662,-0.009279470134170742,-0.0026217059926460975,-0.0066577641415246445,-0.007732891778475619,-0.005548136784603871,,,,,,,,,,,,,,,-2449130.0,,,,,,,,0.041666666666666706,,,3.0,11.0,-0.024793388429752095,0.0,408.18,408.44,0.001593957674293156,-0.008881339480708572,-0.021020589151746094,0.18041294041008668,-0.009858420484210484,,,,,,1.21,1.08,-0.10743801652892548,-0.024779923155488714,-0.08265809337343677,1.21,1.18
2011-11-04,1.21,1.21,1.18,1.18,483860,-0.01666666666666672,-0.024793388429752095,-0.07086614173228356,,,,,,,1.2404324078288578,1.2547218411827465,-0.01428943335388877,-0.004955251464894632,-0.009334181888994137,-0.012109689282956585,-0.007910323634740795,,,,,,,,,,,,,,,-2932990.0,,,,,,,,0.025423728813559344,,,4.0,11.0,-0.0423728813559322,0.0,411.22,410.57,0.005214964254235621,-0.010078360458107283,-0.025468787087586042,0.1774801494671762,-0.02188163092090234,,,,,,1.18,1.1,-0.06779661016949146,-0.032895700131777894,-0.03490091003771356,1.18,1.13
2011-11-07,1.18,1.18,1.13,1.13,1158750,-0.0423728813559322,-0.05833333333333335,-0.06611570247933896,,,,1.198,,,1.223442806624418,1.2454831862803208,-0.022040379655902775,-0.008372277103096262,-0.013668102552806514,-0.019504760757436086,-0.012095665975934968,,,,,,,,,,,,,,,-4091740.0,,,,,,,,0.04424778761061951,,,0.0,11.0,-0.009009009009009028,0.0,409.78,410.52,-0.00012178191295031393,-0.027365129007036804,-0.017800746482917074,0.1757270893952936,-0.04225109944298189,,,,,,1.11,1.09,-0.018018018018018056,-0.04069938289744346,0.022681364879425403,1.11,1.1
2011-11-08,1.11,1.12,1.08,1.1,1105490,-0.0265486725663715,-0.06779661016949146,-0.08333333333333326,-0.13385826771653542,,,1.1640000000000001,,,1.2044516056052768,1.23470665396326,-0.030255048357983316,-0.012748831354073674,-0.01750621700390964,-0.027504589416348466,-0.015914742730826947,,,,,,,,,,,,,,,-5197230.0,,,,,,,,0.03636363636363639,,,1.0,11.0,-0.02752293577981657,0.0,408.36,408.6,-0.004676995030692632,-0.012614180078294845,-0.02635466806462372,0.1752293198148034,-0.02187167753567887,-0.12124408763824057,,,,,1.09,1.08,-0.00917431192660556,-0.052102935066839384,0.042928623140233824,1.09,1.06
2011-11-09,1.09,1.1,1.06,1.06,740500,-0.036363636363636376,-0.06194690265486713,-0.10169491525423724,-0.12396694214876025,,,1.134,,,1.1822282816660035,1.221765420336352,-0.03953713867034847,-0.018106492817328634,-0.021430645853019837,-0.03729918742485704,-0.020217590427377204,,,,,,,,,,,,,,,-5937730.0,,,,,,,,0.03773584905660381,,,2.0,11.0,0.028571428571428692,1.0,409.19,405.19,-0.008345570239843392,-0.006375830697172624,-0.030019390515404698,0.1766702419104534,-0.028018066123792984,-0.11759111145158763,,,,,1.05,1.09,0.03809523809523818,-0.028772330856958406,0.06686756895219659,1.05,1.08
2011-11-10,1.05,1.11,1.05,1.08,1258020,0.018867924528301883,-0.018181818181818188,-0.044247787610619316,-0.09999999999999987,,,1.11,,,1.1665008537173875,1.2112642780892147,-0.04476342437182712,-0.023437879128228332,-0.02132554524359879,-0.041447615159099185,-0.019745875225554432,,,,,,,,,,,,,,,-4679710.0,,,,,,,,0.0555555555555556,,,3.0,11.0,0.0,0.0,402.47,401.03,-0.010266788420247308,-0.01814219958867891,-0.024044194592489965,0.17113173590274286,0.02913471294854919,-0.08185780041132096,,,,,1.1,1.09,-0.00909090909090915,-0.034553506642980514,0.025462597552071364,1.1,1.1
2011-11-11,1.1,1.12,1.09,1.1,1024320,0.0185185185185186,0.037735849056603765,0.0,-0.06779661016949146,,,1.094,,,1.1562699531454819,1.2030224797122357,-0.04675252656675388,-0.028100808615933445,-0.018651717950820438,-0.04250229687886716,-0.016956107228018578,,,,,,,,,,,,,,,-3655390.0,,,,,,,,0.027272727272727296,,,4.0,11.0,0.0,0.0,399.67,396.3,-0.011794628830760656,-0.03475655795601229,-0.039482294772049675,0.17393399738069995,0.030313147349279257,-0.033040052213479165,,,,,1.09,1.1,0.00917431192660545,-0.045029180921714596,0.054203492848320045,1.09,1.09
2011-11-14,1.09,1.1,1.08,1.09,681580,-0.00909090909090915,0.0092592592592593,0.028301886792452935,-0.03539823008849541,,,1.0859999999999999,,,1.1460745757384847,1.1946504441779962,-0.04857586843951145,-0.03219582058064905,-0.0163800478588624,-0.044565016916982975,-0.015027566842993025,,,,,,,,,,,,,,,-4336970.0,,,,,,,,0.018348623853211024,,,0.0,11.0,0.0,0.0,397.52,391.74,-0.011506434519303554,-0.04574685764396369,-0.054886728268474516,0.17527147186373504,0.002415525428394405,0.010348627555468282,,,,,1.08,1.14,0.05555555555555536,-0.031892347368689844,0.0874479029242452,1.08,1.08
