item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,727952113748.0,721447134835.0,821966053409.0,858189674727.0,1120229215140.0,1129467661103.0,1217747906494.0,1087744881261.0,1093310861636.0,1237396953990.0,1667618605931.0,1331476779408.0,1664915669353.0,1133587752066.0,1451193450106.0,1476232827943.0,1610941721408.0,1508506620104.0,1441239874238.0,1394573319792.0,1663336160885.0,1704990695049.0,1913464665248.0,1826658603041.0,1933563222511.0,1977351646901.0,2067068859576.0,1941350167506.0,2129450579237.0,2233678525684.0,2293807926960.0,2164764838947.0,2401745167835.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-3994010158.0,-215093384.0,-792410577.0,-3258945508.0,-14629840.0,-245003742.0,-3232503343.0,-37468319.0,-546639964.0,-1164008955.0,-4511037611.0,-471077514.0,-357822896.0,0.0,-3017364303.0,-2856000.0,-445412059.0,-279951774.0,-1704511779.0,-444032153.0,-223758367.0,-268229639.0,-2003184119.0,-424183064.0,-282108489.0,-368953278.0,-2410162831.0,-181216075.0,0.0,0.0,-1879961037.0,24353267.0,-28176.0
Doanh thu thuần,Net sales,net_sales,723958103590.0,721232041451.0,821173642832.0,854930729219.0,1120214585300.0,1129222657361.0,1214515403151.0,1087707412942.0,1092764221672.0,1236232945035.0,1663107568320.0,1331005701894.0,1664557846457.0,1133587752066.0,1448176085803.0,1476229971943.0,1610496309349.0,1508226668330.0,1439535362459.0,1394129287639.0,1663112402518.0,1704722465410.0,1911461481129.0,1826234419977.0,1933281114022.0,1976982693623.0,2064658696745.0,1941168951431.0,2129450579237.0,2233678525684.0,2291927965923.0,2164789192214.0,2401745139659.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-639869091876.0,-640395282433.0,-701909039634.0,-764223806121.0,-978853266297.0,-992228718471.0,-1124066766874.0,-963496411628.0,-964017240084.0,-1090265060146.0,-1361522855548.0,-1167920295002.0,-1337447687933.0,-977723509544.0,-1320236924876.0,-1237143929368.0,-1401063407284.0,-1326210838327.0,-1168452079796.0,-1160755879867.0,-1475923907802.0,-1487336896579.0,-1619581398035.0,-1553755381170.0,-1689370942674.0,-1681047998896.0,-1781838287740.0,-1620956747674.0,-1838637542617.0,-1867246503125.0,-1925949865666.0,-1807762359248.0,-2038152119765.0
Lợi nhuận gộp,Gross Profit,gross_profit,84089011714.0,80836759018.0,119264603198.0,90706923098.0,141361319003.0,136993938890.0,90448636277.0,124211001314.0,128746981588.0,145967884889.0,301584712772.0,163085406892.0,327110158524.0,155864242522.0,127939160927.0,239086042575.0,209432902065.0,182015830003.0,271083282663.0,233373407772.0,187188494716.0,217385568831.0,291880083094.0,272479038807.0,243910171348.0,295934694727.0,282820409005.0,320212203757.0,290813036620.0,366432022559.0,365978100257.0,357026832966.0,363593019894.0
Doanh thu hoạt động tài chính,Financial income,financial_income,16757125144.0,33295809957.0,19568476730.0,21279231412.0,64767942969.0,119371249625.0,76745612785.0,93269573668.0,144940794203.0,164642431749.0,235319719165.0,90945557376.0,118177776195.0,82570116773.0,72697952350.0,72637952379.0,125169599882.0,86863732140.0,105539734013.0,96831857481.0,149582490545.0,53244525784.0,129649283329.0,65108800482.0,191450059105.0,135374074741.0,229998837520.0,233462001736.0,211993939816.0,173722438786.0,183354667995.0,194709132004.0,208598036056.0
Chi phí tài chính,Financial expenses,financial_expenses,-3993600592.0,-9974127323.0,-74491005966.0,-5876923627.0,21962552766.0,-939476026.0,-21430586091.0,-121825826307.0,126592091969.0,689264648.0,-6177580531.0,-2849019420.0,-7425609272.0,-3271751202.0,-2993485076.0,-18865632238.0,7516639668.0,-12528175477.0,-6955542891.0,-101994478491.0,50857145465.0,-20204174392.0,-12797832503.0,-16480474163.0,-18278340319.0,-40249654091.0,-41453219438.0,-43500175683.0,-63392258126.0,-45393075715.0,-67758448632.0,-68905674205.0,-81113832139.0
Chi phí lãi vay,Interest expenses,interest_expenses,-2461956746.0,-5349335349.0,-2207019127.0,-3448809455.0,2001527190.0,-1702299905.0,-1047065652.0,-5455780159.0,-3699765463.0,-3276978980.0,-1446525039.0,-2519867772.0,-811099297.0,-2240913557.0,-2874955376.0,-4053746190.0,-7040352286.0,-8170637836.0,-8552288199.0,-12932933348.0,-17458108227.0,-11007248145.0,-16174326631.0,-15795844846.0,-16034901984.0,-19916756705.0,-25091367431.0,-32254516856.0,-39088838095.0,-45635199520.0,-44693218542.0,-55229109971.0,-69712200853.0
Chi phí bán hàng,Selling expenses,selling_expenses,-1579692480.0,-5646780513.0,-3493791295.0,-2756704461.0,-4971109047.0,-6832455891.0,-976543563.0,-4748011308.0,-1744569151.0,-3772940692.0,-8643252404.0,-6124720547.0,-2761902042.0,-1396489527.0,-1610228495.0,-5496206764.0,-3798737491.0,-3519071942.0,-2341135459.0,-5147386821.0,-3394332973.0,-3502706897.0,-841105529.0,-6290290006.0,-2841642826.0,-3690481663.0,-8824117125.0,-3403348580.0,-6834913232.0,-36993620831.0,-28427530443.0,-20887088223.0,-9787820455.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-23676912808.0,-18380915082.0,-17367756866.0,-16286827519.0,-46642473004.0,-4530647406.0,-20861822572.0,-18000225442.0,48485095396.0,-19033401211.0,-22661091775.0,-18430624577.0,-19528551867.0,-22979611153.0,-25969969934.0,-19578958315.0,-22897958867.0,-22832025266.0,-27293054558.0,-20391992155.0,-22867621498.0,-20544195469.0,-33592082860.0,-18909776454.0,-24537662571.0,-20307544145.0,-24765652422.0,-21806899313.0,-24079724673.0,-18292342419.0,-32357731198.0,-23736853436.0,-30067626395.0
