date,p10,p25,p50,p75,p90,prob_end_above_latest,latest_close
2026-08-14,143.35526881688352,145.0435299871518,146.76888704924616,148.2363066406,150.3889560928692,0.43205,146.9
2026-08-17,141.51290660666706,143.91050354825975,146.02876695724524,149.24765178502685,152.41474762548623,0.40325,146.9
2026-08-18,139.5057488862037,142.75519126158648,145.64730595251595,150.15145677151824,154.9750874031676,0.42325,146.9
2026-08-19,138.45688720360675,142.05326228927964,145.68803825552348,151.00030926704446,156.1521448346012,0.4061,146.9
2026-08-20,137.84895561752563,141.44298073704286,145.20894352440905,151.69500204972212,157.85391289040564,0.4067,146.9
2026-08-21,136.70110146876434,140.63344704934804,145.39961202595248,152.1449632052267,158.78377302731943,0.43045,146.9
2026-08-24,135.56025963549652,140.02154485216388,145.3401543013564,152.52173396421333,159.97182707018143,0.4344,146.9
2026-08-25,134.53440578900344,139.3460244465735,145.38674762939593,152.8333630783403,161.00495341671297,0.4424,146.9
2026-08-26,133.675298983029,138.88398713856355,145.42797217795567,153.270499459624,162.23653443367255,0.44585,146.9
2026-08-27,132.87128175237154,138.36925792375155,145.3238124952524,153.74297220624481,163.23910577223708,0.4462,146.9
2026-08-28,132.14793375080345,137.92708913795423,145.28830965131613,153.95618144990394,163.76964437682778,0.44665,146.9
2026-09-03,131.2552054458236,137.382444035898,145.2547124116943,154.33195694200523,164.66246000313515,0.44755,146.9
2026-09-04,130.524095292748,136.99245737472972,145.2504852671287,154.77112950788518,165.408133771077,0.45005,146.9
2026-09-07,129.82360194174524,136.61568990158685,145.20891818577923,155.1974194730813,166.23155638490582,0.45065,146.9
2026-09-08,129.19234634582835,136.3029665331622,145.2302264763967,155.75530268352816,167.12620511505037,0.45115,146.9
2026-09-09,128.5859172224739,136.03167445796387,145.07337982324492,155.9587541614621,167.58089219489568,0.452,146.9
2026-09-10,128.0661371967505,135.6219539013665,145.0411744014803,156.21776502368675,168.15039148130924,0.4513,146.9
2026-09-11,127.32309816039962,135.24235315970913,145.1115629133585,156.75192102025522,169.11791380594573,0.45475,146.9
2026-09-14,126.81345401895051,134.9118188086827,145.0397693723589,157.23311498372223,169.75034465790816,0.45515,146.9
2026-09-15,126.30558222112259,134.54979570676744,145.03145418443748,157.41992943312613,170.50767342359902,0.4566,146.9
