date,open,high,low,close,volume,return_1d,return_5d,return_20d,sma_5,sma_20,sma_60,ema_12,ema_26,macd,macd_signal,macd_hist,rsi_14,bb_mid_20,bb_std_20,bb_upper_20,bb_lower_20,bb_width_20,bb_position_20,atr_14,atr_pct_14,adx_14,plus_di_14,minus_di_14,stoch_k_14,stoch_d_3,obv,obv_sma_20,volatility_20d,volume_sma_20,volume_z_20,volume_ratio_20,range_pct,close_vs_sma20,close_vs_sma60,target_next_up,next_return
2009-05-19,1.1,1.1,1.1,1.1,40,,,,,,,1.1,1.1,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,1,0.04545454545454519
2009-05-20,1.15,1.15,1.15,1.15,20,0.04545454545454519,,,,,,1.1076923076923078,1.1037037037037039,0.0039886039886039,0.0007977207977207801,0.0031908831908831203,,,,,,,,,,,,,,,20.0,,,,,,0.0,,,1,0.052173913043478404
2009-05-21,1.21,1.21,1.21,1.21,10,0.052173913043478404,,,,,,1.1234319526627219,1.1115775034293554,0.011854449233366537,0.003009066484849932,0.008845382748516605,,,,,,,,,,,,,,,30.0,,,,,,0.0,,,1,0.04132231404958686
2009-05-22,1.26,1.26,1.26,1.26,500,0.04132231404958686,,,,,,1.1444424214838416,1.1225717624345883,0.021870659049253227,0.006781384997730591,0.015089274051522637,,,,,,,,,,,,,,,530.0,,,,,,0.0,,,1,0.05555555555555558
2009-05-25,1.33,1.33,1.33,1.33,10,0.05555555555555558,,,1.21,,,1.1729897412555583,1.1379368170690634,0.03505292418649497,0.012435692835483467,0.022617231351011506,,,,,,,,,,,,,,,540.0,,,,,,0.0,,,1,0.045112781954887105
2009-05-26,1.39,1.39,1.39,1.39,10,0.045112781954887105,0.26363636363636345,,1.268,,,1.2063759349085494,1.1566081639528365,0.04976777095571294,0.019902108459529364,0.029865662496183578,,,,,,,,,,,,,,,550.0,,,,,,0.0,,,1,0.05035971223021596
2009-05-27,1.46,1.46,1.46,1.46,16040,0.05035971223021596,0.26956521739130435,,1.33,,,1.2453950218456957,1.1790816332896634,0.0663133885560323,0.029184364478829956,0.03712902407720235,,,,,,,,,,,,,,,16590.0,,,,,,0.0,,,1,0.047945205479452024
2009-05-28,1.53,1.53,1.53,1.53,21900,0.047945205479452024,0.2644628099173554,,1.394,,,1.289180403100204,1.2050755863793179,0.08410481672088621,0.04016845492724121,0.043936361793645004,,,,,,,,,,,,,,,38490.0,,,,,,0.0,,,1,0.045751633986928164
2009-05-29,1.6,1.6,1.6,1.6,25850,0.045751633986928164,0.26984126984127,,1.4620000000000002,,,1.3369988026232495,1.2343292466475166,0.1026695559757329,0.05266867513693955,0.05000088083879336,,,,,,,,,,,,,,,64340.0,,,,,,0.0,,,1,0.04999999999999982
2009-06-01,1.68,1.68,1.68,1.68,61090,0.04999999999999982,0.26315789473684204,,1.532,,,1.389768217604288,1.267341895043997,0.12242632256029107,0.06662020462160985,0.05580611793868122,,,,,,,,,,,,,,,125430.0,,,,,,0.0,,,1,0.04761904761904767
2009-06-02,1.76,1.76,1.76,1.76,16350,0.04761904761904767,0.26618705035971235,,1.6059999999999999,,,1.4467269533574745,1.3038350880037008,0.14289186535377363,0.08187453676804261,0.061017328585731015,,,,,,,,,,,,,,,141780.0,,,,,,0.0,,,1,0.045454545454545414
2009-06-03,1.84,1.84,1.84,1.84,41500,0.045454545454545414,0.2602739726027399,,1.682,,,1.5072304989947862,1.343551007410834,0.16367949158395212,0.09823552773122451,0.0654439638527276,,,,,,,,,,,,,,,183280.0,,,,,,0.0,,,1,0.048913043478260754
2009-06-04,1.93,1.93,1.93,1.93,161220,0.048913043478260754,0.261437908496732,,1.762,,,1.572271960687896,1.3869916735285501,0.18528028715934597,0.11564447961684882,0.06963580754249715,,,,,,,,,,,,,,,344500.0,,,,,,0.0,,,1,0.041450777202072464
2009-06-05,2.01,2.01,2.01,2.01,500,0.041450777202072464,0.25624999999999987,,1.8439999999999999,,,1.6396147359666813,1.4331404384523612,0.20647429751432012,0.13381044319634308,0.07266385431797703,,,,,,,,0.0450693713374284,0.02242257280469075,,100.00000000000001,0.0,100.0,,345000.0,,,,,,0.0,,,1,0.044776119402985204
2009-06-08,2.1,2.1,2.1,2.1,55600,0.044776119402985204,0.25,,1.9280000000000002,,,1.7104432381256534,1.4825374430114455,0.22790579511420783,0.15262951357991605,0.07527628153429178,,,,,,,,0.048278701956183535,0.02298985807437311,,100.0,0.0,100.0,,400600.0,,,,,,0.0,,,1,0.04761904761904767
2009-06-09,2.2,2.2,2.2,2.2,166030,0.04761904761904767,0.25,,2.016,,,1.785759663029399,1.5356828176031903,0.2500768454262088,0.1721189799491746,0.07795786547703418,,,,,,,,0.05197308038788472,0.02362412744903851,,100.0,0.0,100.00000000000001,100.0,566630.0,,,,,,0.0,,,1,0.04545454545454519
2009-06-10,2.3,2.3,2.3,2.3,333800,0.04545454545454519,0.24999999999999978,,2.108,,,1.8648735610248761,1.592298905188139,0.272574655836737,0.1922101151266871,0.08036454071004992,,,,,,,,0.05540357464589293,0.024088510715605624,,100.0,0.0,100.0,100.0,900430.0,,,,,,0.0,,,1,0.04347826086956519
2009-06-11,2.4,2.4,2.38,2.4,909580,0.04347826086956519,0.24352331606217614,,2.2020000000000004,,,1.9472007054825875,1.6521286159149435,0.29507208956764397,0.21278251001487847,0.0822895795527655,,,,,,,,0.05858903359975773,0.024412097333232387,,100.0,0.0,100.0,100.0,1810010.0,,,,,,0.008333333333333342,,,1,0.050000000000000044
2009-06-12,2.52,2.52,2.52,2.52,15670,0.050000000000000044,0.25373134328358216,,2.304,,,2.0353236738698817,1.7164153851064292,0.31890828876345245,0.23400766576459328,0.08490062299885917,,,,,,,,0.06297553119977504,0.02499029015864089,,100.0,0.0,100.0,100.0,1825680.0,,,,,,0.0,,,1,0.04761904761904767
2009-06-15,2.64,2.64,2.6,2.64,858330,0.04761904761904767,0.2571428571428571,,2.412,1.7704999999999997,,2.128350800966823,1.7848290602837307,0.34352174068309216,0.2559104807482931,0.08761125993479907,,1.7704999999999997,0.47654982619040503,2.72359965238081,0.8174003476191897,1.076644622853217,0.9561432783172353,0.06704870754264826,0.02539723770554858,,100.0,0.0,100.0,100.0,2684010.0,472422.0,,134202.5,2.687582429054756,6.395782492874574,0.015151515151515164,0.4911042078508898,,0,-0.045454545454545525
2009-06-16,2.57,2.64,2.52,2.52,192300,-0.045454545454545525,0.14545454545454528,1.2909090909090906,2.476,1.8415,,2.188604523895004,1.8392861669293803,0.34931835696562374,0.27459205599175923,0.07472630097386451,89.57098374626128,1.8415,0.47717672992188903,2.795853459843778,0.8871465401562219,1.0364957478618277,0.8554762614425198,0.07083094271817339,0.028107516951656107,,87.89875124840127,8.067499167732494,89.18918918918918,96.39639639639638,2491710.0,597007.5,0.33330290332926715,143815.5,0.1810333472803435,1.3371298643053078,0.04761904761904766,0.368449633450991,,0,-0.04761904761904767
2009-06-17,2.4,2.4,2.4,2.4,87640,-0.04761904761904767,0.04347826086956519,1.0869565217391304,2.496,1.904,,2.221126904834234,1.8808205249346113,0.34030637989962287,0.28773492077333196,0.05257145912629091,80.52681700219352,1.904,0.4635038181867375,2.831007636373475,0.9769923636265249,0.9737475171990283,0.7675274617695654,0.07434301823830387,0.030976257599293282,,77.76440527083567,18.66691903189104,76.9230769230769,88.70408870408869,2404070.0,717210.0,0.46154202702229996,148196.5,-0.22760839892705487,0.5913769893351057,0.0,0.26050420168067223,,0,-0.04166666666666674
